,age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,Anomaly,Anomaly_Score,deposit
3568,42,management,5310,yes,no,cellular,may,2,186,success,0,4.1930847,yes
2146,36,management,0,no,no,telephone,aug,9,-1,unknown,0,5.067292,yes
6444,37,services,217,yes,no,cellular,may,1,-1,unknown,0,2.0160437,no
7326,41,admin.,110,yes,yes,cellular,feb,2,-1,unknown,0,4.2297134,no
4496,41,management,3096,yes,no,cellular,jul,6,-1,unknown,0,1.828074,no
2046,26,management,1646,no,no,cellular,apr,4,206,success,0,4.4288754,yes
5012,39,technician,437,no,no,telephone,may,2,-1,unknown,0,4.483322,no
5451,27,technician,7102,yes,no,unknown,may,9,-1,unknown,0,3.4674826,no
324,36,blue-collar,29,yes,yes,cellular,jul,1,-1,unknown,0,2.4403515,no
506,51,management,-15,no,no,cellular,jul,2,-1,unknown,0,2.078256,no
1115,43,management,1046,no,no,unknown,jun,1,-1,unknown,0,2.2897913,yes
525,65,retired,571,yes,no,cellular,oct,1,183,success,0,5.184571,yes
4378,27,student,0,no,no,cellular,mar,3,-1,unknown,0,6.6488166,yes
6791,39,management,763,no,no,cellular,feb,1,189,failure,0,4.5002375,yes
698,47,unemployed,324,no,no,cellular,nov,2,-1,unknown,0,4.846211,yes
4940,28,services,6332,yes,no,telephone,may,1,343,failure,0,5.8917923,no
6824,51,retired,67,no,no,unknown,jun,1,-1,unknown,0,3.5952766,yes
4691,46,technician,966,yes,yes,cellular,aug,2,-1,unknown,0,3.1379242,no
1522,26,student,5169,yes,no,cellular,may,1,35,failure,0,5.2016277,yes
2712,30,admin.,28,no,no,unknown,aug,1,-1,unknown,0,4.23179,no
656,35,technician,1693,yes,no,cellular,feb,1,-1,unknown,0,2.9825637,yes
7161,55,blue-collar,7378,no,no,unknown,may,3,-1,unknown,0,3.1216004,no
4917,31,blue-collar,2369,yes,no,cellular,may,1,-1,unknown,0,1.0061187,no
4878,31,self-employed,1074,yes,no,unknown,may,2,-1,unknown,0,3.4105241,no
3077,45,admin.,5021,no,no,cellular,jan,1,-1,unknown,0,4.477817,yes
6456,26,blue-collar,246,yes,no,unknown,may,3,-1,unknown,0,1.2809969,yes
4012,32,student,0,no,no,cellular,feb,3,276,failure,0,5.6748157,yes
1438,30,technician,4060,no,no,cellular,feb,1,93,other,0,5.3193154,yes
6259,45,management,160,no,no,cellular,apr,1,-1,unknown,0,1.6847626,yes
1353,31,technician,106,yes,no,unknown,may,13,-1,unknown,0,3.9822047,no
6516,33,blue-collar,706,yes,no,cellular,apr,1,322,failure,0,3.9327004,no
5177,29,technician,1856,yes,yes,cellular,may,1,-1,unknown,0,3.4012203,no
2052,29,management,560,no,no,cellular,apr,1,307,failure,0,3.696657,yes
2557,41,housemaid,879,no,no,unknown,jun,2,-1,unknown,0,3.4135094,yes
1860,39,blue-collar,-294,yes,no,unknown,jun,2,-1,unknown,0,1.3432666,no
6138,32,management,4291,no,no,cellular,aug,9,-1,unknown,0,2.4078536,yes
1543,60,management,73,no,no,telephone,aug,2,-1,unknown,0,4.975043,yes
6119,52,entrepreneur,1306,no,no,cellular,jun,1,-1,unknown,0,4.59513,yes
11,31,management,1170,no,no,cellular,aug,4,-1,unknown,0,0.6729256,no
1075,30,services,1808,yes,no,cellular,may,2,-1,unknown,0,2.0830169,no
101,56,entrepreneur,-124,yes,no,unknown,may,5,-1,unknown,0,4.3085814,no
5238,48,blue-collar,492,no,yes,cellular,aug,2,-1,unknown,0,3.6637769,no
808,80,retired,173,no,no,cellular,aug,3,-1,unknown,0,2.5976067,no
4977,37,management,658,yes,no,cellular,may,1,-1,unknown,0,2.0610223,yes
709,31,management,98,no,no,cellular,aug,2,-1,unknown,0,0.4833461,no
5205,36,services,1746,yes,no,cellular,apr,1,316,failure,0,4.522791,no
6394,40,housemaid,795,yes,no,unknown,may,3,-1,unknown,0,4.5886035,no
2222,57,blue-collar,807,yes,no,unknown,may,2,-1,unknown,0,1.1386716,no
966,37,unemployed,1978,no,no,cellular,mar,1,-1,unknown,0,6.6436048,yes
2275,62,retired,800,no,no,cellular,feb,1,-1,unknown,0,4.2917676,yes
106,34,blue-collar,855,yes,no,cellular,jul,1,-1,unknown,0,2.0134878,yes
6869,28,self-employed,805,no,no,cellular,feb,1,-1,unknown,0,5.1167073,yes
1749,34,management,271,yes,no,cellular,feb,1,94,success,0,4.272906,yes
4042,52,admin.,2227,no,no,cellular,feb,2,-1,unknown,0,4.0797997,yes
3816,39,technician,1587,yes,no,cellular,sep,2,98,success,0,4.5506945,yes
189,38,admin.,46,no,no,cellular,aug,2,-1,unknown,0,2.7455196,no
3771,28,management,882,no,yes,cellular,jul,2,-1,unknown,0,2.660484,no
414,33,technician,930,yes,no,cellular,may,5,359,failure,0,3.8392527,no
2195,32,admin.,281,yes,no,unknown,may,1,-1,unknown,0,0.7135176,no
1366,31,technician,2916,no,no,cellular,aug,2,-1,unknown,0,1.0022763,no
2816,30,management,-328,yes,no,unknown,may,5,-1,unknown,0,1.4236649,no
6286,41,management,254,no,no,cellular,jun,2,294,failure,0,4.5921593,yes
6279,47,entrepreneur,0,no,no,unknown,jun,1,-1,unknown,0,4.5835423,yes
6663,49,housemaid,198,yes,no,unknown,may,3,-1,unknown,0,4.576334,no
439,42,admin.,281,yes,no,unknown,may,1,-1,unknown,0,0.7978969,no
1857,35,management,867,yes,no,cellular,nov,2,171,success,0,4.6007733,no
6309,56,management,-6,no,no,telephone,jul,16,-1,unknown,0,5.6415234,no
4069,38,management,1365,yes,no,unknown,jun,1,-1,unknown,0,2.1596909,no
5761,35,admin.,1345,yes,no,cellular,jul,1,-1,unknown,0,2.1300437,no
4060,46,technician,940,no,no,cellular,aug,2,-1,unknown,0,1.2117318,yes
5171,38,management,613,no,no,cellular,apr,1,86,success,0,4.0257807,yes
5843,54,services,0,yes,no,cellular,feb,2,267,other,0,5.6651,yes
1134,52,blue-collar,955,no,yes,cellular,jun,2,134,success,0,5.1142583,yes
703,26,management,155,yes,no,cellular,may,4,43,other,0,4.7850327,no
1116,39,technician,1587,yes,no,cellular,jun,3,-1,unknown,0,3.5730546,yes
1163,46,technician,4023,yes,no,cellular,aug,2,-1,unknown,0,2.2568893,no
4852,42,technician,11115,no,no,cellular,aug,1,102,success,0,4.952954,yes
1996,56,technician,2847,no,no,cellular,apr,1,-1,unknown,0,2.694323,yes
288,27,blue-collar,419,yes,no,unknown,jun,2,-1,unknown,0,2.1918035,yes
3675,25,management,448,no,no,cellular,feb,1,297,success,0,4.539756,yes
6424,32,management,1683,yes,yes,cellular,apr,2,-1,unknown,0,3.743672,no
4741,32,management,134,no,yes,cellular,aug,2,-1,unknown,0,3.2817514,no
6512,31,technician,1173,yes,no,cellular,jul,3,-1,unknown,0,2.2078753,yes
4002,57,management,372,no,no,cellular,nov,3,-1,unknown,0,2.2994027,yes
5078,35,admin.,-32,no,yes,cellular,aug,2,178,success,0,5.014174,yes
839,31,management,883,yes,no,cellular,mar,2,106,failure,0,4.7892365,yes
2595,46,admin.,596,yes,no,cellular,apr,3,-1,unknown,0,3.0256171,no
6916,62,retired,1495,no,no,cellular,feb,1,-1,unknown,0,4.2674856,yes
1782,42,blue-collar,205,yes,no,cellular,apr,1,-1,unknown,0,1.5699189,no
5995,38,admin.,446,yes,no,unknown,may,1,-1,unknown,0,0.5854065,no
4572,30,admin.,4448,no,no,cellular,feb,8,-1,unknown,0,4.4737844,yes
6425,55,housemaid,1563,yes,no,cellular,nov,2,-1,unknown,0,5.0784016,no
1218,59,management,287,yes,no,cellular,apr,2,242,failure,0,3.8527572,no
6321,36,management,0,yes,no,cellular,may,3,-1,unknown,0,2.1255016,yes
3205,22,management,104,no,yes,cellular,oct,1,185,success,0,5.131,yes
1354,30,blue-collar,128,yes,no,unknown,may,1,-1,unknown,0,0.45634875,no
5390,37,management,427,yes,no,unknown,may,1,-1,unknown,0,0.61249477,no
2598,54,management,487,yes,no,unknown,may,4,-1,unknown,0,2.3709707,yes
4618,27,blue-collar,-330,yes,yes,cellular,may,1,353,failure,0,3.634603,no
6831,55,blue-collar,512,no,no,cellular,aug,2,-1,unknown,0,2.3085515,yes
3869,27,technician,0,no,no,cellular,feb,1,-1,unknown,0,3.1044278,no
3087,28,technician,227,no,no,cellular,apr,1,-1,unknown,0,2.1749105,yes
6347,31,entrepreneur,379,yes,no,cellular,jul,2,-1,unknown,0,3.8116326,no
7243,40,management,294,yes,no,cellular,jul,5,-1,unknown,0,1.4407893,no
6627,26,management,667,no,no,telephone,jun,2,-1,unknown,0,5.1157107,no
901,33,management,1778,no,no,cellular,may,1,103,success,0,4.2643414,no
330,49,services,1314,no,no,cellular,aug,14,-1,unknown,0,4.891607,yes
4210,52,services,1625,no,no,cellular,aug,2,-1,unknown,0,3.8244522,yes
2221,56,technician,1561,no,no,cellular,aug,1,-1,unknown,0,1.7482694,no
3268,50,management,-516,yes,no,unknown,may,2,-1,unknown,0,0.88765156,no
2446,36,services,0,no,yes,cellular,jul,7,-1,unknown,0,3.6064663,yes
3046,50,self-employed,1138,no,no,cellular,aug,10,-1,unknown,0,4.1607375,no
5164,44,management,1954,no,no,cellular,jun,1,-1,unknown,0,2.4485307,yes
4367,34,blue-collar,113,yes,no,cellular,may,2,-1,unknown,0,0.86137533,no
1131,22,student,466,no,no,cellular,jun,1,-1,unknown,0,4.348396,yes
734,32,entrepreneur,762,no,no,cellular,jul,11,-1,unknown,0,4.932982,yes
6079,34,admin.,-32,no,yes,cellular,apr,2,-1,unknown,0,3.5277584,yes
4489,50,admin.,2678,no,no,telephone,jul,6,-1,unknown,0,4.625973,yes
3125,28,self-employed,1579,no,no,cellular,oct,3,-1,unknown,0,6.366776,no
4644,40,unemployed,72,no,no,cellular,apr,1,-1,unknown,0,4.7366147,yes
6793,38,technician,1685,yes,no,unknown,may,1,-1,unknown,0,0.6560521,no
6941,29,self-employed,242,yes,no,cellular,jul,4,-1,unknown,0,4.3086996,no
2088,44,entrepreneur,121,no,no,cellular,nov,1,91,success,0,5.5612426,yes
6269,39,management,1585,yes,no,cellular,jan,2,-1,unknown,0,3.7474053,no
5373,32,admin.,205,no,no,cellular,jul,3,-1,unknown,0,2.1583192,no
1037,28,technician,2489,yes,no,telephone,feb,2,-1,unknown,0,5.1639366,yes
1582,46,admin.,22,no,no,cellular,aug,6,-1,unknown,0,2.5896795,yes
873,45,technician,44,yes,no,unknown,may,4,-1,unknown,0,1.0615882,no
6220,38,blue-collar,467,yes,no,unknown,may,1,-1,unknown,0,0.37780362,no
3085,24,services,2022,no,no,cellular,apr,4,-1,unknown,0,4.6117425,yes
2539,37,services,1970,yes,no,telephone,nov,1,-1,unknown,0,5.0445905,yes
7092,30,services,1336,yes,no,cellular,may,3,355,failure,0,4.374607,no
320,29,unemployed,70,no,no,cellular,may,1,-1,unknown,0,4.2787166,yes
566,47,blue-collar,209,no,no,cellular,aug,6,-1,unknown,0,2.4924269,no
6071,36,self-employed,353,no,no,cellular,aug,2,181,success,0,5.0985937,yes
3112,39,management,351,yes,no,unknown,may,3,-1,unknown,0,0.7514114,no
3739,41,management,65,yes,no,unknown,may,2,-1,unknown,0,0.6003241,no
5721,27,management,616,yes,no,cellular,may,1,101,other,0,4.469513,yes
1723,26,student,132,no,no,cellular,oct,1,119,success,0,6.447874,yes
7237,31,student,1776,no,no,cellular,jun,1,207,other,0,5.9291253,yes
697,36,admin.,1224,yes,no,cellular,nov,1,374,success,0,5.0323763,yes
4850,23,student,431,no,no,cellular,feb,3,186,success,0,5.0291305,yes
7151,33,management,318,yes,no,cellular,apr,1,141,other,0,4.519413,yes
739,36,technician,125,yes,no,cellular,may,3,-1,unknown,0,2.1582236,yes
5049,37,technician,6714,yes,no,unknown,may,1,-1,unknown,0,2.167442,no
7375,37,technician,0,yes,no,cellular,jul,6,-1,unknown,0,2.599332,yes
1173,31,technician,-302,no,no,cellular,aug,2,-1,unknown,0,0.621467,no
6237,38,management,1349,yes,no,unknown,may,1,-1,unknown,0,0.6708929,no
5302,34,technician,1035,no,no,cellular,aug,10,-1,unknown,0,2.3437028,yes
4383,45,blue-collar,360,no,no,unknown,jun,2,-1,unknown,0,1.2570559,no
764,34,technician,806,no,no,cellular,jul,3,458,success,0,5.2469807,yes
3787,32,management,41,no,no,cellular,aug,5,-1,unknown,0,1.2551577,yes
1648,47,technician,1167,yes,no,cellular,aug,1,96,success,0,4.2105064,yes
5811,63,blue-collar,115,no,no,telephone,apr,1,180,failure,0,6.2112236,yes
514,35,self-employed,188,yes,yes,unknown,jun,2,-1,unknown,0,5.0912986,yes
2903,36,services,115,no,no,unknown,jun,1,-1,unknown,0,2.0771391,no
4146,31,admin.,410,no,no,cellular,oct,1,185,success,0,4.5011578,yes
2409,34,services,258,yes,no,unknown,jun,2,-1,unknown,0,2.360075,no
5276,51,management,119,no,no,unknown,jun,2,-1,unknown,0,2.0488067,no
4577,31,management,1514,no,no,cellular,aug,2,-1,unknown,0,0.60075605,no
