,job,balance,housing,loan,contact,campaign,pdays,poutcome,education,default,duration,previous,deposit
6002,technician,2156,yes,no,cellular,1,86,success,secondary,no,258,5,1
6869,management,3944,yes,no,cellular,2,-1,unknown,tertiary,no,974,0,1
4924,services,136,no,no,cellular,1,-1,unknown,secondary,no,120,0,1
5979,blue-collar,0,no,no,cellular,1,-1,unknown,secondary,no,45,0,0
2202,blue-collar,75,yes,no,unknown,9,-1,unknown,secondary,no,479,0,1
4058,retired,19317,yes,no,cellular,1,-1,unknown,secondary,no,249,0,1
6677,admin.,3185,yes,no,unknown,1,-1,unknown,secondary,no,520,0,0
3057,admin.,125,yes,no,unknown,1,-1,unknown,tertiary,no,172,0,0
1548,technician,589,yes,no,unknown,1,147,success,secondary,no,518,2,1
5043,blue-collar,581,yes,no,cellular,1,270,other,primary,no,233,1,1
1316,management,22,yes,no,cellular,3,-1,unknown,tertiary,no,59,0,0
6950,retired,523,no,no,cellular,1,182,success,secondary,no,467,3,1
5669,management,5691,yes,no,cellular,1,-1,unknown,tertiary,no,357,0,0
6273,management,254,no,no,cellular,2,294,failure,tertiary,no,183,2,1
2399,admin.,3696,no,no,cellular,4,-1,unknown,secondary,no,758,0,1
2944,blue-collar,167,no,yes,cellular,2,-1,unknown,secondary,no,134,0,1
6744,management,26,no,no,cellular,6,-1,unknown,tertiary,no,222,0,0
599,management,1094,yes,no,cellular,1,-1,unknown,tertiary,no,137,0,1
4583,technician,0,no,no,cellular,3,-1,unknown,secondary,no,313,0,0
4455,technician,201,no,yes,unknown,4,-1,unknown,secondary,no,148,0,0
3758,unemployed,365,yes,no,cellular,3,-1,unknown,secondary,no,210,0,0
5182,services,638,yes,yes,cellular,3,-1,unknown,secondary,no,792,0,1
662,entrepreneur,1859,yes,no,cellular,2,-1,unknown,tertiary,no,227,0,0
6203,management,870,no,no,cellular,1,179,success,primary,no,220,1,1
2107,retired,1948,no,no,cellular,1,91,success,tertiary,no,216,4,1
4905,retired,1230,no,no,cellular,1,87,failure,secondary,no,420,1,1
1935,management,-547,yes,no,cellular,2,-1,unknown,tertiary,no,101,0,0
243,technician,1590,yes,no,cellular,2,-1,unknown,secondary,no,59,0,0
6692,management,1221,yes,no,telephone,4,-1,unknown,tertiary,no,279,0,1
529,blue-collar,759,yes,no,unknown,1,-1,unknown,secondary,no,710,0,1
5455,blue-collar,188,yes,yes,unknown,2,-1,unknown,secondary,no,570,0,1
372,admin.,0,no,yes,unknown,1,-1,unknown,secondary,no,142,0,0
6503,technician,1173,yes,no,cellular,3,-1,unknown,secondary,no,444,0,1
4195,blue-collar,0,no,no,cellular,2,105,failure,secondary,no,255,1,0
4074,admin.,829,yes,yes,unknown,1,-1,unknown,secondary,no,339,0,0
2544,management,451,yes,no,cellular,6,-1,unknown,tertiary,no,220,0,0
4994,retired,1058,no,no,cellular,2,91,success,secondary,no,218,3,1
5819,management,133,yes,no,unknown,1,-1,unknown,tertiary,no,65,0,0
4933,retired,2812,no,no,cellular,4,181,success,tertiary,no,392,3,1
2879,housemaid,0,yes,no,cellular,1,-1,unknown,secondary,no,157,0,0
3384,technician,5122,yes,no,cellular,1,184,failure,tertiary,no,370,1,0
5073,technician,507,no,no,cellular,4,-1,unknown,secondary,no,173,0,0
4371,management,792,no,no,cellular,7,-1,unknown,tertiary,no,630,0,1
3944,technician,728,yes,no,cellular,1,261,other,secondary,no,393,1,0
5942,student,132,no,no,cellular,1,-1,unknown,secondary,no,217,0,1
4632,admin.,1248,yes,yes,cellular,3,-1,unknown,secondary,no,428,0,0
1375,admin.,2145,no,no,telephone,2,-1,unknown,secondary,no,273,0,0
2889,technician,556,yes,no,cellular,2,80,success,secondary,no,368,2,1
2360,services,26,yes,no,cellular,3,-1,unknown,secondary,no,166,0,0
6172,admin.,1000,yes,no,cellular,1,-1,unknown,tertiary,no,195,0,1
5503,management,120,no,no,unknown,1,-1,unknown,secondary,no,66,0,0
2461,blue-collar,0,yes,no,telephone,3,-1,unknown,secondary,no,305,0,0
5691,management,0,yes,no,telephone,2,-1,unknown,secondary,no,90,0,0
1244,admin.,0,yes,no,cellular,1,168,failure,unknown,no,85,2,0
6566,management,76,no,no,cellular,1,183,success,unknown,no,200,1,1
1562,blue-collar,104,yes,no,unknown,1,-1,unknown,unknown,no,22,0,0
2209,admin.,1406,yes,no,cellular,2,85,success,secondary,no,63,1,1
5623,management,71,no,no,cellular,3,102,failure,tertiary,no,335,2,1
18,management,242,no,no,cellular,2,96,success,tertiary,no,120,1,1
2469,management,3371,no,no,cellular,2,-1,unknown,primary,no,269,0,1
3109,retired,630,no,no,cellular,1,-1,unknown,secondary,no,97,0,0
552,management,3317,no,yes,telephone,7,-1,unknown,secondary,no,640,0,1
2184,blue-collar,1265,no,yes,cellular,1,-1,unknown,primary,no,849,0,1
1609,admin.,-372,yes,no,unknown,1,-1,unknown,secondary,no,104,0,0
3206,admin.,1794,no,no,cellular,1,-1,unknown,secondary,no,1035,0,1
6496,management,5958,yes,no,cellular,1,-1,unknown,tertiary,no,215,0,1
4460,technician,113,no,no,cellular,2,183,success,secondary,no,328,4,1
5443,management,1949,yes,no,unknown,2,-1,unknown,tertiary,no,683,0,1
3821,management,800,yes,no,cellular,2,-1,unknown,tertiary,no,405,0,0
664,technician,337,no,no,unknown,1,-1,unknown,secondary,no,23,0,1
3587,technician,5115,yes,no,cellular,1,95,success,secondary,no,318,7,1
720,blue-collar,1012,yes,no,cellular,3,329,failure,secondary,no,22,1,0
7189,student,188,yes,no,cellular,1,78,success,secondary,no,863,8,1
3545,management,1270,no,no,cellular,3,-1,unknown,tertiary,no,232,0,1
5158,management,533,no,no,cellular,1,91,success,tertiary,no,144,9,1
4048,blue-collar,5,no,no,cellular,1,-1,unknown,primary,no,321,0,1
961,technician,2,yes,yes,cellular,1,205,failure,secondary,no,71,3,0
6201,admin.,35,yes,no,cellular,1,69,failure,tertiary,no,76,2,0
1663,blue-collar,-454,yes,yes,unknown,2,-1,unknown,primary,no,861,0,0
1567,blue-collar,622,yes,no,unknown,2,-1,unknown,secondary,no,611,0,1
6751,self-employed,168,no,no,cellular,1,-1,unknown,tertiary,no,394,0,1
1407,blue-collar,1127,yes,no,cellular,1,-1,unknown,secondary,no,455,0,0
312,management,3518,yes,no,cellular,1,-1,unknown,tertiary,no,440,0,0
2981,blue-collar,51,yes,no,unknown,2,-1,unknown,primary,no,593,0,0
5290,technician,1035,no,no,cellular,10,-1,unknown,secondary,no,1374,0,1
5011,admin.,465,yes,no,unknown,1,-1,unknown,secondary,no,160,0,0
1348,blue-collar,1,yes,no,cellular,1,-1,unknown,primary,no,257,0,0
5305,unemployed,991,yes,no,unknown,2,-1,unknown,secondary,no,316,0,0
6816,retired,67,no,no,unknown,1,-1,unknown,primary,no,835,0,1
3023,management,4396,no,no,cellular,3,-1,unknown,secondary,no,432,0,1
3029,services,94,yes,no,unknown,2,-1,unknown,secondary,no,352,0,0
503,management,944,no,yes,unknown,1,-1,unknown,secondary,no,119,0,0
7201,admin.,-302,yes,yes,unknown,5,-1,unknown,secondary,no,235,0,0
2929,admin.,0,yes,no,cellular,1,92,success,secondary,no,210,3,1
673,management,6542,yes,no,cellular,4,175,failure,tertiary,no,1598,5,1
4244,technician,726,yes,no,cellular,1,-1,unknown,unknown,no,163,0,0
865,technician,221,yes,no,cellular,1,355,failure,secondary,no,669,4,1
3534,services,162,yes,no,cellular,2,-1,unknown,secondary,no,531,0,1
7012,management,1945,no,no,unknown,1,-1,unknown,tertiary,no,191,0,0
3940,technician,489,yes,no,cellular,4,-1,unknown,secondary,no,356,0,1
6835,management,336,no,no,cellular,3,-1,unknown,secondary,no,179,0,1
1504,retired,275,no,no,cellular,1,425,success,primary,no,293,1,1
1760,technician,652,yes,yes,cellular,4,-1,unknown,secondary,no,50,0,0
1697,management,1464,no,no,cellular,1,-1,unknown,tertiary,no,157,0,1
4370,management,312,no,no,cellular,1,369,failure,tertiary,no,271,3,0
3247,admin.,607,no,no,cellular,2,-1,unknown,secondary,no,110,0,1
7148,management,318,yes,no,cellular,1,141,other,tertiary,no,1190,3,1
5784,blue-collar,548,no,no,cellular,7,-1,unknown,secondary,no,520,0,1
5657,services,1367,no,no,unknown,3,-1,unknown,primary,no,144,0,0
2258,admin.,272,yes,no,cellular,2,-1,unknown,tertiary,no,73,0,0
1024,admin.,-218,yes,no,unknown,15,-1,unknown,tertiary,no,227,0,0
5185,management,2769,yes,no,cellular,1,131,failure,primary,no,104,2,0
4616,retired,298,no,no,cellular,2,-1,unknown,secondary,no,709,0,1
1322,technician,6746,no,no,cellular,1,-1,unknown,tertiary,no,199,0,1
2992,student,1809,no,no,cellular,2,-1,unknown,secondary,no,414,0,1
5753,student,3511,no,no,cellular,1,96,success,secondary,no,311,1,1
4290,blue-collar,6215,yes,no,cellular,1,-1,unknown,primary,no,549,0,0
4898,management,926,no,no,cellular,1,-1,unknown,tertiary,no,216,0,1
3425,management,195,no,yes,cellular,1,265,other,tertiary,no,47,6,0
1801,blue-collar,2093,no,no,cellular,2,444,failure,secondary,no,224,1,1
3104,management,5888,yes,no,unknown,5,-1,unknown,secondary,no,45,0,0
7151,management,0,no,no,unknown,1,-1,unknown,tertiary,no,302,0,1
5773,management,2213,no,no,cellular,2,154,failure,tertiary,no,125,7,0
3531,admin.,261,yes,yes,cellular,4,-1,unknown,secondary,no,592,0,1
3293,blue-collar,342,yes,no,cellular,2,175,failure,secondary,no,340,1,0
2833,management,516,yes,no,cellular,4,-1,unknown,tertiary,no,245,0,0
5475,management,2431,yes,no,cellular,5,-1,unknown,tertiary,no,646,0,1
3475,technician,185,no,yes,cellular,16,-1,unknown,secondary,no,44,0,0
5916,housemaid,2,no,no,cellular,2,93,success,secondary,no,45,1,0
3461,blue-collar,348,yes,no,unknown,2,-1,unknown,secondary,no,185,0,0
7068,self-employed,28,no,yes,unknown,3,-1,unknown,secondary,no,159,0,0
6155,technician,341,no,no,cellular,1,-1,unknown,tertiary,no,282,0,1
3824,entrepreneur,0,yes,no,cellular,1,183,failure,tertiary,no,611,1,1
5528,services,758,no,no,cellular,1,-1,unknown,secondary,no,282,0,0
7174,services,4216,no,no,cellular,2,195,success,tertiary,no,150,2,1
1998,management,858,no,no,cellular,2,-1,unknown,tertiary,no,202,0,1
997,management,349,no,no,cellular,3,-1,unknown,tertiary,no,180,0,0
5310,admin.,265,yes,no,cellular,1,181,success,secondary,no,681,2,1
6792,housemaid,4,no,no,cellular,3,-1,unknown,primary,no,85,0,0
1138,management,1343,yes,yes,unknown,1,-1,unknown,tertiary,no,85,0,0
3068,management,122,yes,no,unknown,2,-1,unknown,tertiary,no,1622,0,1
3009,blue-collar,215,no,no,cellular,1,-1,unknown,secondary,no,166,0,0
7051,technician,1165,no,no,cellular,2,184,success,secondary,no,244,1,1
87,technician,-114,no,no,cellular,2,-1,unknown,secondary,no,155,0,0
5442,blue-collar,0,no,no,unknown,2,-1,unknown,unknown,no,270,0,0
7369,unemployed,216,no,no,cellular,3,-1,unknown,primary,no,577,0,1
1610,blue-collar,602,yes,no,unknown,12,-1,unknown,secondary,no,161,0,0
4036,blue-collar,105,yes,no,cellular,1,-1,unknown,secondary,yes,586,0,1
544,management,86,no,no,cellular,3,186,other,tertiary,no,281,6,1
580,technician,196,yes,no,cellular,1,-1,unknown,secondary,no,318,0,0
1764,blue-collar,403,yes,no,unknown,1,-1,unknown,primary,no,920,0,1
1735,retired,820,no,no,telephone,4,-1,unknown,secondary,no,263,0,1
4361,management,761,yes,no,cellular,2,-1,unknown,tertiary,no,80,0,0
6876,services,-336,no,yes,unknown,8,-1,unknown,secondary,no,111,0,0
1317,blue-collar,-208,yes,no,unknown,2,-1,unknown,secondary,no,127,0,0
1356,technician,558,yes,no,cellular,1,-1,unknown,tertiary,no,300,0,0
118,management,267,no,no,cellular,1,-1,unknown,tertiary,no,190,0,1
3870,technician,631,yes,no,cellular,2,-1,unknown,secondary,no,343,0,0
3118,management,7803,no,no,cellular,1,-1,unknown,tertiary,no,441,0,1
2706,student,1779,no,no,cellular,1,-1,unknown,secondary,no,400,0,1
6521,unemployed,959,no,no,telephone,2,-1,unknown,primary,no,694,0,1
6066,services,1309,yes,no,unknown,2,-1,unknown,secondary,no,349,0,0
1925,admin.,15,no,yes,cellular,1,-1,unknown,secondary,no,177,0,0
3436,unemployed,3354,yes,no,cellular,1,174,success,secondary,no,522,1,1
1996,admin.,7426,no,no,telephone,2,-1,unknown,secondary,no,65,0,0
3390,technician,4736,yes,no,cellular,2,-1,unknown,tertiary,no,285,0,1
4780,blue-collar,-3,yes,no,unknown,2,-1,unknown,secondary,no,92,0,0
5316,management,226,yes,no,cellular,4,185,success,tertiary,no,91,6,1
2468,services,654,no,no,cellular,1,-1,unknown,secondary,no,875,0,1
6536,entrepreneur,7279,yes,no,cellular,1,-1,unknown,primary,no,882,0,1
6797,blue-collar,1032,yes,no,unknown,5,-1,unknown,primary,no,41,0,0
3504,admin.,368,no,no,cellular,2,140,success,secondary,no,363,7,1
3666,unemployed,415,no,no,cellular,1,176,failure,tertiary,no,649,1,1
881,technician,-1053,yes,no,cellular,3,-1,unknown,tertiary,no,357,0,0
6471,blue-collar,92,yes,no,unknown,1,-1,unknown,secondary,no,688,0,1
3121,management,2326,yes,yes,cellular,1,-1,unknown,unknown,no,319,0,1
2362,services,4721,no,no,cellular,1,92,success,secondary,no,150,5,1
3412,admin.,255,no,no,cellular,2,106,success,secondary,no,209,2,1
3935,technician,476,yes,no,cellular,1,-1,unknown,tertiary,no,160,0,0
1800,retired,1146,no,no,cellular,1,92,failure,secondary,no,259,2,1
2349,management,1090,no,no,cellular,4,93,success,tertiary,no,178,6,1
1412,technician,2557,no,no,cellular,1,156,other,tertiary,no,340,1,1
3691,technician,3652,yes,no,unknown,2,-1,unknown,unknown,no,1028,0,1
3550,retired,631,no,no,telephone,1,-1,unknown,secondary,no,95,0,0
6859,technician,7,no,yes,unknown,1,-1,unknown,tertiary,no,175,0,0
2897,management,45,no,no,cellular,3,-1,unknown,tertiary,no,1187,0,1
4342,technician,2,yes,yes,unknown,1,-1,unknown,secondary,no,461,0,0
5379,blue-collar,2749,yes,no,cellular,2,164,failure,primary,no,774,1,1
4545,blue-collar,0,yes,no,cellular,1,-1,unknown,primary,no,1222,0,1
948,technician,8,no,no,cellular,2,-1,unknown,secondary,no,462,0,0
3665,services,371,no,no,unknown,1,-1,unknown,tertiary,no,77,0,0
4794,services,168,yes,no,cellular,1,-1,unknown,secondary,no,128,0,0
669,blue-collar,623,yes,no,cellular,2,-1,unknown,primary,no,1425,0,1
694,management,2644,no,no,cellular,7,-1,unknown,secondary,no,192,0,0
5192,management,-244,yes,no,unknown,1,-1,unknown,tertiary,no,253,0,0
869,blue-collar,180,no,no,cellular,2,-1,unknown,secondary,no,389,0,1
3778,self-employed,746,no,no,unknown,3,-1,unknown,secondary,no,256,0,0
2681,management,53,yes,no,cellular,1,-1,unknown,secondary,no,378,0,0
6402,management,943,no,no,cellular,1,-1,unknown,tertiary,no,512,0,1
3340,services,1040,yes,no,unknown,3,-1,unknown,secondary,no,552,0,1
4777,blue-collar,1033,yes,no,cellular,1,-1,unknown,primary,no,283,0,0
2356,technician,4596,yes,no,cellular,2,-1,unknown,tertiary,no,901,0,1
4326,retired,0,yes,yes,unknown,1,-1,unknown,tertiary,no,648,0,1
5802,self-employed,1070,yes,no,cellular,1,91,success,tertiary,no,172,5,1
5920,blue-collar,4592,yes,no,cellular,1,-1,unknown,primary,no,360,0,0
3922,self-employed,1337,yes,yes,cellular,2,-1,unknown,primary,no,632,0,0
3816,management,502,no,no,cellular,1,87,failure,tertiary,no,968,5,1
6882,retired,1906,no,yes,unknown,9,-1,unknown,primary,no,45,0,0
4925,technician,569,no,no,cellular,12,-1,unknown,tertiary,no,976,0,1
7322,student,3026,no,no,cellular,1,535,failure,tertiary,no,251,1,1
7274,retired,-71,yes,no,cellular,5,-1,unknown,secondary,no,293,0,0
7000,entrepreneur,2543,no,no,cellular,3,93,success,secondary,no,357,5,1
4966,blue-collar,509,yes,no,cellular,1,-1,unknown,secondary,no,172,0,0
1964,unemployed,201,no,no,cellular,1,91,success,secondary,no,594,1,1
6623,unemployed,1974,no,no,cellular,2,191,failure,tertiary,no,498,1,1
2788,management,173,no,no,unknown,5,-1,unknown,secondary,no,48,0,0
974,admin.,73,no,no,cellular,1,-1,unknown,tertiary,no,159,0,1
3052,management,1064,no,no,cellular,2,-1,unknown,tertiary,no,101,0,0
6517,technician,1938,no,yes,cellular,1,386,success,secondary,no,193,3,1
3160,services,61,no,no,unknown,1,-1,unknown,secondary,no,636,0,1
6128,management,10884,no,no,cellular,3,98,success,tertiary,no,294,2,1
6233,management,16,no,yes,cellular,4,-1,unknown,tertiary,no,47,0,0
2907,management,600,yes,no,cellular,5,-1,unknown,tertiary,no,170,0,0
5721,services,443,no,no,telephone,1,-1,unknown,primary,no,167,0,0
4953,technician,11222,yes,no,cellular,2,171,failure,tertiary,no,126,7,0
3043,admin.,524,no,no,cellular,1,-1,unknown,secondary,no,185,0,1
1721,blue-collar,522,no,no,cellular,3,-1,unknown,secondary,no,197,0,0
3577,technician,1130,no,no,cellular,1,-1,unknown,secondary,no,152,0,1
2225,technician,7050,no,no,cellular,1,-1,unknown,tertiary,no,130,0,1
6245,management,160,no,no,cellular,1,-1,unknown,tertiary,no,619,0,1
5069,self-employed,327,no,yes,cellular,2,-1,unknown,tertiary,no,145,0,0
4510,admin.,-12,yes,no,unknown,1,-1,unknown,secondary,no,98,0,0
1993,self-employed,1559,no,no,cellular,2,-1,unknown,secondary,no,130,0,0
3295,services,92,yes,yes,unknown,3,-1,unknown,primary,no,118,0,0
7400,unemployed,978,no,no,cellular,2,71,success,secondary,no,262,1,1
5712,blue-collar,2548,yes,no,cellular,1,368,other,secondary,no,577,1,0
6429,unemployed,140,yes,no,telephone,2,-1,unknown,tertiary,no,11,0,0
6089,management,2016,no,no,cellular,1,348,success,tertiary,no,232,1,1
5806,management,607,yes,no,unknown,5,-1,unknown,tertiary,no,1060,0,1
623,student,64,no,no,cellular,1,-1,unknown,secondary,no,112,0,0
4134,admin.,215,yes,yes,cellular,2,-1,unknown,primary,no,210,0,0
1480,technician,9192,yes,no,unknown,3,-1,unknown,tertiary,no,59,0,0
6679,admin.,262,yes,no,cellular,1,-1,unknown,secondary,no,74,0,0
1635,admin.,527,no,yes,cellular,1,-1,unknown,secondary,no,112,0,1
6705,entrepreneur,-172,yes,no,cellular,2,-1,unknown,tertiary,yes,562,0,1
6941,technician,375,no,no,unknown,2,-1,unknown,secondary,yes,223,0,0
536,technician,892,yes,yes,unknown,1,-1,unknown,secondary,no,234,0,0
1519,admin.,597,no,no,cellular,1,-1,unknown,secondary,no,395,0,1
3967,admin.,1954,yes,yes,cellular,2,174,failure,secondary,no,158,3,0
1101,blue-collar,7051,no,yes,cellular,13,-1,unknown,secondary,no,106,0,0
6599,admin.,659,yes,no,telephone,11,-1,unknown,secondary,no,1127,0,1
742,admin.,384,yes,no,cellular,2,-1,unknown,secondary,no,551,0,0
5581,services,795,no,no,cellular,3,-1,unknown,secondary,no,101,0,0
1367,management,1227,no,no,cellular,4,-1,unknown,tertiary,no,1123,0,1
2173,management,2910,no,no,telephone,1,113,failure,secondary,no,433,1,0
6643,blue-collar,2235,yes,no,cellular,2,-1,unknown,secondary,no,287,0,0
4755,blue-collar,484,no,no,cellular,1,87,failure,unknown,no,344,3,1
4679,technician,197,no,no,cellular,1,87,success,tertiary,no,234,3,1
4989,blue-collar,0,yes,no,telephone,4,-1,unknown,unknown,no,10,0,0
4640,student,1919,yes,no,cellular,1,351,failure,secondary,no,264,4,0
7214,management,2152,no,no,cellular,3,-1,unknown,tertiary,no,75,0,1
2117,self-employed,1,no,no,cellular,3,-1,unknown,tertiary,no,167,0,0
7017,technician,431,no,no,cellular,2,-1,unknown,tertiary,no,180,0,1
7218,admin.,3794,no,no,cellular,1,-1,unknown,secondary,no,249,0,0
6152,services,367,yes,no,cellular,1,306,success,secondary,no,309,4,1
5395,admin.,70,yes,no,cellular,2,-1,unknown,secondary,no,229,0,1
6930,management,2955,no,no,cellular,2,-1,unknown,tertiary,no,226,0,1
4607,technician,0,no,no,telephone,3,-1,unknown,secondary,no,744,0,1
3644,entrepreneur,0,no,yes,cellular,1,-1,unknown,secondary,no,115,0,0
4680,blue-collar,910,yes,no,cellular,1,-1,unknown,primary,no,42,0,0
1229,admin.,430,yes,no,cellular,2,-1,unknown,secondary,no,103,0,0
5063,blue-collar,-367,yes,no,cellular,1,350,failure,primary,no,77,1,0
4354,management,179,yes,no,cellular,1,-1,unknown,tertiary,no,184,0,0
3024,blue-collar,272,no,no,cellular,1,286,failure,secondary,no,146,2,1
7408,management,13901,yes,no,cellular,1,-1,unknown,primary,no,59,0,0
7090,blue-collar,7773,yes,no,cellular,1,-1,unknown,secondary,no,705,0,1
436,management,131,yes,yes,cellular,2,-1,unknown,secondary,no,1152,0,1
1532,management,337,no,no,cellular,2,-1,unknown,tertiary,no,59,0,0
4417,technician,1646,yes,no,cellular,1,90,success,tertiary,no,258,7,1
1403,management,0,no,yes,cellular,4,-1,unknown,tertiary,no,370,0,0
1309,blue-collar,1127,yes,yes,cellular,2,281,failure,secondary,no,162,1,0
2704,admin.,1252,yes,yes,cellular,1,-1,unknown,secondary,no,59,0,0
3899,blue-collar,167,yes,yes,cellular,1,-1,unknown,secondary,no,612,0,1
1057,student,123,no,no,telephone,1,91,success,secondary,no,513,1,1
3911,blue-collar,452,no,no,cellular,2,-1,unknown,unknown,no,181,0,0
2964,management,2885,no,no,cellular,3,43,other,tertiary,no,199,8,1
5041,blue-collar,230,no,yes,unknown,1,-1,unknown,primary,no,176,0,0
3492,technician,2002,no,no,cellular,1,-1,unknown,secondary,no,146,0,1
5510,technician,279,yes,no,unknown,1,-1,unknown,tertiary,no,198,0,0
3074,management,1724,no,no,cellular,6,-1,unknown,tertiary,no,252,0,0
5283,admin.,132,no,no,cellular,1,-1,unknown,secondary,no,220,0,1
1500,management,133,yes,no,unknown,4,-1,unknown,tertiary,no,308,0,0
3690,retired,1515,yes,no,cellular,1,187,failure,primary,no,131,2,0
116,management,1336,yes,yes,cellular,2,309,failure,tertiary,no,82,1,0
4870,technician,211,yes,yes,unknown,4,-1,unknown,secondary,no,230,0,0
2491,unemployed,582,yes,no,cellular,5,372,failure,secondary,no,693,2,1
6934,blue-collar,2090,yes,no,cellular,2,-1,unknown,unknown,no,957,0,1
352,admin.,2232,no,no,cellular,1,103,success,secondary,no,439,1,1
802,self-employed,2589,no,no,cellular,1,-1,unknown,tertiary,no,614,0,1
2717,retired,381,yes,no,cellular,2,344,failure,tertiary,no,208,4,0
375,blue-collar,1230,yes,no,cellular,2,182,success,secondary,no,328,3,1
933,retired,6746,no,no,telephone,1,-1,unknown,primary,no,749,0,1
3418,blue-collar,158,yes,no,unknown,18,-1,unknown,primary,no,176,0,0
6903,technician,656,no,yes,unknown,1,-1,unknown,secondary,no,523,0,0
1849,management,3401,no,no,cellular,1,270,failure,tertiary,no,294,1,1
3609,admin.,1467,yes,no,cellular,1,332,failure,secondary,no,113,2,0
6838,retired,6422,no,no,cellular,1,-1,unknown,secondary,no,122,0,1
1349,self-employed,680,yes,no,telephone,4,-1,unknown,unknown,no,84,0,0
5811,blue-collar,579,yes,no,unknown,2,-1,unknown,secondary,no,198,0,0
5709,admin.,388,yes,no,cellular,2,-1,unknown,secondary,no,111,0,0
7378,management,1026,no,no,cellular,2,92,success,tertiary,no,138,2,1
740,blue-collar,1777,yes,no,cellular,5,154,failure,secondary,no,796,1,1
6176,management,0,yes,no,cellular,2,-1,unknown,tertiary,no,506,0,1
5903,management,256,yes,no,cellular,24,-1,unknown,tertiary,no,28,0,0
1015,admin.,732,no,no,cellular,1,139,success,secondary,no,71,4,0
3012,blue-collar,2495,yes,no,unknown,1,-1,unknown,secondary,no,924,0,1
4225,student,64,no,no,cellular,4,105,failure,tertiary,no,598,5,1
3392,management,1449,no,no,unknown,1,-1,unknown,tertiary,no,291,0,0
6261,housemaid,234,no,no,cellular,1,-1,unknown,secondary,no,208,0,0
2576,technician,1001,no,yes,cellular,2,-1,unknown,secondary,no,178,0,0
4664,technician,13410,no,yes,cellular,2,-1,unknown,tertiary,no,149,0,0
6605,self-employed,3698,yes,no,cellular,1,-1,unknown,tertiary,no,106,0,1
2477,services,344,yes,no,cellular,1,-1,unknown,secondary,no,347,0,1
1853,entrepreneur,324,yes,no,cellular,3,-1,unknown,secondary,no,528,0,0
6780,services,4157,yes,no,unknown,1,-1,unknown,secondary,no,735,0,0
5568,unemployed,550,no,no,cellular,1,-1,unknown,primary,no,801,0,1
6565,management,0,no,no,cellular,2,296,failure,tertiary,no,275,1,1
19,services,2597,yes,no,cellular,2,355,failure,secondary,no,182,1,0
3370,management,202,yes,no,cellular,1,62,failure,secondary,no,167,1,1
5676,management,378,yes,yes,unknown,2,-1,unknown,tertiary,no,127,0,0
6178,entrepreneur,265,yes,yes,unknown,10,-1,unknown,secondary,no,67,0,0
1310,management,586,yes,no,cellular,2,-1,unknown,tertiary,no,141,0,0
