,age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,marital,education,default,day,duration,previous,deposit,prediction_label,prediction_score
1929,50,entrepreneur,237,yes,yes,unknown,may,4,-1,unknown,married,primary,no,30,184,0,0,0,0.9957
6148,38,management,1101,yes,no,telephone,nov,1,-1,unknown,married,tertiary,no,9,43,0,0,0,0.972
849,39,management,517,yes,yes,unknown,may,1,-1,unknown,divorced,tertiary,no,14,1328,0,1,1,0.9163
6062,51,housemaid,174,no,no,telephone,jul,3,-1,unknown,married,unknown,no,29,308,0,0,0,0.8486
3810,30,management,5359,no,no,cellular,may,1,98,success,single,tertiary,no,27,119,1,1,1,0.8195
1088,36,management,255,no,no,cellular,may,2,92,other,married,tertiary,no,22,970,2,1,1,0.8753
6852,51,services,8806,yes,no,unknown,may,1,-1,unknown,married,primary,no,19,131,0,0,0,0.9836
3778,72,retired,0,no,no,cellular,dec,2,-1,unknown,married,primary,no,29,215,0,0,1,0.5252
3979,41,self-employed,20,no,no,unknown,jun,1,-1,unknown,married,secondary,no,5,333,0,0,0,0.9712
3138,30,blue-collar,1165,yes,no,cellular,may,2,-1,unknown,single,secondary,no,18,365,0,0,0,0.6566
5721,48,management,2263,no,no,cellular,jul,2,-1,unknown,divorced,tertiary,no,29,874,0,1,1,0.8766
2906,38,technician,11,no,no,unknown,jun,3,-1,unknown,single,tertiary,no,18,78,0,0,0,0.9916
3407,35,technician,2201,no,no,telephone,apr,1,-1,unknown,married,secondary,no,12,350,0,1,1,0.852
1990,36,blue-collar,3623,no,no,unknown,nov,1,378,success,single,secondary,no,12,71,1,1,1,0.713
3097,24,blue-collar,167,no,yes,cellular,feb,2,-1,unknown,single,secondary,no,18,134,0,1,1,0.7079
46,32,technician,367,yes,no,cellular,may,2,276,failure,married,secondary,no,11,214,3,0,0,0.8578
5477,59,management,2769,yes,no,cellular,nov,1,131,failure,married,primary,no,19,104,2,0,0,0.9806
3416,48,housemaid,513,no,yes,cellular,jul,3,-1,unknown,married,secondary,no,28,939,0,1,1,0.8616
2926,29,unemployed,2424,no,no,cellular,feb,1,-1,unknown,single,secondary,no,6,93,0,0,0,0.7041
5890,29,blue-collar,25,yes,no,unknown,jun,2,-1,unknown,married,primary,no,4,188,0,0,0,0.9375
3693,37,admin.,1533,yes,no,cellular,nov,4,-1,unknown,divorced,secondary,no,21,555,0,1,1,0.7777
6356,43,unemployed,1854,no,no,cellular,apr,1,-1,unknown,divorced,secondary,no,30,323,0,1,1,0.8766
6376,45,blue-collar,1723,no,no,cellular,jun,2,-1,unknown,married,secondary,no,1,166,0,1,1,0.7936
5326,48,blue-collar,2677,no,no,unknown,jun,3,-1,unknown,divorced,primary,no,20,23,0,0,0,0.9937
6192,63,retired,109,no,no,cellular,nov,2,-1,unknown,divorced,primary,no,10,406,0,1,1,0.8129
2373,34,technician,2658,yes,no,cellular,mar,1,230,failure,single,tertiary,no,31,265,2,0,1,0.5354
6655,64,unemployed,588,no,no,cellular,mar,1,-1,unknown,divorced,secondary,no,8,409,0,1,1,0.9076
4359,31,admin.,410,no,no,cellular,oct,1,185,success,single,secondary,no,25,182,1,1,1,0.9895
3067,28,services,222,yes,no,unknown,may,23,-1,unknown,married,secondary,no,29,101,0,0,0,0.9926
1418,33,blue-collar,842,no,no,cellular,aug,4,-1,unknown,married,secondary,no,29,111,0,0,0,0.977
1472,29,blue-collar,455,no,no,telephone,may,2,36,success,single,tertiary,no,27,214,1,1,1,0.9624
4200,48,blue-collar,1513,no,yes,cellular,jul,1,-1,unknown,married,secondary,no,17,1171,0,0,1,0.8769
1146,46,self-employed,137,yes,yes,unknown,may,1,-1,unknown,married,tertiary,no,5,246,0,0,0,0.9903
5649,34,management,158,no,no,cellular,jun,1,92,success,married,tertiary,no,9,190,9,1,1,0.9838
3311,32,technician,129,yes,no,cellular,may,1,-1,unknown,single,secondary,no,7,213,0,0,0,0.8545
6577,60,blue-collar,4903,no,yes,unknown,jun,1,-1,unknown,married,primary,no,9,290,0,0,0,0.9711
6143,23,blue-collar,272,no,no,cellular,aug,2,-1,unknown,married,secondary,no,14,100,0,1,0,0.8818
4090,49,technician,-236,yes,no,unknown,may,2,-1,unknown,divorced,secondary,no,26,204,0,0,0,0.9893
4459,38,management,1722,yes,no,cellular,jul,1,-1,unknown,married,tertiary,no,10,500,0,1,1,0.6392
4122,73,retired,739,no,no,cellular,sep,1,-1,unknown,married,unknown,no,11,210,0,1,1,0.9015
726,29,management,1808,no,no,cellular,jul,2,433,success,single,tertiary,no,7,273,1,1,1,0.9896
2599,49,management,3371,no,no,cellular,nov,2,-1,unknown,married,primary,no,11,269,0,1,1,0.7114
3928,38,technician,902,yes,no,cellular,feb,1,-1,unknown,divorced,secondary,no,3,650,0,1,1,0.7637
3949,71,retired,1696,no,no,cellular,oct,1,-1,unknown,married,secondary,no,6,486,0,1,1,0.8794
7459,44,entrepreneur,860,yes,yes,cellular,may,2,295,failure,married,secondary,no,6,96,5,0,0,0.9428
2154,77,retired,7802,no,no,telephone,may,1,92,success,married,tertiary,no,4,421,2,1,1,0.9733
2298,39,management,2193,yes,yes,unknown,jun,3,-1,unknown,divorced,tertiary,no,2,550,0,0,1,0.4453
6842,52,technician,22755,yes,no,unknown,may,2,-1,unknown,married,secondary,no,29,70,0,0,0,0.9883
2598,56,services,654,no,no,cellular,sep,1,-1,unknown,married,secondary,no,15,875,0,1,1,0.9592
3377,45,self-employed,-497,yes,yes,cellular,may,1,176,failure,married,tertiary,no,15,217,1,0,0,0.9277
7281,31,unemployed,756,no,no,cellular,jul,2,-1,unknown,divorced,tertiary,no,20,355,0,1,1,0.7301
5012,31,management,84,no,yes,unknown,jul,1,-1,unknown,married,tertiary,no,1,143,0,0,0,0.9361
2725,33,management,55,no,no,cellular,apr,2,87,failure,married,tertiary,no,30,526,3,1,1,0.8482
3404,27,services,246,no,no,cellular,jun,2,-1,unknown,single,secondary,no,17,453,0,1,1,0.9318
5369,72,retired,1388,no,no,telephone,oct,1,-1,unknown,married,primary,no,20,513,0,1,1,0.9121
3273,34,blue-collar,6718,no,no,cellular,jan,4,97,other,married,primary,no,13,278,1,0,1,0.8397
3537,29,blue-collar,-20,yes,no,unknown,may,2,-1,unknown,single,secondary,no,29,814,0,1,1,0.8347
3322,35,technician,13460,yes,no,cellular,may,3,-1,unknown,single,tertiary,no,15,1068,0,1,1,0.9184
2629,45,admin.,256,no,no,cellular,nov,2,-1,unknown,married,secondary,no,21,135,0,0,0,0.9136
7013,27,services,1501,yes,no,cellular,jul,1,-1,unknown,single,tertiary,no,24,187,0,0,0,0.8706
3835,31,technician,53,yes,yes,cellular,may,1,-1,unknown,single,secondary,no,6,530,0,1,1,0.4596
4856,28,student,205,no,no,cellular,jul,3,184,other,single,secondary,no,14,87,2,1,1,0.4024
5589,34,technician,294,yes,no,cellular,dec,1,184,success,married,secondary,no,9,265,3,1,1,0.9835
52,58,management,3161,no,no,telephone,jul,2,-1,unknown,divorced,secondary,no,30,542,0,1,1,0.7517
1972,53,management,261,no,no,cellular,aug,2,-1,unknown,married,tertiary,no,19,100,0,0,0,0.9634
4566,35,housemaid,113,yes,no,cellular,jul,2,-1,unknown,married,primary,no,17,923,0,1,1,0.8382
904,39,blue-collar,1170,no,no,unknown,jun,1,-1,unknown,single,secondary,no,6,383,0,0,0,0.9045
1630,56,technician,589,yes,no,unknown,oct,1,147,success,married,secondary,no,23,518,2,1,1,0.9901
5472,44,services,0,yes,yes,cellular,may,1,-1,unknown,married,secondary,no,11,161,0,0,0,0.9698
5741,27,technician,7102,yes,no,unknown,may,9,-1,unknown,married,secondary,no,30,141,0,0,0,0.992
4084,27,technician,276,no,no,unknown,may,2,-1,unknown,married,tertiary,no,16,218,0,0,0,0.9746
253,55,housemaid,976,no,no,cellular,jun,1,94,other,divorced,primary,no,28,345,3,1,1,0.9491
6456,42,management,187,no,no,cellular,aug,1,-1,unknown,married,tertiary,no,11,64,0,0,0,0.976
4447,39,services,636,yes,no,telephone,may,1,-1,unknown,married,secondary,no,12,15,0,0,0,0.9941
6970,30,management,6432,yes,no,cellular,nov,2,119,other,married,tertiary,no,21,206,3,0,0,0.8051
3378,70,retired,3782,no,no,cellular,mar,1,-1,unknown,married,primary,no,16,618,0,0,1,0.8784
373,27,management,2071,no,no,cellular,jun,1,-1,unknown,married,secondary,no,4,449,0,1,1,0.9245
6769,51,blue-collar,5,no,no,cellular,jul,2,-1,unknown,divorced,primary,no,29,600,0,1,1,0.8738
5735,35,technician,2047,yes,no,cellular,oct,1,-1,unknown,divorced,secondary,no,1,66,0,0,0,0.9125
79,34,blue-collar,157,yes,no,cellular,jul,2,-1,unknown,married,secondary,no,11,254,0,0,0,0.8605
1323,21,blue-collar,2265,no,no,cellular,may,4,99,success,single,secondary,no,27,156,2,0,1,0.6675
4899,34,blue-collar,3043,yes,yes,cellular,nov,1,-1,unknown,single,secondary,no,20,670,0,1,1,0.7851
995,41,blue-collar,2717,yes,yes,cellular,jul,2,-1,unknown,married,secondary,no,24,559,0,0,1,0.588
698,42,technician,2,no,no,unknown,may,2,-1,unknown,married,secondary,no,29,249,0,0,0,0.9773
1685,27,management,1720,no,no,cellular,nov,2,273,failure,single,tertiary,no,3,284,1,1,1,0.8798
2636,31,technician,26,no,yes,cellular,nov,1,127,other,married,tertiary,no,18,419,6,1,1,0.4735
3300,64,retired,466,yes,no,cellular,oct,1,-1,unknown,married,secondary,no,18,526,0,1,1,0.8433
5998,32,management,2974,yes,no,cellular,apr,1,4,failure,single,tertiary,no,24,227,1,1,1,0.8539
6693,35,housemaid,1015,yes,no,unknown,jun,2,-1,unknown,single,secondary,no,5,406,0,1,0,0.8141
3721,30,management,552,yes,no,cellular,aug,2,-1,unknown,single,tertiary,no,5,648,0,0,1,0.781
6511,47,admin.,225,no,no,cellular,aug,4,-1,unknown,divorced,secondary,no,28,1126,0,1,1,0.9448
5914,45,admin.,5511,no,no,cellular,jul,1,-1,unknown,married,unknown,no,2,272,0,1,1,0.8891
4920,23,student,0,no,no,cellular,aug,1,-1,unknown,single,tertiary,no,10,213,0,1,1,0.6936
5305,47,admin.,290,yes,no,cellular,jul,2,-1,unknown,married,secondary,no,22,1352,0,1,1,0.8542
839,56,admin.,4118,no,no,telephone,may,1,-1,unknown,single,secondary,no,27,165,0,1,1,0.4648
6065,37,technician,122,no,no,cellular,jun,2,318,other,married,tertiary,no,25,266,3,1,1,0.9177
5108,42,admin.,0,yes,no,unknown,may,2,-1,unknown,divorced,secondary,no,7,229,0,0,0,0.9903
2860,31,blue-collar,1406,yes,yes,cellular,apr,2,-1,unknown,married,secondary,no,13,1091,0,1,1,0.9113
6195,30,admin.,313,yes,no,cellular,feb,2,-1,unknown,single,secondary,no,4,1121,0,1,1,0.8616
1159,36,blue-collar,7051,no,yes,cellular,jul,13,-1,unknown,divorced,secondary,no,15,106,0,0,0,0.9899
7499,39,services,304,yes,yes,unknown,may,1,-1,unknown,married,secondary,no,9,323,0,0,0,0.9871
985,30,admin.,270,no,no,cellular,apr,1,80,success,single,secondary,no,30,437,1,1,1,0.9788
6255,32,student,1536,no,no,cellular,aug,2,-1,unknown,married,secondary,no,7,289,0,1,1,0.5799
5911,56,management,382,no,no,cellular,nov,2,-1,unknown,divorced,tertiary,no,19,117,0,0,0,0.925
3226,34,admin.,124,yes,no,telephone,may,4,366,other,married,secondary,no,14,604,2,1,1,0.8375
1186,35,unemployed,1,yes,no,cellular,jul,8,-1,unknown,married,secondary,no,28,173,0,0,0,0.9739
3548,82,retired,8603,no,no,cellular,jul,1,-1,unknown,married,primary,no,7,429,0,1,1,0.8151
3897,30,technician,-393,yes,yes,cellular,jul,1,-1,unknown,married,secondary,no,16,435,0,1,0,0.6114
1184,34,blue-collar,186,no,no,cellular,feb,1,-1,unknown,single,secondary,no,2,342,0,0,1,0.4049
2142,31,blue-collar,3364,yes,no,cellular,nov,1,-1,unknown,married,secondary,no,20,290,0,0,0,0.8692
4081,38,technician,631,yes,no,cellular,aug,2,-1,unknown,divorced,secondary,no,25,343,0,0,0,0.852
1890,35,unemployed,2080,yes,no,telephone,apr,3,-1,unknown,married,secondary,no,14,266,0,0,1,0.3964
6915,37,management,22125,no,yes,cellular,nov,2,-1,unknown,single,tertiary,no,21,331,0,1,1,0.4513
2930,35,management,4348,yes,no,cellular,apr,3,217,failure,single,tertiary,no,2,1074,8,0,1,0.4181
5496,29,blue-collar,-382,yes,no,cellular,jul,2,-1,unknown,married,primary,no,28,35,0,0,0,0.9936
5249,31,technician,95,no,no,cellular,nov,6,-1,unknown,married,tertiary,no,21,48,0,0,0,0.9931
4080,38,technician,508,yes,yes,cellular,aug,2,-1,unknown,single,tertiary,no,12,1103,0,1,1,0.9128
5939,40,retired,1734,yes,no,unknown,jun,4,-1,unknown,single,secondary,no,3,123,0,0,0,0.9808
7136,35,blue-collar,0,yes,no,unknown,may,1,-1,unknown,divorced,secondary,no,20,1205,0,1,1,0.9313
3741,31,unemployed,284,yes,no,cellular,feb,1,-1,unknown,single,secondary,no,2,855,0,1,1,0.7814
3715,39,entrepreneur,2644,yes,no,unknown,may,1,-1,unknown,married,tertiary,no,20,253,0,0,0,0.9873
2920,59,retired,1033,no,no,unknown,jun,1,-1,unknown,married,unknown,no,11,1199,0,1,1,0.8297
5870,26,technician,15161,no,no,cellular,feb,1,-1,unknown,single,tertiary,no,2,280,0,1,1,0.6229
3250,30,services,1256,yes,no,cellular,may,3,-1,unknown,married,secondary,no,18,123,0,0,0,0.9592
707,31,management,596,no,no,cellular,aug,4,-1,unknown,married,tertiary,no,12,192,0,0,0,0.7474
3612,44,management,294,no,no,cellular,apr,3,-1,unknown,married,primary,no,16,165,0,1,1,0.5362
567,32,student,14,no,no,cellular,aug,3,136,other,single,secondary,no,19,144,1,0,0,0.9122
1077,55,unknown,2206,no,no,cellular,aug,1,91,success,married,secondary,no,12,265,5,1,1,0.9759
6226,41,admin.,2498,no,no,cellular,aug,1,-1,unknown,married,secondary,no,12,411,0,1,1,0.7811
3770,32,admin.,0,no,no,cellular,jul,1,-1,unknown,married,secondary,no,25,209,0,0,0,0.8021
343,35,technician,183,no,no,cellular,oct,1,52,failure,single,secondary,no,23,281,4,1,1,0.9578
2968,47,management,2793,yes,no,telephone,jul,4,-1,unknown,married,primary,no,25,102,0,0,0,0.9914
1040,56,retired,1894,yes,no,unknown,may,1,-1,unknown,married,secondary,no,15,189,0,0,0,0.986
5324,34,management,158,no,no,cellular,sep,2,132,failure,married,tertiary,no,9,278,4,1,1,0.8731
1684,49,housemaid,889,no,no,telephone,jul,1,-1,unknown,married,primary,no,7,388,0,1,1,0.7045
3380,35,services,0,yes,no,cellular,jul,3,-1,unknown,married,secondary,no,30,251,0,0,0,0.9025
5861,46,management,11385,no,no,cellular,mar,3,-1,unknown,married,tertiary,no,24,269,0,1,1,0.9348
5350,32,management,62,yes,no,cellular,may,1,-1,unknown,married,tertiary,no,14,166,0,0,0,0.8993
6125,53,blue-collar,111,no,no,unknown,jun,3,-1,unknown,married,unknown,no,20,39,0,0,0,0.9892
7372,37,admin.,10465,no,no,unknown,jun,6,-1,unknown,married,secondary,no,17,144,0,0,0,0.9889
6025,28,student,67,no,no,cellular,aug,3,199,other,single,secondary,no,20,329,2,1,1,0.7598
1289,36,technician,-393,no,no,telephone,aug,4,-1,unknown,married,secondary,no,14,119,0,0,0,0.957
6653,29,student,2929,no,no,cellular,may,1,89,other,single,unknown,no,5,232,4,1,1,0.8311
4242,32,blue-collar,1426,yes,no,cellular,nov,1,-1,unknown,single,primary,no,20,114,0,0,0,0.9856
3587,35,blue-collar,-461,no,no,unknown,may,1,-1,unknown,married,secondary,no,23,339,0,0,0,0.9729
1648,52,self-employed,517,no,no,cellular,aug,4,-1,unknown,married,secondary,no,26,77,0,0,0,0.9909
3175,32,blue-collar,328,yes,no,unknown,may,1,-1,unknown,married,secondary,no,20,132,0,0,0,0.978
1049,30,management,349,no,no,cellular,aug,3,-1,unknown,single,tertiary,no,12,180,0,0,0,0.836
2418,25,admin.,96,yes,no,unknown,may,2,-1,unknown,single,secondary,no,9,176,0,0,0,0.9757
2836,26,technician,4130,no,no,cellular,jan,2,-1,unknown,single,tertiary,no,28,104,0,0,0,0.7189
5404,37,technician,494,yes,no,cellular,feb,2,269,failure,married,secondary,no,2,247,3,0,0,0.8756
1967,50,entrepreneur,556,yes,no,unknown,may,2,-1,unknown,married,secondary,no,16,130,0,0,0,0.9907
2757,36,management,9324,yes,no,cellular,mar,8,-1,unknown,married,tertiary,no,30,138,0,0,0,0.8505
7020,58,retired,2714,no,no,cellular,may,1,287,failure,married,secondary,no,26,165,2,1,1,0.5569
1542,42,services,1301,yes,no,cellular,jul,6,-1,unknown,married,secondary,no,21,510,0,0,1,0.4744
1598,37,admin.,597,no,no,cellular,jun,1,-1,unknown,married,secondary,no,2,395,0,1,1,0.941
7680,66,housemaid,1929,no,no,cellular,feb,1,-1,unknown,married,secondary,no,2,169,0,0,0,0.6445
6969,64,retired,48,no,no,cellular,sep,3,92,success,married,primary,no,9,167,1,1,1,0.954
4547,62,retired,4692,yes,no,cellular,oct,1,-1,unknown,married,tertiary,no,15,73,0,0,0,0.8729
2,51,admin.,3025,no,no,cellular,may,1,352,other,married,secondary,no,7,476,1,1,1,0.7192
2390,46,blue-collar,1074,yes,no,cellular,may,2,-1,unknown,divorced,secondary,no,14,277,0,0,0,0.9025
3096,47,management,3663,no,no,cellular,oct,2,213,success,married,tertiary,no,29,424,3,1,1,0.9815
5002,40,blue-collar,570,yes,no,unknown,may,3,-1,unknown,married,primary,no,12,109,0,0,0,0.9906
2762,34,management,9827,yes,no,cellular,aug,4,-1,unknown,single,tertiary,no,13,871,0,1,1,0.8737
1440,40,blue-collar,-35,yes,no,cellular,may,3,-1,unknown,married,primary,no,18,194,0,0,0,0.9612
2616,57,technician,29207,yes,no,telephone,nov,2,-1,unknown,married,secondary,no,21,232,0,0,0,0.8807
4201,29,management,572,no,no,cellular,dec,1,195,success,single,tertiary,no,16,314,1,1,1,0.9888
4651,31,technician,318,no,no,cellular,dec,1,-1,unknown,married,secondary,no,2,310,0,1,1,0.9218
1695,40,unemployed,219,yes,no,unknown,may,1,-1,unknown,married,secondary,no,5,357,0,0,0,0.9747
4150,30,management,2876,no,no,cellular,aug,4,-1,unknown,single,tertiary,no,6,103,0,0,0,0.9627
6319,26,admin.,710,yes,yes,unknown,jun,2,-1,unknown,married,secondary,no,6,1276,0,1,1,0.8793
5245,71,retired,3561,no,no,telephone,mar,7,-1,unknown,married,tertiary,no,15,577,0,1,1,0.919
6926,26,blue-collar,535,no,no,cellular,aug,1,-1,unknown,single,secondary,no,14,125,0,1,0,0.75
1412,28,services,1636,yes,no,cellular,may,1,355,failure,single,secondary,no,18,97,2,0,0,0.9856
3292,34,admin.,1474,no,no,cellular,apr,2,-1,unknown,married,secondary,no,2,739,0,1,1,0.8264
4056,29,admin.,7707,yes,no,cellular,apr,2,334,failure,married,secondary,no,29,961,2,1,1,0.9082
1518,55,admin.,602,no,no,cellular,sep,1,98,success,married,secondary,no,7,350,5,1,1,0.9805
4435,48,management,769,no,yes,cellular,jan,2,184,other,divorced,secondary,no,28,58,15,0,0,0.9729
6490,37,blue-collar,811,yes,yes,cellular,apr,3,-1,unknown,divorced,secondary,no,6,185,0,0,0,0.912
367,47,admin.,2232,no,no,cellular,may,1,103,success,divorced,secondary,no,27,439,1,1,1,0.9509
4531,46,management,2044,no,no,telephone,feb,1,-1,unknown,single,tertiary,no,4,25,0,0,0,0.9799
2333,36,management,1257,no,no,cellular,feb,9,101,other,married,tertiary,no,8,108,1,0,1,0.4435
5442,29,blue-collar,3310,no,no,cellular,sep,1,91,failure,married,secondary,no,1,367,4,0,1,0.8258
494,38,admin.,0,no,no,unknown,jun,1,-1,unknown,divorced,secondary,no,5,56,0,0,0,0.9915
822,27,technician,204,no,no,cellular,jul,2,-1,unknown,single,secondary,no,28,471,0,1,1,0.7464
6012,34,management,297,yes,no,cellular,aug,4,-1,unknown,married,tertiary,no,26,63,0,0,0,0.9938
1166,31,management,471,no,no,cellular,aug,2,-1,unknown,single,tertiary,no,29,153,0,0,0,0.9389
2693,47,technician,-9,no,no,cellular,aug,2,-1,unknown,married,secondary,no,14,457,0,0,1,0.6918
4649,47,management,2475,yes,no,cellular,nov,4,-1,unknown,married,tertiary,no,20,1476,0,0,1,0.7244
780,54,blue-collar,-636,yes,no,unknown,may,3,-1,unknown,married,primary,no,30,324,0,0,0,0.9874
3590,33,management,808,yes,no,cellular,aug,16,-1,unknown,married,tertiary,no,19,12,0,0,0,0.9954
7727,31,management,453,yes,no,unknown,may,2,-1,unknown,single,secondary,no,9,384,0,0,0,0.9003
