,age,job,balance,contact,campaign,pdays,poutcome,deposit
7310,60,retired,18967,cellular,2,-1,unknown,yes
4087,36,admin.,115,cellular,3,91,failure,no
6301,45,blue-collar,116,unknown,1,-1,unknown,yes
6726,75,retired,1765,telephone,1,187,failure,yes
6755,25,admin.,131,unknown,1,-1,unknown,no
7474,29,technician,328,cellular,1,-1,unknown,no
3064,31,blue-collar,435,unknown,1,-1,unknown,no
3025,33,technician,480,cellular,1,270,other,no
2583,41,admin.,1395,cellular,1,308,failure,no
563,58,housemaid,497,unknown,5,-1,unknown,no
4073,41,technician,0,cellular,2,-1,unknown,no
6488,67,unknown,7687,telephone,3,-1,unknown,no
6003,47,technician,335,cellular,1,-1,unknown,yes
2646,46,admin.,306,cellular,5,-1,unknown,no
6446,49,blue-collar,23,unknown,1,-1,unknown,no
2691,40,blue-collar,1844,cellular,1,-1,unknown,no
2135,50,housemaid,388,cellular,2,-1,unknown,yes
1768,50,management,5969,cellular,1,544,failure,yes
6569,59,entrepreneur,0,unknown,1,-1,unknown,no
1724,38,self-employed,1612,cellular,1,-1,unknown,yes
5084,45,admin.,375,unknown,1,594,failure,no
814,23,management,1506,cellular,4,-1,unknown,yes
1353,41,entrepreneur,-413,unknown,2,-1,unknown,no
1361,57,technician,1753,cellular,1,-1,unknown,no
1371,38,technician,10596,cellular,1,197,other,yes
6805,26,blue-collar,246,unknown,3,-1,unknown,yes
4377,42,blue-collar,413,cellular,2,-1,unknown,yes
5844,57,technician,295,cellular,11,-1,unknown,no
5053,42,technician,757,cellular,1,-1,unknown,yes
3004,37,technician,28,cellular,2,-1,unknown,no
3857,48,blue-collar,863,telephone,5,350,success,yes
3648,57,management,256,cellular,2,91,success,yes
1919,60,admin.,4629,cellular,1,-1,unknown,yes
2727,43,blue-collar,2160,cellular,1,-1,unknown,yes
86,60,retired,2060,cellular,4,95,failure,no
2326,34,admin.,1406,cellular,2,85,success,yes
5147,35,blue-collar,306,unknown,8,-1,unknown,no
2778,62,blue-collar,272,cellular,1,92,success,yes
5695,33,management,935,cellular,2,92,success,yes
6194,25,blue-collar,1857,cellular,2,91,success,yes
4055,29,unemployed,25,cellular,2,-1,unknown,yes
2827,40,unemployed,1908,cellular,2,-1,unknown,yes
6410,44,blue-collar,1529,cellular,1,-1,unknown,yes
4402,31,management,3160,cellular,2,-1,unknown,yes
2149,30,technician,86,unknown,1,-1,unknown,no
3311,32,technician,129,cellular,1,-1,unknown,no
414,40,blue-collar,668,cellular,2,318,other,no
6206,57,unemployed,890,cellular,4,-1,unknown,no
777,38,technician,1711,cellular,3,202,success,yes
610,41,admin.,4464,telephone,2,-1,unknown,no
6219,58,blue-collar,1457,cellular,4,-1,unknown,no
5988,28,admin.,261,cellular,2,98,success,yes
1793,27,management,6791,cellular,2,69,other,yes
7294,36,self-employed,506,cellular,1,70,failure,yes
3347,46,blue-collar,7934,unknown,1,-1,unknown,no
7562,40,services,1305,cellular,1,-1,unknown,no
2492,45,admin.,231,unknown,3,-1,unknown,no
1797,23,admin.,252,cellular,1,-1,unknown,no
7517,46,management,244,unknown,1,-1,unknown,no
3922,32,entrepreneur,598,cellular,6,-1,unknown,no
4574,61,retired,86,cellular,1,-1,unknown,yes
2625,34,management,1058,unknown,2,-1,unknown,yes
2568,41,services,205,unknown,1,-1,unknown,no
3461,49,technician,350,cellular,3,-1,unknown,no
5975,38,technician,0,cellular,1,-1,unknown,yes
2945,40,self-employed,1516,unknown,1,-1,unknown,no
6738,40,technician,1646,cellular,1,92,success,yes
621,44,management,558,cellular,5,-1,unknown,yes
5793,39,admin.,2345,cellular,2,344,failure,yes
1725,68,retired,451,cellular,1,-1,unknown,yes
358,31,admin.,554,cellular,1,-1,unknown,no
4645,38,admin.,1767,cellular,4,239,success,yes
7753,58,blue-collar,96,unknown,3,-1,unknown,no
1576,32,management,131,unknown,3,-1,unknown,no
441,22,student,2162,telephone,1,-1,unknown,no
278,29,student,5,cellular,5,-1,unknown,yes
7764,21,student,2488,cellular,1,-1,unknown,yes
5734,48,blue-collar,816,cellular,7,-1,unknown,no
5152,64,housemaid,2645,telephone,2,-1,unknown,yes
129,33,admin.,867,cellular,1,-1,unknown,no
2787,54,management,2819,cellular,3,-1,unknown,no
4996,28,unemployed,863,unknown,1,-1,unknown,no
1871,32,management,874,cellular,6,-1,unknown,yes
7255,30,admin.,396,cellular,3,348,failure,yes
7505,26,admin.,5231,cellular,2,-1,unknown,no
7515,52,services,2081,unknown,1,-1,unknown,no
3264,56,unemployed,3391,cellular,1,-1,unknown,yes
6180,56,management,94,cellular,3,-1,unknown,no
935,34,services,2956,cellular,2,-1,unknown,yes
998,26,blue-collar,895,cellular,3,-1,unknown,no
3901,44,technician,1901,cellular,2,-1,unknown,no
670,30,self-employed,2666,cellular,3,89,success,yes
7710,33,admin.,69,cellular,2,-1,unknown,no
4998,53,management,232,telephone,1,-1,unknown,no
6522,40,management,0,cellular,2,-1,unknown,yes
592,50,management,398,telephone,5,-1,unknown,no
3117,45,management,4119,telephone,2,283,success,yes
6480,52,retired,2269,unknown,1,-1,unknown,yes
388,39,admin.,0,unknown,1,-1,unknown,no
7523,29,services,146,unknown,2,-1,unknown,no
5701,25,admin.,184,telephone,7,-1,unknown,no
2359,38,self-employed,677,cellular,2,-1,unknown,no
5990,59,technician,2595,cellular,2,-1,unknown,no
3127,26,technician,401,cellular,2,-1,unknown,yes
5024,43,management,2383,cellular,6,-1,unknown,yes
7245,29,services,271,unknown,2,-1,unknown,yes
3005,33,management,3401,cellular,1,-1,unknown,yes
7296,52,admin.,363,cellular,1,462,success,yes
2034,35,management,0,cellular,6,-1,unknown,no
3701,39,services,322,cellular,1,350,failure,no
3441,31,blue-collar,726,cellular,2,-1,unknown,yes
6544,34,admin.,64,cellular,2,-1,unknown,no
6418,31,management,373,cellular,6,-1,unknown,yes
5041,37,services,54,cellular,1,-1,unknown,no
429,44,entrepreneur,323,cellular,2,181,failure,yes
2416,30,admin.,590,cellular,3,-1,unknown,no
836,38,blue-collar,-258,cellular,2,370,other,no
1058,42,management,0,cellular,1,-1,unknown,yes
3197,36,entrepreneur,3057,unknown,4,-1,unknown,yes
3658,33,management,0,cellular,1,-1,unknown,yes
1095,34,management,2633,cellular,6,-1,unknown,yes
3729,30,management,3473,cellular,2,-1,unknown,yes
6614,50,self-employed,0,cellular,4,-1,unknown,no
4289,26,unemployed,3511,cellular,2,-1,unknown,yes
6882,47,technician,191,cellular,5,-1,unknown,no
3530,42,housemaid,4279,cellular,1,-1,unknown,no
5280,61,retired,1058,cellular,2,91,success,yes
5192,53,management,527,cellular,3,-1,unknown,no
4844,43,technician,0,cellular,3,-1,unknown,no
3890,61,retired,3738,telephone,1,-1,unknown,no
7442,59,retired,6888,telephone,2,-1,unknown,yes
5476,76,retired,1492,telephone,1,-1,unknown,yes
2099,42,blue-collar,490,unknown,2,-1,unknown,no
7668,68,retired,0,cellular,1,-1,unknown,yes
1272,48,services,-361,cellular,3,349,other,yes
6789,27,student,111,cellular,2,-1,unknown,yes
4829,42,technician,1812,cellular,2,-1,unknown,no
7586,31,admin.,-302,unknown,5,-1,unknown,no
2845,46,admin.,1252,cellular,1,-1,unknown,no
4259,40,self-employed,311,unknown,2,-1,unknown,no
6381,46,management,1600,cellular,1,-1,unknown,yes
6377,40,unemployed,7968,cellular,1,-1,unknown,yes
7746,39,technician,3494,cellular,1,92,failure,no
3917,42,technician,4945,cellular,2,-1,unknown,yes
1443,57,housemaid,2326,cellular,1,194,success,yes
6434,48,blue-collar,214,cellular,1,177,failure,yes
2592,59,management,296,cellular,3,-1,unknown,yes
3714,27,technician,58,unknown,1,-1,unknown,no
7179,49,admin.,197,cellular,1,182,failure,yes
2920,59,retired,1033,unknown,1,-1,unknown,yes
3226,34,admin.,124,telephone,4,366,other,yes
5509,42,self-employed,0,cellular,4,-1,unknown,no
1300,33,management,349,cellular,1,-1,unknown,no
1329,43,unemployed,0,cellular,2,-1,unknown,no
6816,31,admin.,747,unknown,2,-1,unknown,yes
5250,37,blue-collar,509,cellular,1,-1,unknown,no
2466,28,student,5916,cellular,1,63,failure,no
1400,38,admin.,0,cellular,1,-1,unknown,no
5277,55,blue-collar,7561,unknown,3,-1,unknown,yes
4601,34,management,179,cellular,1,-1,unknown,no
4748,57,services,84,unknown,1,-1,unknown,no
1545,36,admin.,10041,cellular,2,184,other,no
1709,40,blue-collar,1515,cellular,1,-1,unknown,yes
4252,30,services,1649,unknown,1,-1,unknown,no
6604,28,blue-collar,-127,cellular,3,-1,unknown,yes
3665,30,admin.,4457,cellular,4,-1,unknown,yes
858,56,management,442,unknown,3,-1,unknown,no
7299,32,management,0,cellular,2,-1,unknown,no
3276,64,retired,630,cellular,1,-1,unknown,no
2224,27,student,91,telephone,6,95,other,no
5927,29,services,192,cellular,4,-1,unknown,no
5655,32,technician,0,cellular,4,-1,unknown,no
2781,31,management,22867,unknown,2,-1,unknown,no
6361,37,unemployed,1032,telephone,1,-1,unknown,no
6320,56,management,310,unknown,4,-1,unknown,no
3581,45,unemployed,33,cellular,1,-1,unknown,no
6927,44,services,0,unknown,1,-1,unknown,no
1976,39,management,13578,cellular,2,-1,unknown,no
2357,33,entrepreneur,1623,cellular,3,-1,unknown,yes
6090,46,services,273,cellular,2,-1,unknown,yes
6644,36,blue-collar,0,unknown,1,-1,unknown,no
2001,47,admin.,3676,cellular,1,95,success,yes
7763,37,technician,0,cellular,6,-1,unknown,yes
6818,32,technician,719,unknown,6,-1,unknown,no
3941,31,management,3,cellular,2,-1,unknown,no
7456,38,self-employed,5774,cellular,4,359,other,yes
4577,46,management,0,cellular,6,-1,unknown,no
7192,37,self-employed,0,unknown,4,-1,unknown,no
412,28,unemployed,236,cellular,1,87,failure,yes
2075,59,technician,316,cellular,4,-1,unknown,no
6093,45,services,318,cellular,2,-1,unknown,no
3962,49,blue-collar,134,unknown,2,-1,unknown,no
2332,40,blue-collar,1009,unknown,5,-1,unknown,yes
2641,63,management,2785,cellular,2,392,success,yes
571,55,retired,357,cellular,1,103,failure,no
2507,33,admin.,616,cellular,3,-1,unknown,yes
6278,32,blue-collar,130,cellular,2,-1,unknown,no
4708,34,management,747,cellular,2,98,failure,no
5837,35,blue-collar,-276,cellular,1,-1,unknown,yes
3385,39,management,1914,cellular,4,-1,unknown,no
1631,27,management,843,cellular,2,185,success,no
4200,48,blue-collar,1513,cellular,1,-1,unknown,no
7211,47,blue-collar,1568,cellular,3,91,success,yes
1199,31,management,1343,unknown,1,-1,unknown,no
3634,52,self-employed,385,cellular,4,-1,unknown,no
6926,26,blue-collar,535,cellular,1,-1,unknown,yes
4702,59,retired,422,cellular,4,-1,unknown,yes
6119,50,admin.,237,telephone,1,-1,unknown,yes
2194,44,self-employed,163,cellular,1,100,success,no
7551,55,retired,101,cellular,1,-1,unknown,no
2840,28,admin.,1104,cellular,7,-1,unknown,no
4103,41,management,3872,cellular,1,-1,unknown,no
2279,40,services,-116,unknown,3,-1,unknown,no
2705,30,management,-250,unknown,6,-1,unknown,no
6624,52,entrepreneur,7,cellular,5,-1,unknown,no
7275,33,self-employed,263,cellular,4,94,failure,no
7158,56,services,450,unknown,1,-1,unknown,no
3778,72,retired,0,cellular,2,-1,unknown,no
6649,56,management,-6,telephone,16,-1,unknown,no
6857,35,management,5958,cellular,1,-1,unknown,yes
2689,36,blue-collar,49,cellular,2,365,other,no
6025,28,student,67,cellular,3,199,other,yes
2112,28,technician,922,cellular,1,-1,unknown,no
7454,57,admin.,0,unknown,2,-1,unknown,no
4793,59,retired,3444,cellular,1,185,success,yes
2875,32,technician,1855,cellular,2,134,other,yes
872,39,student,2103,cellular,1,-1,unknown,yes
3409,45,management,10,cellular,7,-1,unknown,no
5587,39,management,271,cellular,1,-1,unknown,yes
5412,36,technician,521,cellular,3,-1,unknown,yes
960,33,services,1595,unknown,1,-1,unknown,no
6659,26,self-employed,479,cellular,3,-1,unknown,no
2061,42,retired,0,unknown,2,-1,unknown,no
1877,36,management,992,unknown,1,-1,unknown,no
4097,44,management,22,cellular,2,-1,unknown,no
3528,48,self-employed,0,unknown,1,-1,unknown,no
160,30,blue-collar,6281,cellular,2,-1,unknown,yes
5726,29,technician,18,cellular,3,-1,unknown,no
550,65,retired,571,cellular,1,183,success,yes
2919,41,admin.,124,cellular,3,-1,unknown,no
325,39,management,3518,cellular,1,-1,unknown,no
7564,36,blue-collar,1177,cellular,1,311,success,yes
5659,32,admin.,205,cellular,3,-1,unknown,no
1081,41,entrepreneur,8491,cellular,1,-1,unknown,yes
4114,39,blue-collar,167,cellular,1,-1,unknown,yes
6070,43,self-employed,3003,cellular,3,-1,unknown,no
5591,43,technician,629,cellular,1,-1,unknown,no
969,39,technician,-1451,cellular,5,-1,unknown,no
1472,29,blue-collar,455,telephone,2,36,success,yes
3096,47,management,3663,cellular,2,213,success,yes
5679,44,housemaid,-156,cellular,2,-1,unknown,yes
7196,44,entrepreneur,887,cellular,1,14,failure,no
7742,32,blue-collar,1076,unknown,1,-1,unknown,no
4277,31,blue-collar,-277,telephone,2,-1,unknown,yes
7089,30,technician,1289,unknown,2,-1,unknown,yes
5144,29,technician,544,unknown,1,-1,unknown,no
2334,37,management,1689,unknown,2,-1,unknown,no
3103,34,blue-collar,1924,cellular,2,253,failure,no
1177,25,services,2022,cellular,8,97,other,yes
833,52,services,911,unknown,2,-1,unknown,no
3491,60,retired,1542,unknown,1,-1,unknown,yes
2261,32,management,-383,unknown,1,-1,unknown,no
2690,35,management,43,cellular,1,-1,unknown,yes
1667,46,admin.,22,cellular,6,-1,unknown,yes
2563,37,admin.,1314,cellular,1,14,failure,no
644,26,technician,223,cellular,3,-1,unknown,yes
2335,53,blue-collar,1388,cellular,4,-1,unknown,no
902,38,blue-collar,360,unknown,2,-1,unknown,no
534,32,self-employed,1423,cellular,4,-1,unknown,yes
3427,55,technician,0,cellular,2,-1,unknown,no
4863,27,services,302,cellular,1,-1,unknown,yes
6013,52,management,4358,telephone,7,-1,unknown,no
752,32,technician,932,cellular,1,318,failure,yes
4405,32,blue-collar,760,cellular,1,148,other,no
1717,29,management,199,unknown,4,-1,unknown,yes
4267,31,management,1331,unknown,1,-1,unknown,yes
1203,35,blue-collar,257,cellular,1,-1,unknown,no
4164,41,technician,1788,cellular,1,-1,unknown,no
4801,56,admin.,105,telephone,2,-1,unknown,no
1242,36,technician,1354,cellular,3,97,success,yes
7370,34,management,273,cellular,1,175,failure,yes
6825,40,admin.,-666,unknown,2,-1,unknown,no
7007,49,technician,-287,unknown,1,-1,unknown,no
6226,41,admin.,2498,cellular,1,-1,unknown,yes
2735,25,services,895,unknown,1,-1,unknown,no
953,30,services,129,unknown,7,-1,unknown,yes
7340,35,technician,0,telephone,2,-1,unknown,no
5690,49,technician,1807,cellular,1,82,success,no
666,41,services,804,unknown,8,-1,unknown,no
636,38,services,2678,cellular,2,187,success,yes
218,31,technician,200,cellular,2,-1,unknown,no
6711,48,services,62,cellular,1,-1,unknown,no
4206,47,management,3663,cellular,3,-1,unknown,yes
2910,34,self-employed,1972,cellular,2,-1,unknown,no
4447,39,services,636,telephone,1,-1,unknown,no
1130,33,management,3301,cellular,2,171,failure,no
453,38,blue-collar,2467,cellular,1,-1,unknown,yes
801,45,management,644,cellular,1,168,success,yes
5422,33,services,2411,cellular,1,161,failure,yes
6685,36,services,9713,unknown,3,-1,unknown,no
3593,32,technician,1119,cellular,2,-1,unknown,no
640,55,technician,462,cellular,2,-1,unknown,no
3830,38,management,162,cellular,4,-1,unknown,no
6483,33,student,2321,cellular,2,381,failure,no
3794,38,management,38,cellular,2,-1,unknown,no
94,33,management,4570,cellular,2,-1,unknown,yes
5596,42,management,386,unknown,1,-1,unknown,no
1948,54,management,2895,cellular,2,256,failure,no
3387,46,management,2817,cellular,1,-1,unknown,yes
1543,31,technician,882,cellular,1,-1,unknown,yes
7108,39,management,297,cellular,2,-1,unknown,yes
6218,47,management,0,cellular,2,-1,unknown,no
3834,41,blue-collar,2413,unknown,3,-1,unknown,no
1683,35,blue-collar,0,cellular,1,345,other,yes
4596,78,retired,1204,telephone,1,-1,unknown,yes
2792,58,technician,0,cellular,1,-1,unknown,no
7375,53,admin.,0,cellular,2,-1,unknown,no
2011,62,management,0,cellular,3,182,failure,no
349,31,admin.,622,cellular,1,-1,unknown,yes
6023,42,housemaid,578,telephone,1,-1,unknown,no
877,48,blue-collar,1405,unknown,2,-1,unknown,yes
5408,64,management,5112,telephone,7,137,other,yes
7775,29,admin.,127,cellular,1,-1,unknown,no
7614,25,student,10,cellular,4,-1,unknown,yes
6695,48,blue-collar,343,unknown,1,-1,unknown,no
7132,25,student,8,cellular,2,-1,unknown,yes
2366,35,management,3168,cellular,30,-1,unknown,no
2008,41,blue-collar,449,cellular,6,-1,unknown,no
1243,23,blue-collar,780,cellular,1,-1,unknown,yes
5551,31,management,0,cellular,16,-1,unknown,no
3513,30,unemployed,7105,cellular,2,-1,unknown,yes
364,33,admin.,272,cellular,1,237,failure,yes
2289,50,management,2910,telephone,1,113,failure,no
2785,26,management,243,cellular,1,-1,unknown,yes
5188,35,technician,84,cellular,1,-1,unknown,yes
5206,30,technician,569,cellular,12,-1,unknown,yes
3265,47,technician,568,telephone,2,-1,unknown,no
4892,37,technician,549,cellular,1,-1,unknown,yes
6533,54,technician,3994,cellular,2,187,success,yes
6343,35,admin.,286,cellular,2,-1,unknown,yes
3817,26,entrepreneur,101,cellular,1,268,failure,yes
9,57,housemaid,0,unknown,1,-1,unknown,no
1785,47,blue-collar,116,unknown,2,-1,unknown,no
6336,45,management,904,unknown,9,-1,unknown,no
6802,32,blue-collar,1918,cellular,1,172,failure,no
3831,35,blue-collar,975,cellular,1,-1,unknown,no
4092,52,services,992,cellular,1,92,success,yes
7072,34,blue-collar,425,cellular,7,-1,unknown,no
901,26,services,-379,cellular,7,-1,unknown,yes
5179,36,management,926,cellular,1,-1,unknown,yes
7023,49,housemaid,198,unknown,3,-1,unknown,no
1180,41,blue-collar,849,cellular,4,-1,unknown,no
6479,41,blue-collar,2453,unknown,1,-1,unknown,yes
4173,53,management,2693,cellular,1,104,failure,yes
4135,36,services,145,cellular,1,252,other,no
4595,74,retired,935,cellular,1,99,failure,yes
7660,34,management,13,cellular,3,-1,unknown,no
5239,35,technician,399,cellular,2,345,failure,yes
3001,55,management,1504,cellular,3,101,success,yes
328,31,management,1812,cellular,1,-1,unknown,yes
5373,43,management,-410,cellular,1,-1,unknown,no
4942,60,housemaid,0,telephone,2,181,failure,yes
2021,38,management,151,cellular,1,-1,unknown,no
4999,28,unknown,4465,cellular,1,-1,unknown,yes
4776,31,blue-collar,43,unknown,3,-1,unknown,no
5121,41,services,840,cellular,1,-1,unknown,yes
5580,43,management,1258,unknown,1,-1,unknown,yes
2848,37,blue-collar,194,unknown,7,-1,unknown,no
7241,31,technician,24,cellular,2,-1,unknown,no
6917,44,technician,2857,cellular,2,-1,unknown,no
4464,54,blue-collar,1636,telephone,2,-1,unknown,yes
7529,55,retired,493,unknown,7,-1,unknown,no
6678,73,retired,1050,cellular,3,181,failure,yes
7378,42,technician,-805,cellular,6,-1,unknown,no
3961,50,management,0,cellular,3,130,other,no
7353,50,management,299,cellular,3,-1,unknown,no
5011,39,admin.,2854,unknown,1,-1,unknown,no
2473,46,self-employed,21,cellular,2,-1,unknown,yes
5163,30,management,697,cellular,2,181,success,yes
2680,51,unemployed,234,cellular,1,-1,unknown,yes
6675,45,admin.,205,cellular,1,92,success,yes
6765,33,management,322,cellular,3,-1,unknown,no
3056,37,management,3737,cellular,1,-1,unknown,yes
267,32,technician,599,cellular,1,-1,unknown,no
1244,24,self-employed,91,cellular,2,-1,unknown,no
4965,44,technician,678,cellular,1,124,other,no
5283,67,retired,2027,cellular,2,-1,unknown,yes
7803,31,admin.,54,cellular,1,-1,unknown,no
1685,27,management,1720,cellular,2,273,failure,yes
739,37,technician,2442,cellular,3,-1,unknown,yes
6707,70,retired,1853,telephone,1,-1,unknown,yes
3959,41,blue-collar,720,cellular,1,-1,unknown,yes
6807,59,technician,259,cellular,1,89,success,yes
6084,47,admin.,3696,cellular,2,181,success,yes
6949,33,management,4176,cellular,3,-1,unknown,yes
5744,51,blue-collar,33,unknown,3,-1,unknown,yes
6160,24,management,1506,cellular,2,95,success,yes
3020,31,self-employed,762,cellular,3,-1,unknown,no
474,46,management,2223,unknown,3,-1,unknown,no
4406,34,technician,1279,cellular,2,160,other,yes
6785,45,blue-collar,803,cellular,4,-1,unknown,yes
2195,44,management,226,cellular,3,270,failure,yes
6601,23,student,565,cellular,7,-1,unknown,no
1823,76,retired,820,telephone,4,-1,unknown,yes
7246,37,technician,0,cellular,3,-1,unknown,no
7290,39,admin.,160,cellular,1,-1,unknown,no
3122,54,admin.,200,cellular,1,-1,unknown,yes
1970,60,retired,514,cellular,1,124,other,yes
4399,42,housemaid,1371,unknown,8,-1,unknown,no
1049,30,management,349,cellular,3,-1,unknown,no
6885,55,management,2693,cellular,1,184,success,yes
6845,38,technician,1919,cellular,1,-1,unknown,yes
2012,33,management,0,cellular,3,-1,unknown,no
6630,28,blue-collar,4287,cellular,1,-1,unknown,no
6629,30,management,1235,cellular,3,-1,unknown,no
259,20,student,0,cellular,5,91,failure,no
5960,30,management,1942,cellular,2,178,other,yes
7719,56,management,405,cellular,2,-1,unknown,no
4580,28,blue-collar,-46,cellular,2,91,success,yes
7293,31,services,6374,unknown,2,-1,unknown,no
5652,39,housemaid,267,unknown,5,-1,unknown,no
2362,63,technician,896,cellular,3,91,other,no
3305,57,management,0,cellular,1,-1,unknown,no
3097,24,blue-collar,167,cellular,2,-1,unknown,yes
5289,30,management,536,cellular,1,-1,unknown,yes
3218,27,services,0,cellular,13,-1,unknown,yes
4308,41,technician,1646,cellular,1,184,success,yes
7006,32,technician,654,cellular,4,-1,unknown,yes
34,42,management,742,unknown,3,-1,unknown,no
1888,58,admin.,169,cellular,3,87,success,yes
6067,32,admin.,620,unknown,3,-1,unknown,yes
2039,26,student,620,cellular,1,94,success,yes
2937,58,admin.,2160,cellular,1,-1,unknown,yes
5287,25,student,486,cellular,3,199,failure,yes
6709,35,services,4564,cellular,6,-1,unknown,no
956,26,technician,-119,cellular,5,-1,unknown,yes
6030,43,admin.,388,cellular,2,-1,unknown,no
3208,48,management,1600,cellular,1,-1,unknown,no
6539,34,technician,149,cellular,2,-1,unknown,yes
4799,41,blue-collar,0,unknown,5,-1,unknown,no
4706,29,technician,2326,cellular,1,-1,unknown,yes
3774,43,management,46,cellular,8,-1,unknown,no
4064,49,blue-collar,-232,cellular,2,-1,unknown,no
1723,26,admin.,96,cellular,1,345,failure,no
3970,43,admin.,877,cellular,1,-1,unknown,no
4036,31,services,1629,unknown,2,-1,unknown,no
3918,42,services,466,cellular,1,-1,unknown,no
1885,46,unemployed,44,cellular,1,-1,unknown,yes
6415,31,entrepreneur,10,cellular,3,188,failure,no
524,35,blue-collar,0,cellular,1,290,failure,no
4296,49,management,234,cellular,6,-1,unknown,no
6300,31,blue-collar,605,unknown,10,-1,unknown,no
3447,48,management,2892,cellular,1,385,success,yes
2245,50,admin.,133,cellular,4,-1,unknown,yes
750,25,student,469,cellular,1,187,success,no
2390,46,blue-collar,1074,cellular,2,-1,unknown,no
3384,31,services,181,cellular,1,104,success,yes
2536,31,unemployed,1489,cellular,1,-1,unknown,no
6564,38,entrepreneur,2543,cellular,1,414,failure,yes
5055,46,blue-collar,-3,unknown,2,-1,unknown,no
4347,77,retired,1385,telephone,4,-1,unknown,no
6843,38,housemaid,70,cellular,4,92,success,yes
5598,35,services,0,cellular,1,-1,unknown,yes
776,40,technician,372,cellular,1,100,failure,no
5731,77,retired,2223,telephone,2,187,success,no
417,36,technician,1109,cellular,2,-1,unknown,no
4242,32,blue-collar,1426,cellular,1,-1,unknown,no
470,50,management,2050,cellular,3,-1,unknown,no
