,job,balance,housing,loan,contact,pdays,poutcome,default,duration,deposit
662,entrepreneur,1859,yes,no,cellular,-1,unknown,no,227,0
6203,management,870,no,no,cellular,179,success,no,220,1
2107,retired,1948,no,no,cellular,91,success,no,216,1
4905,retired,1230,no,no,cellular,87,failure,no,420,1
1935,management,-547,yes,no,cellular,-1,unknown,no,101,0
243,technician,1590,yes,no,cellular,-1,unknown,no,59,0
6692,management,1221,yes,no,telephone,-1,unknown,no,279,1
529,blue-collar,759,yes,no,unknown,-1,unknown,no,710,1
5455,blue-collar,188,yes,yes,unknown,-1,unknown,no,570,1
372,admin.,0,no,yes,unknown,-1,unknown,no,142,0
6503,technician,1173,yes,no,cellular,-1,unknown,no,444,1
4195,blue-collar,0,no,no,cellular,105,failure,no,255,0
4074,admin.,829,yes,yes,unknown,-1,unknown,no,339,0
2544,management,451,yes,no,cellular,-1,unknown,no,220,0
4994,retired,1058,no,no,cellular,91,success,no,218,1
5819,management,133,yes,no,unknown,-1,unknown,no,65,0
4933,retired,2812,no,no,cellular,181,success,no,392,1
2879,housemaid,0,yes,no,cellular,-1,unknown,no,157,0
3384,technician,5122,yes,no,cellular,184,failure,no,370,0
5073,technician,507,no,no,cellular,-1,unknown,no,173,0
4371,management,792,no,no,cellular,-1,unknown,no,630,1
3944,technician,728,yes,no,cellular,261,other,no,393,0
5942,student,132,no,no,cellular,-1,unknown,no,217,1
4632,admin.,1248,yes,yes,cellular,-1,unknown,no,428,0
1375,admin.,2145,no,no,telephone,-1,unknown,no,273,0
2889,technician,556,yes,no,cellular,80,success,no,368,1
2360,services,26,yes,no,cellular,-1,unknown,no,166,0
6172,admin.,1000,yes,no,cellular,-1,unknown,no,195,1
5503,management,120,no,no,unknown,-1,unknown,no,66,0
2461,blue-collar,0,yes,no,telephone,-1,unknown,no,305,0
5691,management,0,yes,no,telephone,-1,unknown,no,90,0
1244,admin.,0,yes,no,cellular,168,failure,no,85,0
6566,management,76,no,no,cellular,183,success,no,200,1
1562,blue-collar,104,yes,no,unknown,-1,unknown,no,22,0
2209,admin.,1406,yes,no,cellular,85,success,no,63,1
5623,management,71,no,no,cellular,102,failure,no,335,1
18,management,242,no,no,cellular,96,success,no,120,1
2469,management,3371,no,no,cellular,-1,unknown,no,269,1
3109,retired,630,no,no,cellular,-1,unknown,no,97,0
552,management,3317,no,yes,telephone,-1,unknown,no,640,1
2184,blue-collar,1265,no,yes,cellular,-1,unknown,no,849,1
1609,admin.,-372,yes,no,unknown,-1,unknown,no,104,0
3206,admin.,1794,no,no,cellular,-1,unknown,no,1035,1
6496,management,5958,yes,no,cellular,-1,unknown,no,215,1
4460,technician,113,no,no,cellular,183,success,no,328,1
5443,management,1949,yes,no,unknown,-1,unknown,no,683,1
3821,management,800,yes,no,cellular,-1,unknown,no,405,0
664,technician,337,no,no,unknown,-1,unknown,no,23,1
3587,technician,5115,yes,no,cellular,95,success,no,318,1
720,blue-collar,1012,yes,no,cellular,329,failure,no,22,0
7189,student,188,yes,no,cellular,78,success,no,863,1
3545,management,1270,no,no,cellular,-1,unknown,no,232,1
5158,management,533,no,no,cellular,91,success,no,144,1
4048,blue-collar,5,no,no,cellular,-1,unknown,no,321,1
961,technician,2,yes,yes,cellular,205,failure,no,71,0
6201,admin.,35,yes,no,cellular,69,failure,no,76,0
1663,blue-collar,-454,yes,yes,unknown,-1,unknown,no,861,0
1567,blue-collar,622,yes,no,unknown,-1,unknown,no,611,1
6751,self-employed,168,no,no,cellular,-1,unknown,no,394,1
1407,blue-collar,1127,yes,no,cellular,-1,unknown,no,455,0
312,management,3518,yes,no,cellular,-1,unknown,no,440,0
2981,blue-collar,51,yes,no,unknown,-1,unknown,no,593,0
5290,technician,1035,no,no,cellular,-1,unknown,no,1374,1
5011,admin.,465,yes,no,unknown,-1,unknown,no,160,0
1348,blue-collar,1,yes,no,cellular,-1,unknown,no,257,0
5305,unemployed,991,yes,no,unknown,-1,unknown,no,316,0
6816,retired,67,no,no,unknown,-1,unknown,no,835,1
3023,management,4396,no,no,cellular,-1,unknown,no,432,1
3029,services,94,yes,no,unknown,-1,unknown,no,352,0
503,management,944,no,yes,unknown,-1,unknown,no,119,0
7201,admin.,-302,yes,yes,unknown,-1,unknown,no,235,0
2929,admin.,0,yes,no,cellular,92,success,no,210,1
673,management,6542,yes,no,cellular,175,failure,no,1598,1
4244,technician,726,yes,no,cellular,-1,unknown,no,163,0
865,technician,221,yes,no,cellular,355,failure,no,669,1
3534,services,162,yes,no,cellular,-1,unknown,no,531,1
7012,management,1945,no,no,unknown,-1,unknown,no,191,0
3940,technician,489,yes,no,cellular,-1,unknown,no,356,1
6835,management,336,no,no,cellular,-1,unknown,no,179,1
1504,retired,275,no,no,cellular,425,success,no,293,1
1760,technician,652,yes,yes,cellular,-1,unknown,no,50,0
1697,management,1464,no,no,cellular,-1,unknown,no,157,1
4370,management,312,no,no,cellular,369,failure,no,271,0
3247,admin.,607,no,no,cellular,-1,unknown,no,110,1
7148,management,318,yes,no,cellular,141,other,no,1190,1
5784,blue-collar,548,no,no,cellular,-1,unknown,no,520,1
5657,services,1367,no,no,unknown,-1,unknown,no,144,0
2258,admin.,272,yes,no,cellular,-1,unknown,no,73,0
1024,admin.,-218,yes,no,unknown,-1,unknown,no,227,0
5185,management,2769,yes,no,cellular,131,failure,no,104,0
4616,retired,298,no,no,cellular,-1,unknown,no,709,1
1322,technician,6746,no,no,cellular,-1,unknown,no,199,1
2992,student,1809,no,no,cellular,-1,unknown,no,414,1
5753,student,3511,no,no,cellular,96,success,no,311,1
4290,blue-collar,6215,yes,no,cellular,-1,unknown,no,549,0
4898,management,926,no,no,cellular,-1,unknown,no,216,1
3425,management,195,no,yes,cellular,265,other,no,47,0
1801,blue-collar,2093,no,no,cellular,444,failure,no,224,1
3104,management,5888,yes,no,unknown,-1,unknown,no,45,0
7151,management,0,no,no,unknown,-1,unknown,no,302,1
5773,management,2213,no,no,cellular,154,failure,no,125,0
3531,admin.,261,yes,yes,cellular,-1,unknown,no,592,1
3293,blue-collar,342,yes,no,cellular,175,failure,no,340,0
2833,management,516,yes,no,cellular,-1,unknown,no,245,0
5475,management,2431,yes,no,cellular,-1,unknown,no,646,1
3475,technician,185,no,yes,cellular,-1,unknown,no,44,0
5916,housemaid,2,no,no,cellular,93,success,no,45,0
3461,blue-collar,348,yes,no,unknown,-1,unknown,no,185,0
7068,self-employed,28,no,yes,unknown,-1,unknown,no,159,0
6155,technician,341,no,no,cellular,-1,unknown,no,282,1
3824,entrepreneur,0,yes,no,cellular,183,failure,no,611,1
5528,services,758,no,no,cellular,-1,unknown,no,282,0
7174,services,4216,no,no,cellular,195,success,no,150,1
1998,management,858,no,no,cellular,-1,unknown,no,202,1
997,management,349,no,no,cellular,-1,unknown,no,180,0
5310,admin.,265,yes,no,cellular,181,success,no,681,1
6792,housemaid,4,no,no,cellular,-1,unknown,no,85,0
1138,management,1343,yes,yes,unknown,-1,unknown,no,85,0
3068,management,122,yes,no,unknown,-1,unknown,no,1622,1
3009,blue-collar,215,no,no,cellular,-1,unknown,no,166,0
7051,technician,1165,no,no,cellular,184,success,no,244,1
87,technician,-114,no,no,cellular,-1,unknown,no,155,0
5442,blue-collar,0,no,no,unknown,-1,unknown,no,270,0
7369,unemployed,216,no,no,cellular,-1,unknown,no,577,1
1610,blue-collar,602,yes,no,unknown,-1,unknown,no,161,0
4036,blue-collar,105,yes,no,cellular,-1,unknown,yes,586,1
544,management,86,no,no,cellular,186,other,no,281,1
580,technician,196,yes,no,cellular,-1,unknown,no,318,0
1764,blue-collar,403,yes,no,unknown,-1,unknown,no,920,1
1735,retired,820,no,no,telephone,-1,unknown,no,263,1
4361,management,761,yes,no,cellular,-1,unknown,no,80,0
6876,services,-336,no,yes,unknown,-1,unknown,no,111,0
1317,blue-collar,-208,yes,no,unknown,-1,unknown,no,127,0
1356,technician,558,yes,no,cellular,-1,unknown,no,300,0
118,management,267,no,no,cellular,-1,unknown,no,190,1
3870,technician,631,yes,no,cellular,-1,unknown,no,343,0
3118,management,7803,no,no,cellular,-1,unknown,no,441,1
2706,student,1779,no,no,cellular,-1,unknown,no,400,1
6521,unemployed,959,no,no,telephone,-1,unknown,no,694,1
6066,services,1309,yes,no,unknown,-1,unknown,no,349,0
1925,admin.,15,no,yes,cellular,-1,unknown,no,177,0
3436,unemployed,3354,yes,no,cellular,174,success,no,522,1
1996,admin.,7426,no,no,telephone,-1,unknown,no,65,0
3390,technician,4736,yes,no,cellular,-1,unknown,no,285,1
4780,blue-collar,-3,yes,no,unknown,-1,unknown,no,92,0
5316,management,226,yes,no,cellular,185,success,no,91,1
2468,services,654,no,no,cellular,-1,unknown,no,875,1
6536,entrepreneur,7279,yes,no,cellular,-1,unknown,no,882,1
6797,blue-collar,1032,yes,no,unknown,-1,unknown,no,41,0
3504,admin.,368,no,no,cellular,140,success,no,363,1
3666,unemployed,415,no,no,cellular,176,failure,no,649,1
881,technician,-1053,yes,no,cellular,-1,unknown,no,357,0
6471,blue-collar,92,yes,no,unknown,-1,unknown,no,688,1
3121,management,2326,yes,yes,cellular,-1,unknown,no,319,1
2362,services,4721,no,no,cellular,92,success,no,150,1
3412,admin.,255,no,no,cellular,106,success,no,209,1
3935,technician,476,yes,no,cellular,-1,unknown,no,160,0
1800,retired,1146,no,no,cellular,92,failure,no,259,1
2349,management,1090,no,no,cellular,93,success,no,178,1
1412,technician,2557,no,no,cellular,156,other,no,340,1
3691,technician,3652,yes,no,unknown,-1,unknown,no,1028,1
3550,retired,631,no,no,telephone,-1,unknown,no,95,0
6859,technician,7,no,yes,unknown,-1,unknown,no,175,0
2897,management,45,no,no,cellular,-1,unknown,no,1187,1
4342,technician,2,yes,yes,unknown,-1,unknown,no,461,0
5379,blue-collar,2749,yes,no,cellular,164,failure,no,774,1
4545,blue-collar,0,yes,no,cellular,-1,unknown,no,1222,1
948,technician,8,no,no,cellular,-1,unknown,no,462,0
3665,services,371,no,no,unknown,-1,unknown,no,77,0
4794,services,168,yes,no,cellular,-1,unknown,no,128,0
669,blue-collar,623,yes,no,cellular,-1,unknown,no,1425,1
694,management,2644,no,no,cellular,-1,unknown,no,192,0
5192,management,-244,yes,no,unknown,-1,unknown,no,253,0
869,blue-collar,180,no,no,cellular,-1,unknown,no,389,1
3778,self-employed,746,no,no,unknown,-1,unknown,no,256,0
2681,management,53,yes,no,cellular,-1,unknown,no,378,0
6402,management,943,no,no,cellular,-1,unknown,no,512,1
3340,services,1040,yes,no,unknown,-1,unknown,no,552,1
4777,blue-collar,1033,yes,no,cellular,-1,unknown,no,283,0
2356,technician,4596,yes,no,cellular,-1,unknown,no,901,1
4326,retired,0,yes,yes,unknown,-1,unknown,no,648,1
5802,self-employed,1070,yes,no,cellular,91,success,no,172,1
5920,blue-collar,4592,yes,no,cellular,-1,unknown,no,360,0
3922,self-employed,1337,yes,yes,cellular,-1,unknown,no,632,0
3816,management,502,no,no,cellular,87,failure,no,968,1
6882,retired,1906,no,yes,unknown,-1,unknown,no,45,0
4925,technician,569,no,no,cellular,-1,unknown,no,976,1
7322,student,3026,no,no,cellular,535,failure,no,251,1
7274,retired,-71,yes,no,cellular,-1,unknown,no,293,0
7000,entrepreneur,2543,no,no,cellular,93,success,no,357,1
4966,blue-collar,509,yes,no,cellular,-1,unknown,no,172,0
1964,unemployed,201,no,no,cellular,91,success,no,594,1
6623,unemployed,1974,no,no,cellular,191,failure,no,498,1
2788,management,173,no,no,unknown,-1,unknown,no,48,0
974,admin.,73,no,no,cellular,-1,unknown,no,159,1
3052,management,1064,no,no,cellular,-1,unknown,no,101,0
6517,technician,1938,no,yes,cellular,386,success,no,193,1
3160,services,61,no,no,unknown,-1,unknown,no,636,1
6128,management,10884,no,no,cellular,98,success,no,294,1
6233,management,16,no,yes,cellular,-1,unknown,no,47,0
2907,management,600,yes,no,cellular,-1,unknown,no,170,0
5721,services,443,no,no,telephone,-1,unknown,no,167,0
4953,technician,11222,yes,no,cellular,171,failure,no,126,0
3043,admin.,524,no,no,cellular,-1,unknown,no,185,1
1721,blue-collar,522,no,no,cellular,-1,unknown,no,197,0
3577,technician,1130,no,no,cellular,-1,unknown,no,152,1
2225,technician,7050,no,no,cellular,-1,unknown,no,130,1
6245,management,160,no,no,cellular,-1,unknown,no,619,1
5069,self-employed,327,no,yes,cellular,-1,unknown,no,145,0
4510,admin.,-12,yes,no,unknown,-1,unknown,no,98,0
1993,self-employed,1559,no,no,cellular,-1,unknown,no,130,0
3295,services,92,yes,yes,unknown,-1,unknown,no,118,0
7400,unemployed,978,no,no,cellular,71,success,no,262,1
5712,blue-collar,2548,yes,no,cellular,368,other,no,577,0
6429,unemployed,140,yes,no,telephone,-1,unknown,no,11,0
6089,management,2016,no,no,cellular,348,success,no,232,1
5806,management,607,yes,no,unknown,-1,unknown,no,1060,1
623,student,64,no,no,cellular,-1,unknown,no,112,0
4134,admin.,215,yes,yes,cellular,-1,unknown,no,210,0
1480,technician,9192,yes,no,unknown,-1,unknown,no,59,0
6679,admin.,262,yes,no,cellular,-1,unknown,no,74,0
1635,admin.,527,no,yes,cellular,-1,unknown,no,112,1
6705,entrepreneur,-172,yes,no,cellular,-1,unknown,yes,562,1
6941,technician,375,no,no,unknown,-1,unknown,yes,223,0
536,technician,892,yes,yes,unknown,-1,unknown,no,234,0
1519,admin.,597,no,no,cellular,-1,unknown,no,395,1
3967,admin.,1954,yes,yes,cellular,174,failure,no,158,0
1101,blue-collar,7051,no,yes,cellular,-1,unknown,no,106,0
6599,admin.,659,yes,no,telephone,-1,unknown,no,1127,1
742,admin.,384,yes,no,cellular,-1,unknown,no,551,0
5581,services,795,no,no,cellular,-1,unknown,no,101,0
1367,management,1227,no,no,cellular,-1,unknown,no,1123,1
2173,management,2910,no,no,telephone,113,failure,no,433,0
6643,blue-collar,2235,yes,no,cellular,-1,unknown,no,287,0
4755,blue-collar,484,no,no,cellular,87,failure,no,344,1
4679,technician,197,no,no,cellular,87,success,no,234,1
4989,blue-collar,0,yes,no,telephone,-1,unknown,no,10,0
4640,student,1919,yes,no,cellular,351,failure,no,264,0
7214,management,2152,no,no,cellular,-1,unknown,no,75,1
2117,self-employed,1,no,no,cellular,-1,unknown,no,167,0
7017,technician,431,no,no,cellular,-1,unknown,no,180,1
7218,admin.,3794,no,no,cellular,-1,unknown,no,249,0
6152,services,367,yes,no,cellular,306,success,no,309,1
5395,admin.,70,yes,no,cellular,-1,unknown,no,229,1
6930,management,2955,no,no,cellular,-1,unknown,no,226,1
4607,technician,0,no,no,telephone,-1,unknown,no,744,1
3644,entrepreneur,0,no,yes,cellular,-1,unknown,no,115,0
4680,blue-collar,910,yes,no,cellular,-1,unknown,no,42,0
1229,admin.,430,yes,no,cellular,-1,unknown,no,103,0
5063,blue-collar,-367,yes,no,cellular,350,failure,no,77,0
4354,management,179,yes,no,cellular,-1,unknown,no,184,0
3024,blue-collar,272,no,no,cellular,286,failure,no,146,1
7408,management,13901,yes,no,cellular,-1,unknown,no,59,0
7090,blue-collar,7773,yes,no,cellular,-1,unknown,no,705,1
436,management,131,yes,yes,cellular,-1,unknown,no,1152,1
1532,management,337,no,no,cellular,-1,unknown,no,59,0
4417,technician,1646,yes,no,cellular,90,success,no,258,1
1403,management,0,no,yes,cellular,-1,unknown,no,370,0
1309,blue-collar,1127,yes,yes,cellular,281,failure,no,162,0
2704,admin.,1252,yes,yes,cellular,-1,unknown,no,59,0
3899,blue-collar,167,yes,yes,cellular,-1,unknown,no,612,1
1057,student,123,no,no,telephone,91,success,no,513,1
3911,blue-collar,452,no,no,cellular,-1,unknown,no,181,0
2964,management,2885,no,no,cellular,43,other,no,199,1
5041,blue-collar,230,no,yes,unknown,-1,unknown,no,176,0
3492,technician,2002,no,no,cellular,-1,unknown,no,146,1
5510,technician,279,yes,no,unknown,-1,unknown,no,198,0
3074,management,1724,no,no,cellular,-1,unknown,no,252,0
5283,admin.,132,no,no,cellular,-1,unknown,no,220,1
1500,management,133,yes,no,unknown,-1,unknown,no,308,0
3690,retired,1515,yes,no,cellular,187,failure,no,131,0
116,management,1336,yes,yes,cellular,309,failure,no,82,0
4870,technician,211,yes,yes,unknown,-1,unknown,no,230,0
2491,unemployed,582,yes,no,cellular,372,failure,no,693,1
6934,blue-collar,2090,yes,no,cellular,-1,unknown,no,957,1
352,admin.,2232,no,no,cellular,103,success,no,439,1
802,self-employed,2589,no,no,cellular,-1,unknown,no,614,1
2717,retired,381,yes,no,cellular,344,failure,no,208,0
375,blue-collar,1230,yes,no,cellular,182,success,no,328,1
933,retired,6746,no,no,telephone,-1,unknown,no,749,1
3418,blue-collar,158,yes,no,unknown,-1,unknown,no,176,0
6903,technician,656,no,yes,unknown,-1,unknown,no,523,0
1849,management,3401,no,no,cellular,270,failure,no,294,1
3609,admin.,1467,yes,no,cellular,332,failure,no,113,0
6838,retired,6422,no,no,cellular,-1,unknown,no,122,1
1349,self-employed,680,yes,no,telephone,-1,unknown,no,84,0
5811,blue-collar,579,yes,no,unknown,-1,unknown,no,198,0
5709,admin.,388,yes,no,cellular,-1,unknown,no,111,0
7378,management,1026,no,no,cellular,92,success,no,138,1
740,blue-collar,1777,yes,no,cellular,154,failure,no,796,1
6176,management,0,yes,no,cellular,-1,unknown,no,506,1
5903,management,256,yes,no,cellular,-1,unknown,no,28,0
1015,admin.,732,no,no,cellular,139,success,no,71,0
3012,blue-collar,2495,yes,no,unknown,-1,unknown,no,924,1
4225,student,64,no,no,cellular,105,failure,no,598,1
3392,management,1449,no,no,unknown,-1,unknown,no,291,0
6261,housemaid,234,no,no,cellular,-1,unknown,no,208,0
2576,technician,1001,no,yes,cellular,-1,unknown,no,178,0
4664,technician,13410,no,yes,cellular,-1,unknown,no,149,0
6605,self-employed,3698,yes,no,cellular,-1,unknown,no,106,1
2477,services,344,yes,no,cellular,-1,unknown,no,347,1
1853,entrepreneur,324,yes,no,cellular,-1,unknown,no,528,0
6780,services,4157,yes,no,unknown,-1,unknown,no,735,0
5568,unemployed,550,no,no,cellular,-1,unknown,no,801,1
6565,management,0,no,no,cellular,296,failure,no,275,1
19,services,2597,yes,no,cellular,355,failure,no,182,0
3370,management,202,yes,no,cellular,62,failure,no,167,1
5676,management,378,yes,yes,unknown,-1,unknown,no,127,0
6178,entrepreneur,265,yes,yes,unknown,-1,unknown,no,67,0
1310,management,586,yes,no,cellular,-1,unknown,no,141,0
4321,entrepreneur,5802,no,no,cellular,-1,unknown,no,618,1
150,services,-276,yes,yes,cellular,-1,unknown,no,674,1
3434,admin.,557,yes,no,cellular,-1,unknown,no,54,0
5975,management,565,no,no,cellular,-1,unknown,no,300,1
653,technician,3243,no,no,cellular,-1,unknown,no,439,1
5186,technician,1104,no,no,cellular,-1,unknown,no,395,1
4415,admin.,46,yes,no,cellular,-1,unknown,no,234,0
1678,admin.,228,yes,no,cellular,92,success,no,407,1
5216,management,461,yes,no,unknown,-1,unknown,no,72,0
3466,services,127,no,no,cellular,-1,unknown,no,117,0
7292,housemaid,1929,no,no,cellular,-1,unknown,no,169,0
5091,technician,2388,no,no,cellular,-1,unknown,no,123,0
2276,blue-collar,509,no,no,cellular,-1,unknown,no,418,1
3224,self-employed,3443,no,no,cellular,-1,unknown,no,409,0
6135,technician,94,no,no,cellular,-1,unknown,no,70,0
5508,management,2069,no,no,cellular,-1,unknown,no,545,1
1002,retired,2887,no,no,cellular,-1,unknown,no,128,1
1413,admin.,9,yes,no,cellular,-1,unknown,no,165,0
248,entrepreneur,12737,no,yes,cellular,-1,unknown,no,589,1
254,retired,1035,yes,yes,cellular,-1,unknown,no,223,0
3299,management,1633,no,no,cellular,-1,unknown,no,275,1
3596,admin.,0,no,no,unknown,-1,unknown,no,804,0
5141,admin.,2120,no,no,cellular,-1,unknown,no,687,1
6038,retired,2557,yes,no,cellular,92,success,no,158,1
1896,admin.,26,yes,no,cellular,323,failure,no,62,0
5068,services,283,yes,no,unknown,-1,unknown,no,156,0
6750,blue-collar,217,yes,no,cellular,-1,unknown,no,504,1
1135,blue-collar,0,no,no,unknown,-1,unknown,no,61,0
3760,management,355,no,no,cellular,-1,unknown,no,314,0
5794,unemployed,252,yes,no,cellular,-1,unknown,no,101,0
1107,management,471,no,no,cellular,-1,unknown,no,153,0
3477,admin.,92,yes,no,cellular,350,failure,no,139,0
77,technician,8,no,yes,cellular,96,failure,no,333,0
5450,management,5701,no,no,cellular,87,success,no,354,1
6541,retired,0,no,no,telephone,-1,unknown,no,189,1
7010,blue-collar,103,yes,no,cellular,317,other,no,2053,0
985,unknown,1547,no,no,telephone,-1,unknown,no,1186,1
1299,blue-collar,708,yes,no,unknown,-1,unknown,no,339,0
2680,retired,997,no,no,cellular,91,success,no,151,1
3236,retired,2139,no,no,cellular,-1,unknown,no,632,0
4969,technician,-315,no,yes,cellular,-1,unknown,no,2029,1
4784,technician,110,yes,no,cellular,-1,unknown,no,1036,1
3331,blue-collar,3485,no,no,cellular,-1,unknown,no,625,1
1807,management,1323,no,no,cellular,-1,unknown,no,327,1
2789,admin.,620,no,no,cellular,343,failure,no,211,0
4317,technician,102,no,yes,cellular,-1,unknown,no,574,1
7233,management,736,yes,no,cellular,246,other,no,442,1
6514,blue-collar,260,yes,no,telephone,-1,unknown,no,155,0
7196,blue-collar,3311,yes,no,unknown,-1,unknown,no,719,1
5344,management,5037,yes,no,cellular,-1,unknown,no,1437,1
1249,services,2843,yes,no,unknown,-1,unknown,no,585,1
6235,management,3935,yes,no,cellular,342,failure,no,765,1
3210,management,1914,no,no,cellular,-1,unknown,no,94,0
5958,services,371,yes,yes,cellular,-1,unknown,no,654,0
5952,technician,96,no,no,cellular,-1,unknown,no,913,1
645,admin.,6979,yes,no,cellular,-1,unknown,no,14,0
5892,blue-collar,1457,yes,no,cellular,-1,unknown,no,144,0
4383,technician,480,no,no,cellular,182,other,no,344,1
2507,blue-collar,15841,yes,no,cellular,-1,unknown,no,423,0
6580,technician,29,no,no,cellular,-1,unknown,no,156,0
4785,technician,2658,yes,no,cellular,141,failure,no,768,1
1387,management,5276,no,no,cellular,-1,unknown,no,572,0
155,admin.,0,no,no,cellular,-1,unknown,no,209,0
4544,services,310,yes,no,unknown,-1,unknown,no,144,0
636,management,1836,no,no,cellular,-1,unknown,no,902,1
1104,admin.,897,yes,no,cellular,280,failure,no,190,1
5515,technician,3234,no,no,cellular,-1,unknown,no,578,1
94,management,93,no,no,cellular,182,failure,no,262,1
4803,self-employed,30,no,no,unknown,-1,unknown,no,91,0
4066,management,234,no,no,cellular,-1,unknown,no,55,0
1782,management,4,yes,no,cellular,61,success,no,529,0
1530,entrepreneur,853,no,no,unknown,-1,unknown,no,1149,1
5501,management,231,no,no,cellular,14,failure,no,1075,1
3808,management,1808,yes,no,cellular,-1,unknown,no,245,1
6955,blue-collar,167,yes,no,cellular,-1,unknown,no,255,1
1797,unemployed,2080,yes,no,telephone,-1,unknown,no,266,0
5039,services,495,yes,no,cellular,-1,unknown,no,641,1
6424,services,505,no,no,cellular,-1,unknown,no,284,1
4223,management,1722,yes,no,cellular,-1,unknown,no,500,1
86,technician,655,yes,no,unknown,-1,unknown,no,179,0
3018,student,357,no,no,cellular,-1,unknown,no,115,0
1264,blue-collar,-887,yes,no,cellular,-1,unknown,no,827,1
3657,technician,7138,no,no,cellular,-1,unknown,no,809,1
25,student,3733,yes,no,cellular,91,success,no,419,0
2054,self-employed,0,yes,no,cellular,-1,unknown,no,767,1
3958,technician,-215,no,no,unknown,-1,unknown,no,1573,1
3481,services,101,yes,no,cellular,-1,unknown,no,85,0
6946,services,446,yes,no,unknown,-1,unknown,no,1252,1
2974,blue-collar,413,yes,no,cellular,182,success,no,235,1
573,blue-collar,759,yes,no,cellular,-1,unknown,no,317,1
5227,technician,136,no,yes,cellular,-1,unknown,no,151,0
1994,retired,318,no,no,cellular,-1,unknown,no,371,0
6490,technician,1533,no,no,unknown,-1,unknown,no,242,0
480,admin.,111,yes,no,cellular,-1,unknown,no,173,0
6229,blue-collar,4903,no,yes,unknown,-1,unknown,no,290,0
374,technician,156,no,yes,cellular,-1,unknown,no,1130,1
151,retired,211,no,no,telephone,-1,unknown,no,195,0
4579,services,207,yes,no,cellular,-1,unknown,no,629,1
3056,technician,351,yes,no,telephone,-1,unknown,no,18,0
4857,blue-collar,75,no,no,unknown,-1,unknown,no,7,0
1723,technician,4787,yes,no,cellular,167,failure,no,266,0
