,age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,marital,education,day,duration,previous,deposit
2202,41,blue-collar,75,yes,no,unknown,jul,9,-1,unknown,single,secondary,1,479,0,1
4058,68,retired,19317,yes,no,cellular,aug,1,-1,unknown,married,secondary,4,249,0,1
6677,34,admin.,3185,yes,no,unknown,may,1,-1,unknown,married,secondary,13,520,0,0
3057,36,admin.,125,yes,no,unknown,may,1,-1,unknown,divorced,tertiary,26,172,0,0
1548,56,technician,589,yes,no,unknown,oct,1,147,success,married,secondary,23,518,2,1
5043,39,blue-collar,581,yes,no,cellular,feb,1,270,other,single,primary,27,233,1,1
1316,28,management,22,yes,no,cellular,jul,3,-1,unknown,married,tertiary,31,59,0,0
6950,60,retired,523,no,no,cellular,feb,1,182,success,married,secondary,11,467,3,1
5669,31,management,5691,yes,no,cellular,jul,1,-1,unknown,single,tertiary,21,357,0,0
6273,41,management,254,no,no,cellular,jun,2,294,failure,married,tertiary,9,183,2,1
2399,47,admin.,3696,no,no,cellular,jan,4,-1,unknown,single,secondary,12,758,0,1
2944,24,blue-collar,167,no,yes,cellular,feb,2,-1,unknown,single,secondary,18,134,0,1
6744,32,management,26,no,no,cellular,aug,6,-1,unknown,married,tertiary,22,222,0,0
599,26,management,1094,yes,no,cellular,sep,1,-1,unknown,single,tertiary,8,137,0,1
4583,43,technician,0,no,no,cellular,aug,3,-1,unknown,married,secondary,19,313,0,0
4455,39,technician,201,no,yes,unknown,jun,4,-1,unknown,single,secondary,6,148,0,0
3758,32,unemployed,365,yes,no,cellular,jan,3,-1,unknown,married,secondary,30,210,0,0
5182,24,services,638,yes,yes,cellular,may,3,-1,unknown,single,secondary,7,792,0,1
662,35,entrepreneur,1859,yes,no,cellular,jul,2,-1,unknown,married,tertiary,14,227,0,0
6203,56,management,870,no,no,cellular,may,1,179,success,married,primary,14,220,1,1
2107,66,retired,1948,no,no,cellular,jan,1,91,success,married,tertiary,28,216,4,1
4905,58,retired,1230,no,no,cellular,may,1,87,failure,married,secondary,20,420,1,1
1935,35,management,-547,yes,no,cellular,aug,2,-1,unknown,married,tertiary,14,101,0,0
243,46,technician,1590,yes,no,cellular,jul,2,-1,unknown,married,secondary,15,59,0,0
6692,30,management,1221,yes,no,telephone,jul,4,-1,unknown,married,tertiary,25,279,0,1
529,28,blue-collar,759,yes,no,unknown,may,1,-1,unknown,single,secondary,9,710,0,1
5455,40,blue-collar,188,yes,yes,unknown,jun,2,-1,unknown,married,secondary,20,570,0,1
372,39,admin.,0,no,yes,unknown,jun,1,-1,unknown,single,secondary,19,142,0,0
6503,31,technician,1173,yes,no,cellular,jul,3,-1,unknown,married,secondary,14,444,0,1
4195,38,blue-collar,0,no,no,cellular,aug,2,105,failure,single,secondary,13,255,1,0
4074,47,admin.,829,yes,yes,unknown,may,1,-1,unknown,married,secondary,14,339,0,0
2544,35,management,451,yes,no,cellular,apr,6,-1,unknown,married,tertiary,17,220,0,0
4994,61,retired,1058,no,no,cellular,jul,2,91,success,married,secondary,27,218,3,1
5819,34,management,133,yes,no,unknown,may,1,-1,unknown,married,tertiary,8,65,0,0
4933,68,retired,2812,no,no,cellular,aug,4,181,success,married,tertiary,3,392,3,1
2879,38,housemaid,0,yes,no,cellular,jul,1,-1,unknown,married,secondary,23,157,0,0
3384,38,technician,5122,yes,no,cellular,nov,1,184,failure,single,tertiary,20,370,1,0
5073,39,technician,507,no,no,cellular,aug,4,-1,unknown,divorced,secondary,20,173,0,0
4371,44,management,792,no,no,cellular,aug,7,-1,unknown,married,tertiary,25,630,0,1
3944,30,technician,728,yes,no,cellular,feb,1,261,other,single,secondary,5,393,1,0
5942,26,student,132,no,no,cellular,jun,1,-1,unknown,single,secondary,4,217,0,1
4632,44,admin.,1248,yes,yes,cellular,may,3,-1,unknown,married,secondary,8,428,0,0
1375,59,admin.,2145,no,no,telephone,nov,2,-1,unknown,married,secondary,17,273,0,0
2889,24,technician,556,yes,no,cellular,nov,2,80,success,married,secondary,6,368,2,1
2360,39,services,26,yes,no,cellular,may,3,-1,unknown,single,secondary,14,166,0,0
6172,37,admin.,1000,yes,no,cellular,mar,1,-1,unknown,single,tertiary,17,195,0,1
5503,39,management,120,no,no,unknown,jun,1,-1,unknown,single,secondary,12,66,0,0
2461,33,blue-collar,0,yes,no,telephone,jul,3,-1,unknown,married,secondary,14,305,0,0
5691,48,management,0,yes,no,telephone,jul,2,-1,unknown,married,secondary,23,90,0,0
1244,48,admin.,0,yes,no,cellular,may,1,168,failure,married,unknown,8,85,2,0
6566,39,management,76,no,no,cellular,sep,1,183,success,married,unknown,15,200,1,1
1562,60,blue-collar,104,yes,no,unknown,may,1,-1,unknown,married,unknown,5,22,0,0
2209,34,admin.,1406,yes,no,cellular,aug,2,85,success,married,secondary,20,63,1,1
5623,33,management,71,no,no,cellular,feb,3,102,failure,married,tertiary,26,335,2,1
18,46,management,242,no,no,cellular,aug,2,96,success,married,tertiary,4,120,1,1
2469,49,management,3371,no,no,cellular,nov,2,-1,unknown,married,primary,11,269,0,1
3109,64,retired,630,no,no,cellular,aug,1,-1,unknown,divorced,secondary,21,97,0,0
552,29,management,3317,no,yes,telephone,may,7,-1,unknown,single,secondary,4,640,0,1
2184,59,blue-collar,1265,no,yes,cellular,jul,1,-1,unknown,divorced,primary,7,849,0,1
1609,53,admin.,-372,yes,no,unknown,may,1,-1,unknown,divorced,secondary,26,104,0,0
3206,30,admin.,1794,no,no,cellular,nov,1,-1,unknown,married,secondary,20,1035,0,1
6496,35,management,5958,yes,no,cellular,mar,1,-1,unknown,single,tertiary,22,215,0,1
4460,29,technician,113,no,no,cellular,feb,2,183,success,single,secondary,12,328,4,1
5443,48,management,1949,yes,no,unknown,may,2,-1,unknown,married,tertiary,13,683,0,1
3821,26,management,800,yes,no,cellular,jan,2,-1,unknown,single,tertiary,30,405,0,0
664,27,technician,337,no,no,unknown,jul,1,-1,unknown,single,secondary,9,23,0,1
3587,38,technician,5115,yes,no,cellular,jun,1,95,success,married,secondary,2,318,7,1
720,30,blue-collar,1012,yes,no,cellular,apr,3,329,failure,single,secondary,17,22,1,0
7189,35,student,188,yes,no,cellular,may,1,78,success,single,secondary,5,863,8,1
3545,32,management,1270,no,no,cellular,aug,3,-1,unknown,married,tertiary,19,232,0,1
5158,31,management,533,no,no,cellular,feb,1,91,success,single,tertiary,11,144,9,1
4048,29,blue-collar,5,no,no,cellular,jun,1,-1,unknown,married,primary,3,321,0,1
961,51,technician,2,yes,yes,cellular,feb,1,205,failure,married,secondary,4,71,3,0
6201,34,admin.,35,yes,no,cellular,oct,1,69,failure,married,tertiary,15,76,2,0
1663,31,blue-collar,-454,yes,yes,unknown,may,2,-1,unknown,married,primary,28,861,0,0
1567,38,blue-collar,622,yes,no,unknown,may,2,-1,unknown,married,secondary,21,611,0,1
6751,26,self-employed,168,no,no,cellular,apr,1,-1,unknown,single,tertiary,30,394,0,1
1407,36,blue-collar,1127,yes,no,cellular,jul,1,-1,unknown,single,secondary,10,455,0,0
312,39,management,3518,yes,no,cellular,may,1,-1,unknown,married,tertiary,8,440,0,0
2981,35,blue-collar,51,yes,no,unknown,may,2,-1,unknown,married,primary,28,593,0,0
5290,34,technician,1035,no,no,cellular,aug,10,-1,unknown,married,secondary,25,1374,0,1
5011,36,admin.,465,yes,no,unknown,may,1,-1,unknown,married,secondary,20,160,0,0
1348,33,blue-collar,1,yes,no,cellular,apr,1,-1,unknown,single,primary,20,257,0,0
5305,40,unemployed,991,yes,no,unknown,jun,2,-1,unknown,divorced,secondary,12,316,0,0
6816,51,retired,67,no,no,unknown,jun,1,-1,unknown,married,primary,18,835,0,1
3023,40,management,4396,no,no,cellular,aug,3,-1,unknown,married,secondary,12,432,0,1
3029,27,services,94,yes,no,unknown,may,2,-1,unknown,married,secondary,15,352,0,0
503,52,management,944,no,yes,unknown,jun,1,-1,unknown,divorced,secondary,9,119,0,0
7201,31,admin.,-302,yes,yes,unknown,may,5,-1,unknown,single,secondary,27,235,0,0
2929,38,admin.,0,yes,no,cellular,sep,1,92,success,married,secondary,8,210,3,1
673,32,management,6542,yes,no,cellular,may,4,175,failure,single,tertiary,15,1598,5,1
4244,35,technician,726,yes,no,cellular,may,1,-1,unknown,single,unknown,5,163,0,0
865,33,technician,221,yes,no,cellular,may,1,355,failure,married,secondary,13,669,4,1
3534,25,services,162,yes,no,cellular,sep,2,-1,unknown,single,secondary,1,531,0,1
7012,44,management,1945,no,no,unknown,may,1,-1,unknown,married,tertiary,14,191,0,0
3940,27,technician,489,yes,no,cellular,jul,4,-1,unknown,single,secondary,30,356,0,1
6835,33,management,336,no,no,cellular,apr,3,-1,unknown,married,secondary,15,179,0,1
1504,71,retired,275,no,no,cellular,jun,1,425,success,divorced,primary,14,293,1,1
1760,34,technician,652,yes,yes,cellular,jul,4,-1,unknown,married,secondary,18,50,0,0
1697,54,management,1464,no,no,cellular,jun,1,-1,unknown,married,tertiary,30,157,0,1
4370,33,management,312,no,no,cellular,aug,1,369,failure,single,tertiary,11,271,3,0
3247,33,admin.,607,no,no,cellular,feb,2,-1,unknown,single,secondary,27,110,0,1
7148,33,management,318,yes,no,cellular,apr,1,141,other,single,tertiary,8,1190,3,1
5784,54,blue-collar,548,no,no,cellular,aug,7,-1,unknown,married,secondary,18,520,0,1
5657,57,services,1367,no,no,unknown,jun,3,-1,unknown,divorced,primary,9,144,0,0
2258,32,admin.,272,yes,no,cellular,oct,2,-1,unknown,single,tertiary,7,73,0,0
1024,31,admin.,-218,yes,no,unknown,jun,15,-1,unknown,single,tertiary,2,227,0,0
5185,59,management,2769,yes,no,cellular,nov,1,131,failure,married,primary,19,104,2,0
4616,62,retired,298,no,no,cellular,nov,2,-1,unknown,married,secondary,17,709,0,1
1322,32,technician,6746,no,no,cellular,nov,1,-1,unknown,single,tertiary,11,199,0,1
2992,23,student,1809,no,no,cellular,jul,2,-1,unknown,single,secondary,8,414,0,1
5753,31,student,3511,no,no,cellular,oct,1,96,success,single,secondary,6,311,1,1
4290,49,blue-collar,6215,yes,no,cellular,may,1,-1,unknown,married,primary,11,549,0,0
4898,36,management,926,no,no,cellular,apr,1,-1,unknown,married,tertiary,14,216,0,1
3425,54,management,195,no,yes,cellular,feb,1,265,other,married,tertiary,4,47,6,0
1801,32,blue-collar,2093,no,no,cellular,sep,2,444,failure,single,secondary,24,224,1,1
3104,45,management,5888,yes,no,unknown,may,5,-1,unknown,married,secondary,26,45,0,0
7151,51,management,0,no,no,unknown,jun,1,-1,unknown,married,tertiary,7,302,0,1
5773,32,management,2213,no,no,cellular,jan,2,154,failure,married,tertiary,29,125,7,0
3531,27,admin.,261,yes,yes,cellular,jun,4,-1,unknown,single,secondary,3,592,0,1
3293,37,blue-collar,342,yes,no,cellular,may,2,175,failure,married,secondary,12,340,1,0
2833,33,management,516,yes,no,cellular,nov,4,-1,unknown,married,tertiary,19,245,0,0
5475,32,management,2431,yes,no,cellular,may,5,-1,unknown,married,tertiary,14,646,0,1
3475,38,technician,185,no,yes,cellular,aug,16,-1,unknown,married,secondary,29,44,0,0
5916,63,housemaid,2,no,no,cellular,feb,2,93,success,married,secondary,4,45,1,0
3461,29,blue-collar,348,yes,no,unknown,may,2,-1,unknown,single,secondary,9,185,0,0
7068,35,self-employed,28,no,yes,unknown,jul,3,-1,unknown,married,secondary,2,159,0,0
6155,36,technician,341,no,no,cellular,aug,1,-1,unknown,married,tertiary,13,282,0,1
3824,34,entrepreneur,0,yes,no,cellular,may,1,183,failure,married,tertiary,6,611,1,1
5528,60,services,758,no,no,cellular,feb,1,-1,unknown,divorced,secondary,3,282,0,0
7174,43,services,4216,no,no,cellular,dec,2,195,success,married,tertiary,24,150,2,1
1998,40,management,858,no,no,cellular,oct,2,-1,unknown,divorced,tertiary,26,202,0,1
997,30,management,349,no,no,cellular,aug,3,-1,unknown,single,tertiary,12,180,0,0
5310,30,admin.,265,yes,no,cellular,may,1,181,success,single,secondary,25,681,2,1
6792,55,housemaid,4,no,no,cellular,nov,3,-1,unknown,married,primary,21,85,0,0
1138,31,management,1343,yes,yes,unknown,may,1,-1,unknown,married,tertiary,21,85,0,0
3068,37,management,122,yes,no,unknown,may,2,-1,unknown,divorced,tertiary,19,1622,0,1
3009,33,blue-collar,215,no,no,cellular,apr,1,-1,unknown,married,secondary,15,166,0,0
7051,29,technician,1165,no,no,cellular,dec,2,184,success,single,secondary,3,244,1,1
87,32,technician,-114,no,no,cellular,aug,2,-1,unknown,single,secondary,12,155,0,0
5442,42,blue-collar,0,no,no,unknown,may,2,-1,unknown,married,unknown,26,270,0,0
7369,41,unemployed,216,no,no,cellular,jun,3,-1,unknown,single,primary,5,577,0,1
1610,38,blue-collar,602,yes,no,unknown,may,12,-1,unknown,married,secondary,30,161,0,0
4036,44,blue-collar,105,yes,no,cellular,apr,1,-1,unknown,married,secondary,20,586,0,1
544,48,management,86,no,no,cellular,jun,3,186,other,single,tertiary,28,281,6,1
580,35,technician,196,yes,no,cellular,nov,1,-1,unknown,single,secondary,21,318,0,0
1764,36,blue-collar,403,yes,no,unknown,jun,1,-1,unknown,married,primary,4,920,0,1
1735,76,retired,820,no,no,telephone,apr,4,-1,unknown,married,secondary,23,263,0,1
4361,47,management,761,yes,no,cellular,jul,2,-1,unknown,married,tertiary,11,80,0,0
6876,52,services,-336,no,yes,unknown,jun,8,-1,unknown,married,secondary,12,111,0,0
1317,27,blue-collar,-208,yes,no,unknown,may,2,-1,unknown,single,secondary,21,127,0,0
1356,28,technician,558,yes,no,cellular,may,1,-1,unknown,single,tertiary,15,300,0,0
118,61,management,267,no,no,cellular,apr,1,-1,unknown,married,tertiary,20,190,0,1
3870,38,technician,631,yes,no,cellular,aug,2,-1,unknown,divorced,secondary,25,343,0,0
3118,55,management,7803,no,no,cellular,jan,1,-1,unknown,married,tertiary,15,441,0,1
2706,29,student,1779,no,no,cellular,jun,1,-1,unknown,single,secondary,4,400,0,1
6521,52,unemployed,959,no,no,telephone,jul,2,-1,unknown,married,primary,30,694,0,1
6066,23,services,1309,yes,no,unknown,jun,2,-1,unknown,married,secondary,3,349,0,0
1925,27,admin.,15,no,yes,cellular,jul,1,-1,unknown,single,secondary,21,177,0,0
3436,46,unemployed,3354,yes,no,cellular,nov,1,174,success,divorced,secondary,19,522,1,1
1996,49,admin.,7426,no,no,telephone,nov,2,-1,unknown,single,secondary,20,65,0,0
3390,40,technician,4736,yes,no,cellular,feb,2,-1,unknown,divorced,tertiary,11,285,0,1
4780,46,blue-collar,-3,yes,no,unknown,may,2,-1,unknown,married,secondary,9,92,0,0
5316,45,management,226,yes,no,cellular,feb,4,185,success,married,tertiary,15,91,6,1
2468,56,services,654,no,no,cellular,sep,1,-1,unknown,married,secondary,15,875,0,1
6536,34,entrepreneur,7279,yes,no,cellular,may,1,-1,unknown,married,primary,12,882,0,1
6797,49,blue-collar,1032,yes,no,unknown,jun,5,-1,unknown,married,primary,2,41,0,0
3504,48,admin.,368,no,no,cellular,oct,2,140,success,married,secondary,8,363,7,1
3666,35,unemployed,415,no,no,cellular,feb,1,176,failure,single,tertiary,4,649,1,1
881,32,technician,-1053,yes,no,cellular,jul,3,-1,unknown,married,tertiary,21,357,0,0
6471,31,blue-collar,92,yes,no,unknown,may,1,-1,unknown,married,secondary,16,688,0,1
3121,35,management,2326,yes,yes,cellular,sep,1,-1,unknown,married,unknown,16,319,0,1
2362,36,services,4721,no,no,cellular,jun,1,92,success,married,secondary,9,150,5,1
3412,26,admin.,255,no,no,cellular,aug,2,106,success,single,secondary,14,209,2,1
3935,53,technician,476,yes,no,cellular,jan,1,-1,unknown,married,tertiary,28,160,0,0
1800,67,retired,1146,no,no,cellular,nov,1,92,failure,married,secondary,13,259,2,1
2349,44,management,1090,no,no,cellular,oct,4,93,success,single,tertiary,20,178,6,1
1412,52,technician,2557,no,no,cellular,jul,1,156,other,married,tertiary,8,340,1,1
3691,40,technician,3652,yes,no,unknown,may,2,-1,unknown,single,unknown,14,1028,0,1
3550,78,retired,631,no,no,telephone,aug,1,-1,unknown,divorced,secondary,11,95,0,0
6859,52,technician,7,no,yes,unknown,may,1,-1,unknown,married,tertiary,5,175,0,0
2897,26,management,45,no,no,cellular,jul,3,-1,unknown,single,tertiary,10,1187,0,1
4342,26,technician,2,yes,yes,unknown,may,1,-1,unknown,single,secondary,15,461,0,0
5379,47,blue-collar,2749,yes,no,cellular,apr,2,164,failure,married,primary,30,774,1,1
4545,56,blue-collar,0,yes,no,cellular,jul,1,-1,unknown,married,primary,16,1222,0,1
948,33,technician,8,no,no,cellular,aug,2,-1,unknown,married,secondary,29,462,0,0
3665,34,services,371,no,no,unknown,may,1,-1,unknown,single,tertiary,20,77,0,0
4794,28,services,168,yes,no,cellular,may,1,-1,unknown,single,secondary,7,128,0,0
669,48,blue-collar,623,yes,no,cellular,feb,2,-1,unknown,single,primary,2,1425,0,1
694,39,management,2644,no,no,cellular,aug,7,-1,unknown,single,secondary,19,192,0,0
5192,48,management,-244,yes,no,unknown,may,1,-1,unknown,divorced,tertiary,5,253,0,0
869,62,blue-collar,180,no,no,cellular,apr,2,-1,unknown,married,secondary,15,389,0,1
3778,38,self-employed,746,no,no,unknown,jun,3,-1,unknown,married,secondary,20,256,0,0
2681,35,management,53,yes,no,cellular,nov,1,-1,unknown,married,secondary,18,378,0,0
6402,25,management,943,no,no,cellular,apr,1,-1,unknown,single,tertiary,30,512,0,1
3340,43,services,1040,yes,no,unknown,may,3,-1,unknown,divorced,secondary,19,552,0,1
4777,24,blue-collar,1033,yes,no,cellular,nov,1,-1,unknown,single,primary,24,283,0,0
2356,36,technician,4596,yes,no,cellular,apr,2,-1,unknown,married,tertiary,16,901,0,1
4326,57,retired,0,yes,yes,unknown,may,1,-1,unknown,married,tertiary,28,648,0,1
5802,44,self-employed,1070,yes,no,cellular,nov,1,91,success,divorced,tertiary,11,172,5,1
5920,38,blue-collar,4592,yes,no,cellular,may,1,-1,unknown,married,primary,12,360,0,0
3922,43,self-employed,1337,yes,yes,cellular,nov,2,-1,unknown,single,primary,20,632,0,0
3816,29,management,502,no,no,cellular,jul,1,87,failure,single,tertiary,8,968,5,1
6882,56,retired,1906,no,yes,unknown,jun,9,-1,unknown,married,primary,19,45,0,0
4925,30,technician,569,no,no,cellular,aug,12,-1,unknown,married,tertiary,27,976,0,1
7322,30,student,3026,no,no,cellular,jul,1,535,failure,single,tertiary,23,251,1,1
7274,47,retired,-71,yes,no,cellular,aug,5,-1,unknown,married,secondary,11,293,0,0
7000,38,entrepreneur,2543,no,no,cellular,nov,3,93,success,single,secondary,11,357,5,1
4966,37,blue-collar,509,yes,no,cellular,apr,1,-1,unknown,married,secondary,20,172,0,0
1964,48,unemployed,201,no,no,cellular,nov,1,91,success,divorced,secondary,10,594,1,1
6623,33,unemployed,1974,no,no,cellular,aug,2,191,failure,single,tertiary,14,498,1,1
2788,52,management,173,no,no,unknown,may,5,-1,unknown,married,secondary,23,48,0,0
974,27,admin.,73,no,no,cellular,feb,1,-1,unknown,married,tertiary,10,159,0,1
3052,42,management,1064,no,no,cellular,aug,2,-1,unknown,divorced,tertiary,18,101,0,0
6517,55,technician,1938,no,yes,cellular,aug,1,386,success,married,secondary,18,193,3,1
3160,38,services,61,no,no,unknown,jun,1,-1,unknown,divorced,secondary,5,636,0,1
6128,31,management,10884,no,no,cellular,aug,3,98,success,married,tertiary,10,294,2,1
6233,40,management,16,no,yes,cellular,feb,4,-1,unknown,married,tertiary,9,47,0,0
2907,29,management,600,yes,no,cellular,oct,5,-1,unknown,single,tertiary,18,170,0,0
5721,57,services,443,no,no,telephone,jul,1,-1,unknown,married,primary,17,167,0,0
4953,51,technician,11222,yes,no,cellular,nov,2,171,failure,single,tertiary,21,126,7,0
3043,21,admin.,524,no,no,cellular,may,1,-1,unknown,single,secondary,26,185,0,1
1721,30,blue-collar,522,no,no,cellular,feb,3,-1,unknown,single,secondary,6,197,0,0
3577,37,technician,1130,no,no,cellular,feb,1,-1,unknown,single,secondary,26,152,0,1
2225,34,technician,7050,no,no,cellular,aug,1,-1,unknown,married,tertiary,7,130,0,1
6245,45,management,160,no,no,cellular,apr,1,-1,unknown,married,tertiary,30,619,0,1
5069,58,self-employed,327,no,yes,cellular,jul,2,-1,unknown,married,tertiary,14,145,0,0
4510,26,admin.,-12,yes,no,unknown,jun,1,-1,unknown,single,secondary,4,98,0,0
1993,48,self-employed,1559,no,no,cellular,feb,2,-1,unknown,married,secondary,4,130,0,0
3295,38,services,92,yes,yes,unknown,may,3,-1,unknown,divorced,primary,29,118,0,0
7400,34,unemployed,978,no,no,cellular,jun,2,71,success,married,secondary,3,262,1,1
5712,47,blue-collar,2548,yes,no,cellular,may,1,368,other,married,secondary,11,577,1,0
6429,31,unemployed,140,yes,no,telephone,may,2,-1,unknown,single,tertiary,7,11,0,0
6089,32,management,2016,no,no,cellular,apr,1,348,success,single,tertiary,13,232,1,1
5806,32,management,607,yes,no,unknown,jun,5,-1,unknown,married,tertiary,18,1060,0,1
623,22,student,64,no,no,cellular,jun,1,-1,unknown,single,secondary,4,112,0,0
4134,57,admin.,215,yes,yes,cellular,jul,2,-1,unknown,married,primary,17,210,0,0
1480,44,technician,9192,yes,no,unknown,jun,3,-1,unknown,divorced,tertiary,6,59,0,0
6679,44,admin.,262,yes,no,cellular,jul,1,-1,unknown,married,secondary,9,74,0,0
1635,42,admin.,527,no,yes,cellular,apr,1,-1,unknown,divorced,secondary,20,112,0,1
6705,39,entrepreneur,-172,yes,no,cellular,may,2,-1,unknown,married,tertiary,15,562,0,1
6941,37,technician,375,no,no,unknown,jun,2,-1,unknown,single,secondary,9,223,0,0
536,50,technician,892,yes,yes,unknown,may,1,-1,unknown,married,secondary,15,234,0,0
1519,37,admin.,597,no,no,cellular,jun,1,-1,unknown,married,secondary,2,395,0,1
3967,36,admin.,1954,yes,yes,cellular,nov,2,174,failure,married,secondary,20,158,3,0
1101,36,blue-collar,7051,no,yes,cellular,jul,13,-1,unknown,divorced,secondary,15,106,0,0
6599,46,admin.,659,yes,no,telephone,jul,11,-1,unknown,married,secondary,29,1127,0,1
742,34,admin.,384,yes,no,cellular,may,2,-1,unknown,married,secondary,14,551,0,0
5581,27,services,795,no,no,cellular,feb,3,-1,unknown,single,secondary,6,101,0,0
1367,52,management,1227,no,no,cellular,aug,4,-1,unknown,married,tertiary,22,1123,0,1
2173,50,management,2910,no,no,telephone,nov,1,113,failure,married,secondary,19,433,1,0
6643,36,blue-collar,2235,yes,no,cellular,nov,2,-1,unknown,single,secondary,20,287,0,0
4755,35,blue-collar,484,no,no,cellular,jul,1,87,failure,single,unknown,8,344,3,1
4679,37,technician,197,no,no,cellular,may,1,87,success,single,tertiary,13,234,3,1
4989,51,blue-collar,0,yes,no,telephone,may,4,-1,unknown,married,unknown,7,10,0,0
4640,25,student,1919,yes,no,cellular,may,1,351,failure,single,secondary,15,264,4,0
7214,53,management,2152,no,no,cellular,feb,3,-1,unknown,divorced,tertiary,13,75,0,1
2117,29,self-employed,1,no,no,cellular,jul,3,-1,unknown,married,tertiary,18,167,0,0
7017,40,technician,431,no,no,cellular,jul,2,-1,unknown,single,tertiary,7,180,0,1
7218,29,admin.,3794,no,no,cellular,apr,1,-1,unknown,single,secondary,30,249,0,0
6152,47,services,367,yes,no,cellular,may,1,306,success,married,secondary,12,309,4,1
5395,46,admin.,70,yes,no,cellular,mar,2,-1,unknown,married,secondary,27,229,0,1
6930,29,management,2955,no,no,cellular,apr,2,-1,unknown,single,tertiary,29,226,0,1
4607,54,technician,0,no,no,telephone,feb,3,-1,unknown,married,secondary,5,744,0,1
3644,46,entrepreneur,0,no,yes,cellular,jul,1,-1,unknown,married,secondary,18,115,0,0
4680,33,blue-collar,910,yes,no,cellular,apr,1,-1,unknown,single,primary,20,42,0,0
1229,31,admin.,430,yes,no,cellular,apr,2,-1,unknown,single,secondary,15,103,0,0
5063,35,blue-collar,-367,yes,no,cellular,may,1,350,failure,married,primary,11,77,1,0
4354,34,management,179,yes,no,cellular,nov,1,-1,unknown,married,tertiary,20,184,0,0
3024,62,blue-collar,272,no,no,cellular,aug,1,286,failure,married,secondary,11,146,2,1
7408,53,management,13901,yes,no,cellular,nov,1,-1,unknown,married,primary,21,59,0,0
