,age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,marital,education,day,duration,previous,deposit
4181,63,management,2352,no,no,telephone,may,7,-1,unknown,married,unknown,4,475,0,1
616,42,blue-collar,-97,yes,no,cellular,feb,4,271,failure,married,primary,3,216,5,0
2935,31,management,59,yes,yes,cellular,may,2,363,failure,single,tertiary,6,1347,1,1
4648,29,blue-collar,-312,yes,yes,cellular,may,2,-1,unknown,married,secondary,14,130,0,0
5026,49,admin.,3608,yes,no,unknown,nov,1,-1,unknown,married,secondary,13,231,0,1
3666,35,unemployed,415,no,no,cellular,feb,1,176,failure,single,tertiary,4,649,1,1
4222,34,management,417,yes,no,cellular,aug,1,174,failure,single,tertiary,5,270,15,1
759,49,blue-collar,361,yes,no,unknown,jun,2,-1,unknown,married,primary,16,513,0,1
1330,23,management,2605,yes,no,unknown,may,6,-1,unknown,single,tertiary,7,278,0,0
3480,35,blue-collar,4822,yes,no,unknown,may,2,-1,unknown,married,unknown,20,843,0,1
4266,28,admin.,127,no,no,cellular,sep,2,-1,unknown,single,secondary,16,1334,0,1
1473,28,blue-collar,1984,yes,no,cellular,may,2,14,failure,single,tertiary,4,32,1,0
363,47,admin.,70,yes,no,cellular,apr,4,374,success,married,secondary,5,144,2,1
3077,33,technician,264,no,no,cellular,aug,4,-1,unknown,married,secondary,28,180,0,0
7027,32,technician,791,yes,no,unknown,may,2,-1,unknown,married,secondary,21,783,0,1
1312,59,services,2965,yes,no,cellular,may,3,-1,unknown,married,secondary,13,1970,0,1
1358,29,student,163,no,no,cellular,aug,1,-1,unknown,single,tertiary,3,249,0,1
6737,50,services,1595,no,no,unknown,jun,1,-1,unknown,married,secondary,9,882,0,1
4230,27,technician,15161,no,no,cellular,jun,1,120,success,single,tertiary,2,74,1,1
5763,34,blue-collar,568,yes,no,cellular,jul,1,-1,unknown,married,unknown,25,256,0,0
2035,31,blue-collar,3364,yes,no,cellular,nov,1,-1,unknown,married,secondary,20,290,0,0
6722,27,student,213,no,no,cellular,mar,1,-1,unknown,single,secondary,27,378,0,1
2351,53,retired,2269,no,no,cellular,nov,2,150,success,married,tertiary,17,1091,1,1
3086,32,management,312,no,no,cellular,may,2,98,success,single,tertiary,26,208,2,1
5762,47,admin.,3696,no,no,cellular,jul,2,181,success,single,secondary,12,250,4,1
1973,35,technician,328,yes,no,cellular,jul,2,-1,unknown,married,tertiary,22,654,0,1
5905,28,admin.,-504,yes,yes,cellular,may,1,-1,unknown,divorced,secondary,14,578,0,1
6739,39,management,297,yes,no,cellular,may,2,-1,unknown,married,tertiary,13,734,0,1
2302,35,self-employed,347,no,no,unknown,jun,1,-1,unknown,married,secondary,20,231,0,0
2241,38,self-employed,677,yes,no,cellular,may,2,-1,unknown,single,secondary,14,114,0,0
6551,37,management,22125,no,yes,cellular,nov,2,-1,unknown,single,tertiary,21,331,0,1
4679,37,technician,197,no,no,cellular,may,1,87,success,single,tertiary,13,234,3,1
1717,57,housemaid,8278,no,no,cellular,nov,3,-1,unknown,divorced,primary,17,408,0,0
883,53,blue-collar,2295,no,no,cellular,aug,10,-1,unknown,married,primary,21,65,0,0
2071,29,blue-collar,2806,no,no,cellular,oct,1,93,other,single,secondary,15,294,5,0
181,30,admin.,-213,yes,yes,unknown,may,1,-1,unknown,single,secondary,27,751,0,1
873,43,technician,0,no,yes,cellular,may,2,172,failure,married,secondary,8,9,5,0
5164,56,management,722,no,no,cellular,feb,3,94,failure,divorced,tertiary,19,134,2,0
2155,36,services,11462,yes,no,cellular,nov,1,-1,unknown,married,secondary,20,993,0,1
6001,33,admin.,272,yes,no,cellular,sep,2,92,success,single,tertiary,1,293,3,1
3475,38,technician,185,no,yes,cellular,aug,16,-1,unknown,married,secondary,29,44,0,0
2753,36,management,649,no,no,cellular,jul,2,91,failure,divorced,tertiary,16,237,1,0
786,34,admin.,899,yes,no,unknown,nov,1,170,failure,married,tertiary,12,114,3,1
6534,30,technician,167,no,no,unknown,sep,1,-1,unknown,single,secondary,14,9,0,0
5756,55,services,1539,no,no,unknown,jun,2,-1,unknown,single,secondary,20,65,0,0
556,35,unemployed,415,no,no,cellular,aug,1,92,success,single,tertiary,4,462,4,1
7265,44,housemaid,299,no,no,cellular,nov,1,-1,unknown,single,secondary,20,186,0,0
2761,66,retired,203,no,no,cellular,jan,1,195,success,married,secondary,18,353,1,1
3786,40,admin.,1327,yes,yes,unknown,may,2,-1,unknown,married,secondary,26,76,0,0
2654,58,technician,0,yes,no,cellular,jul,1,-1,unknown,married,secondary,15,53,0,0
1450,34,admin.,151,yes,no,cellular,may,1,370,other,single,secondary,12,590,1,1
3811,52,unemployed,94,no,no,cellular,feb,1,92,success,married,secondary,10,153,13,1
4335,57,retired,1623,yes,yes,cellular,jul,1,-1,unknown,married,primary,18,246,0,0
2993,19,student,394,no,no,cellular,apr,3,-1,unknown,single,secondary,5,327,0,1
3501,28,student,196,no,no,cellular,jul,3,-1,unknown,single,secondary,2,423,0,1
7299,48,management,1106,no,yes,cellular,jul,1,-1,unknown,single,secondary,8,265,0,0
3453,29,self-employed,2305,no,no,cellular,may,2,-1,unknown,married,tertiary,27,82,0,0
3863,45,entrepreneur,488,yes,no,telephone,jul,11,-1,unknown,married,primary,28,90,0,0
5288,46,technician,117,no,no,cellular,aug,2,-1,unknown,divorced,secondary,29,94,0,0
6840,58,admin.,0,yes,no,cellular,nov,1,186,failure,married,unknown,17,219,2,0
362,34,management,6013,yes,no,cellular,may,1,-1,unknown,single,unknown,18,612,0,1
3646,54,admin.,602,no,no,cellular,mar,2,-1,unknown,married,secondary,3,143,0,1
2961,61,self-employed,10861,no,no,cellular,jul,2,259,success,married,tertiary,26,336,3,1
1630,34,management,0,yes,no,cellular,aug,1,99,success,married,tertiary,7,262,2,1
591,24,student,382,no,no,cellular,nov,2,92,failure,single,secondary,13,256,3,1
7156,38,entrepreneur,7752,yes,no,cellular,jul,4,-1,unknown,married,tertiary,15,138,0,0
4012,49,entrepreneur,-1965,no,yes,telephone,jul,2,-1,unknown,married,secondary,10,317,0,0
809,80,retired,173,no,no,cellular,aug,3,-1,unknown,married,secondary,2,87,0,0
2021,53,admin.,1151,yes,no,unknown,may,1,-1,unknown,divorced,secondary,5,412,0,0
5936,37,admin.,3954,yes,no,cellular,aug,1,117,failure,single,tertiary,12,87,2,0
1565,36,management,2944,no,no,cellular,aug,8,-1,unknown,single,tertiary,18,882,0,1
3571,40,management,290,yes,no,unknown,may,1,-1,unknown,divorced,tertiary,27,184,0,0
5822,34,blue-collar,1207,yes,no,unknown,may,1,-1,unknown,married,secondary,21,905,0,1
7368,52,management,1158,no,no,cellular,aug,4,-1,unknown,married,tertiary,27,57,0,0
1247,27,services,223,yes,yes,cellular,may,2,-1,unknown,single,secondary,13,297,0,0
6884,30,admin.,305,no,no,cellular,apr,1,85,success,single,tertiary,30,633,2,1
653,33,technician,3243,no,no,cellular,aug,4,-1,unknown,married,secondary,12,439,0,1
1463,43,blue-collar,740,yes,no,unknown,jun,2,-1,unknown,single,secondary,20,585,0,1
4254,39,technician,15,yes,no,cellular,apr,1,-1,unknown,single,secondary,30,510,0,1
6112,42,services,410,no,no,cellular,nov,2,-1,unknown,single,unknown,21,34,0,0
2419,46,technician,9299,no,no,cellular,jul,1,276,other,married,secondary,19,1148,2,1
4059,29,admin.,41,yes,no,cellular,aug,2,-1,unknown,single,tertiary,13,148,0,1
439,38,blue-collar,1401,no,no,cellular,may,1,-1,unknown,married,primary,13,516,0,1
1887,31,management,1032,no,no,cellular,jul,1,-1,unknown,married,tertiary,7,284,0,1
4411,36,admin.,787,no,no,unknown,jun,1,-1,unknown,single,secondary,17,92,0,0
1691,37,technician,1,yes,no,unknown,may,1,-1,unknown,married,secondary,6,608,0,1
1331,38,admin.,0,yes,no,cellular,jul,1,-1,unknown,divorced,secondary,21,93,0,0
1759,37,management,0,no,no,cellular,oct,1,258,other,single,tertiary,20,107,3,0
7190,44,management,3932,yes,no,unknown,may,2,-1,unknown,divorced,tertiary,8,40,0,0
2544,35,management,451,yes,no,cellular,apr,6,-1,unknown,married,tertiary,17,220,0,0
120,46,management,624,no,no,cellular,sep,2,183,success,divorced,tertiary,17,336,2,1
506,38,technician,1,yes,no,cellular,nov,5,199,success,married,secondary,21,57,1,0
1239,59,retired,163,no,no,cellular,jul,1,-1,unknown,married,secondary,24,464,0,0
365,50,admin.,1138,yes,yes,cellular,jul,8,-1,unknown,married,secondary,31,73,0,0
3337,18,student,608,no,no,cellular,aug,1,-1,unknown,single,primary,12,267,0,1
5573,53,unemployed,4,no,no,cellular,jul,3,-1,unknown,single,secondary,30,259,0,0
4695,33,blue-collar,925,no,no,cellular,nov,3,-1,unknown,married,primary,20,884,0,0
5701,29,management,92,no,no,cellular,mar,5,-1,unknown,single,tertiary,2,175,0,1
6885,30,technician,418,yes,no,unknown,jun,1,-1,unknown,married,secondary,3,112,0,0
1880,37,admin.,4708,no,no,cellular,jun,1,181,success,divorced,tertiary,2,238,2,1
4691,38,services,1313,no,no,unknown,jun,2,-1,unknown,married,secondary,17,33,0,0
4773,66,retired,206,no,no,cellular,feb,1,-1,unknown,married,primary,9,479,0,1
4110,57,blue-collar,2058,yes,no,telephone,may,2,-1,unknown,married,secondary,18,23,0,0
2944,24,blue-collar,167,no,yes,cellular,feb,2,-1,unknown,single,secondary,18,134,0,1
3602,45,blue-collar,2433,no,no,cellular,aug,2,-1,unknown,married,primary,6,133,0,0
3729,28,technician,100,yes,no,cellular,may,5,-1,unknown,single,secondary,13,70,0,0
1883,46,blue-collar,-44,no,yes,telephone,aug,13,-1,unknown,married,primary,22,16,0,0
2379,36,unemployed,115,no,no,cellular,feb,2,-1,unknown,single,secondary,9,71,0,0
2743,43,entrepreneur,13342,yes,no,cellular,nov,1,-1,unknown,married,tertiary,18,465,0,0
5283,43,admin.,132,no,no,cellular,mar,1,-1,unknown,married,secondary,17,220,0,1
1377,25,student,1003,no,no,cellular,aug,1,-1,unknown,single,unknown,12,361,0,1
7238,23,student,381,no,no,cellular,feb,1,189,other,single,secondary,23,696,2,1
3904,42,technician,827,no,no,cellular,aug,3,-1,unknown,married,secondary,25,153,0,0
1799,41,management,25,yes,yes,cellular,mar,2,-1,unknown,divorced,tertiary,26,117,0,1
4035,43,admin.,378,no,no,cellular,jul,8,-1,unknown,married,secondary,30,782,0,1
3465,70,retired,2064,no,no,cellular,oct,1,-1,unknown,married,secondary,22,334,0,0
2562,22,student,423,no,no,cellular,jul,1,179,success,single,primary,16,316,10,1
6516,52,blue-collar,2230,no,no,cellular,oct,3,-1,unknown,married,secondary,29,423,0,1
516,24,technician,-126,yes,yes,unknown,may,2,-1,unknown,single,secondary,13,382,0,0
965,47,management,1128,no,no,cellular,jan,2,-1,unknown,married,unknown,28,65,0,0
752,56,management,3120,yes,no,cellular,aug,2,-1,unknown,married,tertiary,7,666,0,0
2541,59,retired,3444,no,no,cellular,feb,2,-1,unknown,divorced,tertiary,6,241,0,1
1997,28,blue-collar,0,no,yes,cellular,jul,21,-1,unknown,single,secondary,31,11,0,0
7269,60,retired,935,no,no,cellular,jul,17,-1,unknown,divorced,secondary,31,8,0,0
1962,31,management,2016,no,no,cellular,apr,1,-1,unknown,single,tertiary,30,209,0,1
1801,32,blue-collar,2093,no,no,cellular,sep,2,444,failure,single,secondary,24,224,1,1
6316,51,management,1202,yes,no,cellular,nov,1,-1,unknown,single,tertiary,18,99,0,0
550,25,admin.,220,no,no,cellular,may,1,-1,unknown,single,tertiary,26,68,0,0
438,33,blue-collar,395,yes,no,unknown,jun,1,-1,unknown,married,secondary,2,122,0,0
7391,55,admin.,602,no,no,cellular,jun,3,90,success,married,secondary,1,324,2,1
2576,35,technician,1001,no,yes,cellular,jul,2,-1,unknown,single,secondary,24,178,0,0
678,53,technician,284,no,no,cellular,jun,1,-1,unknown,married,secondary,1,781,0,1
6376,56,management,3287,no,no,cellular,apr,1,-1,unknown,divorced,tertiary,27,497,0,1
3951,34,self-employed,2427,no,no,telephone,aug,3,70,failure,married,tertiary,11,90,3,0
1341,28,services,1636,yes,no,cellular,may,1,355,failure,single,secondary,18,97,2,0
4682,43,management,136,no,no,cellular,aug,2,-1,unknown,married,tertiary,6,120,0,0
804,28,management,3,yes,no,cellular,sep,2,24,other,married,secondary,14,112,2,0
6719,41,management,9,yes,no,cellular,jul,3,-1,unknown,married,tertiary,22,82,0,0
3084,30,services,1256,yes,no,cellular,may,3,-1,unknown,married,secondary,18,123,0,0
1506,35,management,243,yes,no,unknown,may,3,-1,unknown,single,tertiary,12,102,0,0
2767,32,blue-collar,476,yes,no,cellular,jul,9,-1,unknown,married,secondary,23,956,0,1
1348,33,blue-collar,1,yes,no,cellular,apr,1,-1,unknown,single,primary,20,257,0,0
7254,40,blue-collar,-509,yes,no,unknown,may,1,-1,unknown,married,primary,23,298,0,0
2371,42,management,1243,no,no,cellular,aug,4,-1,unknown,divorced,tertiary,26,1000,0,1
2077,71,retired,2850,no,no,cellular,feb,1,-1,unknown,married,secondary,17,185,0,1
4422,58,admin.,169,no,no,cellular,feb,1,91,success,married,secondary,15,216,4,1
567,47,blue-collar,209,no,no,cellular,aug,6,-1,unknown,married,primary,27,77,0,0
2590,46,management,4693,no,yes,cellular,aug,1,394,failure,married,tertiary,7,79,2,1
6307,39,blue-collar,621,yes,no,cellular,apr,5,-1,unknown,married,unknown,20,1333,0,1
189,32,technician,1710,yes,no,cellular,may,1,175,other,single,tertiary,15,439,3,0
1728,36,management,1133,yes,no,cellular,aug,1,181,other,married,tertiary,4,293,2,1
4216,37,management,62,yes,no,cellular,aug,2,272,success,single,tertiary,2,428,8,1
2573,39,management,691,yes,yes,cellular,apr,1,255,failure,married,tertiary,16,517,1,0
1789,25,admin.,1871,no,no,cellular,sep,1,96,success,single,secondary,8,260,1,1
107,41,unknown,1567,no,no,cellular,jul,2,-1,unknown,single,tertiary,1,291,0,0
3983,37,technician,265,yes,yes,cellular,feb,1,366,failure,single,secondary,3,140,2,1
6088,40,technician,693,no,no,cellular,jan,1,-1,unknown,single,tertiary,30,427,0,0
1894,30,technician,880,yes,yes,unknown,may,6,-1,unknown,single,tertiary,19,967,0,1
3633,35,blue-collar,975,yes,no,cellular,jul,1,-1,unknown,married,secondary,16,102,0,0
3440,29,technician,-722,no,yes,unknown,jun,4,-1,unknown,married,tertiary,27,121,0,0
7071,42,technician,-411,yes,no,cellular,jul,3,-1,unknown,single,tertiary,24,212,0,0
3505,53,admin.,578,no,no,cellular,aug,2,-1,unknown,married,secondary,29,59,0,0
208,38,management,413,no,no,cellular,oct,2,183,success,married,tertiary,13,252,3,1
4756,35,blue-collar,2040,no,no,cellular,nov,1,157,failure,single,primary,21,258,4,0
5008,34,admin.,303,no,no,cellular,jun,3,126,failure,single,secondary,4,282,3,1
6184,59,admin.,1575,yes,no,cellular,aug,11,-1,unknown,married,secondary,22,1241,0,1
45,32,technician,367,yes,no,cellular,may,2,276,failure,married,secondary,11,214,3,0
2960,33,management,20,no,no,cellular,aug,2,-1,unknown,single,tertiary,21,329,0,0
3934,38,management,427,yes,no,cellular,may,3,169,failure,single,tertiary,6,17,2,0
4571,54,management,1134,yes,no,cellular,jul,3,-1,unknown,married,secondary,25,1330,0,1
6786,31,admin.,307,yes,no,unknown,may,1,-1,unknown,married,secondary,9,538,0,1
1926,30,technician,317,yes,no,cellular,jul,5,-1,unknown,divorced,tertiary,25,67,0,0
4018,26,technician,11862,no,no,cellular,feb,1,-1,unknown,single,tertiary,13,119,0,1
2784,48,admin.,191,yes,no,cellular,feb,3,-1,unknown,married,secondary,5,238,0,0
5390,40,services,160,no,no,cellular,jul,3,-1,unknown,divorced,secondary,14,123,0,0
6508,39,housemaid,1444,no,no,cellular,nov,1,117,success,married,secondary,19,100,8,0
4883,46,blue-collar,942,no,no,cellular,nov,3,119,failure,married,secondary,18,240,2,0
1899,30,blue-collar,2850,no,no,unknown,may,2,-1,unknown,married,secondary,8,181,0,0
3295,38,services,92,yes,yes,unknown,may,3,-1,unknown,divorced,primary,29,118,0,0
1202,32,services,201,yes,no,unknown,jun,2,-1,unknown,married,secondary,18,110,0,0
5289,46,unemployed,594,no,no,cellular,feb,2,-1,unknown,married,secondary,4,197,0,0
1226,27,services,504,yes,no,cellular,may,5,362,other,single,secondary,18,106,8,0
7406,52,admin.,423,yes,yes,cellular,oct,2,96,failure,married,secondary,20,139,7,0
631,31,technician,1819,yes,no,unknown,may,2,-1,unknown,single,secondary,15,226,0,0
338,33,blue-collar,697,no,no,cellular,feb,2,-1,unknown,single,secondary,6,860,0,1
1208,48,services,-361,yes,no,cellular,may,3,349,other,divorced,secondary,12,1062,3,1
5958,31,services,371,yes,yes,cellular,apr,1,-1,unknown,married,secondary,17,654,0,0
5450,58,management,5701,no,no,cellular,apr,1,87,success,divorced,tertiary,30,354,1,1
3382,42,blue-collar,160,yes,yes,unknown,jun,1,-1,unknown,married,secondary,26,190,0,0
3089,44,blue-collar,103,yes,no,cellular,may,1,329,failure,married,primary,12,79,2,0
566,52,unemployed,1416,no,no,cellular,sep,3,187,success,married,secondary,13,218,3,1
6693,36,blue-collar,222,yes,no,unknown,may,1,-1,unknown,married,secondary,23,188,0,0
1891,21,student,215,no,no,cellular,may,1,89,success,single,secondary,24,382,7,1
2789,32,admin.,620,no,no,cellular,apr,2,343,failure,single,secondary,17,211,3,0
1649,36,technician,911,yes,yes,cellular,may,3,-1,unknown,married,tertiary,4,275,0,0
2349,44,management,1090,no,no,cellular,oct,4,93,success,single,tertiary,20,178,6,1
4657,48,services,1355,no,no,cellular,aug,7,-1,unknown,married,secondary,12,409,0,0
141,47,technician,321,yes,yes,unknown,jul,1,-1,unknown,married,secondary,4,111,0,0
5322,43,blue-collar,3,yes,no,unknown,may,3,-1,unknown,single,secondary,9,929,0,1
2190,29,unemployed,1311,no,no,cellular,aug,1,-1,unknown,single,tertiary,28,622,0,1
7127,34,management,611,no,no,cellular,jun,1,-1,unknown,married,tertiary,2,350,0,1
1188,40,services,1038,no,no,unknown,jun,1,-1,unknown,single,secondary,5,741,0,0
569,31,technician,967,no,no,cellular,nov,3,-1,unknown,single,tertiary,21,210,0,0
3304,59,management,893,yes,no,cellular,apr,4,-1,unknown,divorced,tertiary,16,206,0,0
6291,39,services,323,no,no,cellular,jun,2,188,failure,married,secondary,9,874,6,1
414,23,services,870,no,no,cellular,jul,4,-1,unknown,single,secondary,6,316,0,1
3097,40,blue-collar,1206,no,yes,telephone,jul,5,-1,unknown,married,primary,16,201,0,0
6090,48,admin.,476,no,no,unknown,jun,3,-1,unknown,married,secondary,5,489,0,0
2116,39,services,0,yes,no,cellular,may,1,-1,unknown,married,secondary,8,503,0,0
7016,33,management,8514,no,no,cellular,aug,1,-1,unknown,single,tertiary,20,131,0,0
6309,37,blue-collar,-57,yes,yes,cellular,may,5,-1,unknown,married,secondary,7,55,0,0
2792,58,admin.,2160,yes,yes,cellular,may,1,-1,unknown,married,secondary,5,1090,0,1
3087,42,blue-collar,1080,yes,yes,cellular,may,3,370,failure,single,secondary,13,951,4,1
6293,36,blue-collar,0,no,no,unknown,jun,1,-1,unknown,single,secondary,19,238,0,0
2880,39,management,1880,no,no,cellular,aug,2,-1,unknown,married,secondary,12,768,0,1
2982,35,blue-collar,-1489,yes,yes,unknown,may,1,-1,unknown,married,primary,29,177,0,0
1000,52,management,4,no,yes,cellular,jul,9,-1,unknown,single,tertiary,28,30,0,0
3995,38,admin.,0,yes,no,cellular,jun,1,181,success,married,secondary,8,187,2,1
2204,44,blue-collar,-234,yes,yes,cellular,may,3,347,failure,single,primary,15,71,1,0
1556,49,technician,2400,no,no,cellular,oct,3,-1,unknown,married,secondary,21,262,0,0
2954,30,services,117,no,no,cellular,jan,1,-1,unknown,single,secondary,28,135,0,0
6553,44,technician,2857,no,no,cellular,aug,2,-1,unknown,married,secondary,5,318,0,0
3083,30,management,134,yes,no,unknown,may,1,-1,unknown,married,tertiary,19,70,0,0
7132,46,management,244,yes,no,unknown,may,1,-1,unknown,single,secondary,15,244,0,0
6264,32,management,935,no,no,cellular,nov,1,91,success,single,tertiary,9,165,7,1
3632,38,management,162,no,no,cellular,aug,4,-1,unknown,divorced,tertiary,25,323,0,0
3518,29,technician,2178,no,no,cellular,oct,2,139,other,single,tertiary,22,260,1,1
2551,55,management,19,yes,no,unknown,may,3,-1,unknown,married,primary,16,56,0,0
1030,32,technician,13711,yes,no,cellular,may,1,175,success,single,tertiary,14,638,3,0
4228,66,technician,0,no,no,cellular,feb,1,-1,unknown,married,secondary,6,751,0,1
1438,30,technician,4060,no,no,cellular,feb,1,93,other,single,tertiary,3,179,1,1
3385,38,management,690,yes,no,unknown,may,1,-1,unknown,single,tertiary,20,34,0,0
5131,33,services,2411,yes,no,cellular,oct,1,161,failure,divorced,secondary,23,130,1,1
