,age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,marital,education,deposit
349,46,technician,111,yes,no,cellular,nov,3,183,other,divorced,secondary,0
6605,46,admin.,659,yes,no,telephone,jul,11,-1,unknown,married,secondary,1
104,25,management,2228,yes,no,cellular,jul,1,-1,unknown,married,secondary,1
1166,50,services,218,yes,no,unknown,may,2,-1,unknown,married,tertiary,0
3504,28,student,196,no,no,cellular,jul,3,-1,unknown,single,secondary,1
5493,38,self-employed,0,yes,no,cellular,apr,1,-1,unknown,divorced,secondary,0
5294,31,services,5,yes,no,unknown,may,1,-1,unknown,married,secondary,0
195,36,technician,341,no,no,cellular,feb,2,183,success,married,tertiary,1
1553,52,housemaid,3283,no,no,unknown,jun,1,-1,unknown,married,primary,0
5708,28,student,67,no,no,cellular,aug,3,199,other,single,secondary,1
2654,56,admin.,1693,no,no,cellular,oct,4,442,failure,divorced,secondary,1
1384,33,management,5276,no,no,cellular,nov,1,-1,unknown,single,tertiary,0
1987,34,management,1310,no,yes,cellular,nov,3,-1,unknown,single,tertiary,0
2197,26,services,209,yes,no,cellular,jul,2,-1,unknown,single,secondary,0
6230,59,management,258,yes,no,telephone,oct,1,-1,unknown,divorced,tertiary,1
2310,32,services,182,yes,no,cellular,may,1,-1,unknown,single,secondary,0
5167,35,technician,344,no,no,cellular,aug,16,-1,unknown,single,secondary,1
6645,32,technician,654,yes,no,cellular,may,4,-1,unknown,single,tertiary,1
2246,36,blue-collar,679,yes,yes,cellular,may,1,-1,unknown,married,primary,0
3314,33,management,1120,no,no,cellular,aug,2,-1,unknown,single,tertiary,1
36,64,retired,1612,no,no,cellular,may,1,89,failure,married,secondary,1
5419,44,admin.,205,no,no,cellular,nov,1,-1,unknown,married,secondary,1
4768,39,blue-collar,785,yes,no,cellular,may,2,-1,unknown,married,secondary,1
1849,40,housemaid,949,no,no,cellular,aug,1,-1,unknown,married,secondary,0
6299,39,technician,206,no,no,cellular,oct,2,195,success,married,tertiary,1
4608,61,blue-collar,1428,yes,no,unknown,may,2,-1,unknown,divorced,primary,0
1073,56,entrepreneur,179,no,no,cellular,aug,2,-1,unknown,divorced,secondary,0
4687,46,technician,966,yes,yes,cellular,aug,2,-1,unknown,married,secondary,0
331,51,technician,371,yes,yes,cellular,oct,1,-1,unknown,married,secondary,1
2749,32,blue-collar,15341,no,no,unknown,may,3,-1,unknown,single,secondary,0
6336,21,unemployed,1333,no,no,cellular,feb,1,-1,unknown,single,secondary,0
2517,28,management,320,yes,no,cellular,apr,1,-1,unknown,single,tertiary,0
6861,52,technician,7,no,yes,unknown,may,1,-1,unknown,married,tertiary,0
3737,40,services,573,yes,no,cellular,may,1,-1,unknown,single,secondary,0
83,25,student,469,no,no,cellular,aug,1,86,other,single,secondary,1
1395,36,blue-collar,1503,no,no,cellular,nov,1,-1,unknown,married,primary,0
3767,49,technician,-849,yes,yes,unknown,may,1,-1,unknown,married,secondary,0
1046,60,services,313,yes,no,unknown,may,2,-1,unknown,single,primary,1
6828,50,management,1165,no,no,cellular,jul,1,-1,unknown,married,secondary,1
2487,31,management,-201,yes,no,cellular,aug,4,-1,unknown,single,tertiary,0
6565,33,student,1170,no,no,cellular,apr,1,-1,unknown,single,unknown,1
2493,54,unemployed,582,yes,no,cellular,may,5,372,failure,married,secondary,1
3266,28,blue-collar,751,yes,no,cellular,jul,5,-1,unknown,married,secondary,1
5,41,admin.,-76,yes,no,cellular,apr,1,-1,unknown,married,secondary,0
5784,30,housemaid,19,no,no,cellular,aug,1,92,success,single,tertiary,1
3014,32,blue-collar,206,yes,no,unknown,may,2,-1,unknown,married,primary,0
4973,47,technician,568,yes,no,cellular,aug,1,-1,unknown,married,secondary,1
5934,39,technician,10685,yes,no,cellular,jul,9,-1,unknown,married,secondary,1
2277,39,management,756,yes,no,unknown,jun,1,-1,unknown,married,tertiary,0
77,34,blue-collar,157,yes,no,cellular,jul,2,-1,unknown,married,secondary,0
7206,39,technician,834,yes,yes,cellular,apr,1,-1,unknown,married,secondary,0
3375,34,admin.,2374,yes,no,cellular,nov,1,209,failure,married,secondary,1
7254,31,admin.,19,yes,no,cellular,nov,1,-1,unknown,single,secondary,1
68,65,retired,1948,no,no,cellular,feb,2,-1,unknown,married,tertiary,0
135,54,retired,2761,no,no,cellular,jul,1,-1,unknown,divorced,secondary,0
5557,53,housemaid,0,no,no,unknown,jun,8,-1,unknown,married,primary,0
7393,55,admin.,602,no,no,cellular,jun,3,90,success,married,secondary,1
2142,39,entrepreneur,283,yes,no,unknown,may,2,-1,unknown,married,secondary,0
189,29,blue-collar,260,yes,no,unknown,jun,14,-1,unknown,single,secondary,1
5689,45,blue-collar,-311,yes,no,unknown,may,1,-1,unknown,divorced,primary,1
2713,46,management,802,yes,no,telephone,jul,1,-1,unknown,married,unknown,0
3990,47,management,3663,no,no,cellular,mar,3,-1,unknown,married,tertiary,1
5512,30,blue-collar,-529,yes,no,cellular,may,4,-1,unknown,married,secondary,0
129,37,technician,3943,no,no,cellular,apr,2,138,failure,single,tertiary,1
3508,53,admin.,578,no,no,cellular,aug,2,-1,unknown,married,secondary,0
3623,33,blue-collar,557,yes,no,cellular,apr,2,331,failure,single,primary,0
765,34,student,5827,no,no,cellular,nov,2,-1,unknown,single,unknown,0
3353,56,admin.,360,yes,yes,cellular,jul,2,-1,unknown,married,secondary,0
3884,49,technician,-236,yes,no,unknown,may,2,-1,unknown,divorced,secondary,0
5950,54,unemployed,380,no,no,cellular,nov,2,-1,unknown,single,secondary,1
2408,34,blue-collar,262,no,no,cellular,sep,2,106,success,married,secondary,1
3753,44,self-employed,1196,no,no,cellular,aug,5,-1,unknown,married,tertiary,1
1772,46,management,-130,yes,no,cellular,mar,2,-1,unknown,divorced,tertiary,1
5573,49,technician,9131,yes,no,cellular,aug,1,461,failure,single,secondary,1
4797,42,technician,757,no,no,cellular,feb,1,-1,unknown,married,tertiary,1
6675,34,technician,440,yes,no,cellular,may,2,345,failure,single,secondary,0
3339,46,admin.,0,yes,yes,cellular,apr,2,259,failure,married,secondary,0
3108,61,admin.,1046,yes,no,cellular,aug,1,-1,unknown,married,secondary,1
4289,30,admin.,285,no,no,cellular,feb,2,-1,unknown,married,tertiary,0
1904,30,management,398,no,no,cellular,oct,1,180,success,single,tertiary,1
1130,40,technician,-357,yes,no,cellular,jul,4,-1,unknown,married,secondary,1
4558,32,services,310,yes,no,unknown,may,1,-1,unknown,single,secondary,0
672,55,management,446,no,no,cellular,feb,1,-1,unknown,divorced,tertiary,0
4466,29,technician,2326,no,no,cellular,mar,1,-1,unknown,married,secondary,1
3028,49,management,543,yes,no,unknown,may,3,-1,unknown,married,secondary,0
3246,29,admin.,266,yes,no,cellular,may,1,-1,unknown,single,secondary,1
94,30,management,131,yes,no,cellular,aug,6,-1,unknown,married,tertiary,1
5069,60,services,8837,yes,no,unknown,may,4,-1,unknown,married,secondary,0
6968,36,management,-861,yes,yes,cellular,jul,2,-1,unknown,married,tertiary,0
4346,57,retired,1623,yes,yes,cellular,jul,1,-1,unknown,married,primary,0
219,33,management,455,yes,yes,unknown,may,10,-1,unknown,married,tertiary,0
5566,27,admin.,4590,yes,no,cellular,nov,4,89,failure,single,secondary,1
3563,32,management,1477,yes,no,cellular,nov,1,-1,unknown,married,secondary,0
5841,78,retired,3417,no,no,cellular,may,1,181,success,divorced,secondary,1
4633,49,unemployed,377,no,no,cellular,may,1,59,failure,married,tertiary,0
3832,47,services,278,yes,no,cellular,may,1,366,other,married,secondary,0
4647,49,unemployed,11,yes,no,telephone,jul,8,-1,unknown,married,primary,0
4124,44,blue-collar,2791,no,no,unknown,jun,1,-1,unknown,married,primary,0
4728,27,housemaid,-238,no,no,cellular,jul,4,-1,unknown,married,primary,0
4356,52,blue-collar,1624,no,no,unknown,jun,3,-1,unknown,married,primary,0
5937,46,blue-collar,804,yes,no,cellular,may,2,361,success,married,primary,1
3823,30,blue-collar,971,yes,no,cellular,apr,1,317,other,single,secondary,0
6642,37,services,1694,yes,yes,cellular,jan,2,251,failure,married,secondary,0
6928,57,blue-collar,3196,no,no,cellular,aug,4,-1,unknown,married,unknown,0
3760,49,blue-collar,134,yes,yes,unknown,may,2,-1,unknown,married,secondary,0
6032,48,housemaid,0,no,no,cellular,may,5,-1,unknown,married,secondary,1
3427,70,retired,2575,no,no,telephone,apr,2,-1,unknown,married,secondary,1
3141,48,entrepreneur,0,no,yes,cellular,jul,2,-1,unknown,married,secondary,1
89,37,technician,588,yes,no,cellular,aug,4,-1,unknown,married,secondary,0
4361,33,admin.,3160,no,no,unknown,jun,13,-1,unknown,single,secondary,0
1450,38,technician,-397,yes,yes,cellular,jul,9,-1,unknown,divorced,secondary,0
4947,68,retired,2812,no,no,cellular,aug,4,181,success,married,tertiary,1
6114,30,unemployed,1159,no,no,cellular,aug,1,68,success,single,tertiary,0
6729,21,student,794,no,no,cellular,jun,1,-1,unknown,single,secondary,1
3022,41,unknown,942,no,no,cellular,apr,1,-1,unknown,single,unknown,1
6059,55,admin.,-2,no,no,cellular,aug,1,-1,unknown,married,secondary,0
7345,37,management,108,yes,yes,cellular,jun,2,-1,unknown,married,tertiary,1
7056,43,technician,1017,yes,no,unknown,may,2,-1,unknown,single,tertiary,0
108,34,blue-collar,855,yes,no,cellular,jul,1,-1,unknown,single,secondary,1
5992,60,blue-collar,1310,no,no,unknown,may,2,-1,unknown,divorced,secondary,0
1966,38,technician,581,yes,no,unknown,may,1,-1,unknown,married,secondary,0
4538,50,blue-collar,881,yes,yes,cellular,apr,1,-1,unknown,divorced,secondary,0
141,39,blue-collar,2303,yes,no,unknown,jun,3,-1,unknown,married,primary,1
412,52,services,1000,no,no,cellular,aug,2,-1,unknown,married,secondary,1
7041,47,blue-collar,-58,yes,no,cellular,jul,2,-1,unknown,married,primary,0
5952,29,management,-11,yes,no,cellular,may,2,-1,unknown,single,tertiary,0
2201,30,management,1466,no,no,cellular,aug,4,-1,unknown,single,tertiary,0
5767,36,blue-collar,1165,yes,no,unknown,may,4,-1,unknown,married,secondary,1
4115,28,admin.,934,yes,no,unknown,jul,2,-1,unknown,married,secondary,0
4351,32,services,1844,yes,yes,cellular,feb,4,201,failure,married,secondary,0
1757,43,blue-collar,245,yes,no,cellular,apr,1,-1,unknown,married,unknown,0
6651,48,management,0,yes,no,cellular,may,1,344,other,married,unknown,0
6110,52,entrepreneur,1306,no,no,cellular,jun,1,-1,unknown,married,secondary,1
758,35,management,3544,yes,no,cellular,jun,1,-1,unknown,single,tertiary,1
7085,54,technician,118,no,no,cellular,apr,1,-1,unknown,single,tertiary,1
3151,35,management,141,no,yes,cellular,nov,1,-1,unknown,divorced,tertiary,1
4820,29,management,10576,no,no,unknown,may,2,-1,unknown,married,tertiary,1
3854,48,management,606,no,no,cellular,mar,6,-1,unknown,married,primary,0
2351,53,retired,2269,no,no,cellular,nov,2,150,success,married,tertiary,1
7074,42,technician,-411,yes,no,cellular,jul,3,-1,unknown,single,tertiary,0
1075,52,technician,371,yes,yes,cellular,apr,2,182,success,married,secondary,1
3023,39,blue-collar,3,no,yes,unknown,jul,1,-1,unknown,divorced,primary,0
813,31,blue-collar,228,no,no,cellular,aug,1,88,other,single,secondary,1
91,39,services,-971,yes,yes,unknown,may,2,-1,unknown,married,secondary,0
6858,55,management,797,no,no,cellular,jul,2,-1,unknown,single,tertiary,0
3220,49,services,1884,yes,no,cellular,may,1,-1,unknown,single,secondary,0
5540,29,technician,2325,no,no,cellular,feb,1,-1,unknown,single,tertiary,1
4731,23,services,665,yes,no,unknown,may,1,-1,unknown,single,secondary,1
7201,40,management,1598,yes,yes,cellular,may,4,344,failure,married,tertiary,1
5101,68,retired,1146,no,no,cellular,mar,2,110,success,married,secondary,1
6141,41,blue-collar,2453,yes,no,unknown,may,1,-1,unknown,married,primary,1
4020,44,management,-1636,yes,yes,cellular,may,1,-1,unknown,married,tertiary,0
3756,32,blue-collar,1036,yes,yes,unknown,may,2,-1,unknown,single,secondary,0
2079,34,services,1182,yes,no,unknown,may,1,-1,unknown,married,secondary,0
2606,39,housemaid,1444,no,no,telephone,jul,8,-1,unknown,married,secondary,1
3506,32,management,935,no,no,cellular,aug,2,375,failure,single,tertiary,1
2173,21,student,137,yes,no,unknown,may,3,-1,unknown,single,unknown,0
855,34,services,1076,no,no,cellular,may,1,182,success,married,secondary,1
4290,31,management,81,yes,no,cellular,oct,2,-1,unknown,married,tertiary,1
7118,33,management,1271,yes,no,cellular,apr,3,330,failure,single,tertiary,1
797,40,management,-240,no,yes,unknown,may,3,-1,unknown,married,secondary,0
7321,29,unemployed,150,yes,no,cellular,may,1,-1,unknown,single,tertiary,0
3282,32,blue-collar,1518,yes,no,telephone,feb,3,-1,unknown,married,primary,0
5257,29,technician,-397,yes,no,unknown,may,1,-1,unknown,single,secondary,0
974,55,blue-collar,-473,yes,no,unknown,may,1,-1,unknown,married,secondary,0
2527,61,management,544,no,no,cellular,dec,3,200,success,married,secondary,1
869,56,retired,74,yes,no,unknown,may,2,-1,unknown,married,secondary,0
5473,37,admin.,-261,no,yes,cellular,jul,1,-1,unknown,single,secondary,0
3527,47,technician,736,no,no,cellular,jul,2,-1,unknown,single,secondary,0
1315,27,blue-collar,-208,yes,no,unknown,may,2,-1,unknown,single,secondary,0
1274,26,self-employed,2857,no,no,cellular,jul,1,-1,unknown,single,tertiary,1
4821,31,management,877,no,no,cellular,sep,1,92,success,married,tertiary,1
859,26,management,170,no,no,cellular,jun,1,-1,unknown,single,tertiary,1
6490,31,unemployed,330,no,no,cellular,jan,1,194,success,married,tertiary,1
716,35,blue-collar,885,yes,no,cellular,jul,6,-1,unknown,single,secondary,1
4015,34,technician,1539,yes,no,cellular,jun,1,56,other,married,tertiary,1
714,35,blue-collar,2999,no,no,unknown,jun,6,-1,unknown,married,tertiary,1
5237,54,technician,136,no,yes,cellular,jul,4,-1,unknown,divorced,secondary,0
4811,45,technician,441,yes,no,cellular,feb,1,-1,unknown,divorced,secondary,0
3754,49,management,342,no,no,cellular,jan,2,228,failure,married,tertiary,0
5840,38,self-employed,138,no,no,unknown,may,3,-1,unknown,married,secondary,0
4010,40,admin.,1395,yes,yes,cellular,jul,2,-1,unknown,married,secondary,0
6410,30,admin.,482,no,no,cellular,apr,1,-1,unknown,married,secondary,0
5755,35,management,724,yes,no,cellular,jul,2,415,failure,married,secondary,1
6810,30,admin.,0,yes,no,cellular,feb,2,-1,unknown,single,tertiary,1
64,31,services,-327,yes,no,unknown,may,1,-1,unknown,married,secondary,0
3631,30,management,1191,no,no,cellular,aug,4,-1,unknown,single,tertiary,0
6563,26,blue-collar,245,yes,no,unknown,may,2,-1,unknown,married,secondary,0
969,33,services,327,yes,no,unknown,may,1,-1,unknown,divorced,secondary,0
5958,31,admin.,728,yes,yes,cellular,may,1,352,failure,married,secondary,0
6998,53,admin.,0,yes,yes,cellular,apr,2,-1,unknown,divorced,secondary,0
2037,29,management,983,yes,no,cellular,jul,2,-1,unknown,single,tertiary,1
3938,40,admin.,100,yes,no,cellular,aug,1,461,success,single,secondary,1
2736,60,admin.,3735,no,no,cellular,sep,1,184,success,married,secondary,1
5515,32,management,2069,no,no,cellular,apr,1,-1,unknown,single,tertiary,1
807,47,technician,442,yes,no,cellular,may,1,-1,unknown,divorced,unknown,0
1709,38,technician,1711,no,no,telephone,sep,1,-1,unknown,single,secondary,1
7330,41,services,0,yes,no,unknown,may,2,-1,unknown,married,secondary,0
3920,61,management,3371,no,no,cellular,sep,2,-1,unknown,married,tertiary,1
6403,46,self-employed,706,no,no,cellular,may,1,386,failure,married,secondary,1
7382,56,blue-collar,8163,no,no,cellular,aug,4,-1,unknown,married,primary,1
1204,22,student,1522,no,no,cellular,oct,2,-1,unknown,single,secondary,1
6376,36,technician,-15,yes,no,unknown,may,3,-1,unknown,single,secondary,0
5219,56,services,444,yes,no,unknown,jun,1,-1,unknown,married,primary,0
844,58,blue-collar,3109,no,no,cellular,jun,1,287,success,married,primary,1
4292,30,management,697,no,no,cellular,aug,3,102,success,single,tertiary,1
356,35,technician,5724,yes,no,unknown,may,10,-1,unknown,divorced,secondary,1
35,47,management,6651,no,no,cellular,jul,1,412,failure,single,tertiary,1
2312,37,blue-collar,157,yes,no,unknown,may,8,-1,unknown,married,primary,0
5740,58,unknown,68,no,no,cellular,apr,1,-1,unknown,married,unknown,1
6359,36,admin.,1328,no,no,cellular,jul,9,-1,unknown,single,secondary,0
835,46,blue-collar,-396,no,yes,cellular,aug,1,-1,unknown,married,secondary,0
7376,21,student,2488,no,no,cellular,oct,1,-1,unknown,single,secondary,1
619,54,technician,719,yes,no,cellular,feb,1,264,failure,married,secondary,0
3077,42,management,-272,no,no,cellular,jul,1,-1,unknown,divorced,secondary,0
6759,41,management,5561,no,no,cellular,aug,2,-1,unknown,married,tertiary,1
1685,37,technician,1,yes,no,unknown,may,1,-1,unknown,married,secondary,1
238,53,technician,2557,no,no,cellular,jul,4,182,success,married,tertiary,0
3390,38,technician,5122,yes,no,cellular,nov,1,184,failure,single,tertiary,0
2932,65,unknown,4717,no,no,telephone,aug,1,-1,unknown,married,unknown,1
6902,33,self-employed,263,no,no,cellular,nov,4,94,failure,married,tertiary,0
6570,66,retired,995,no,no,cellular,feb,2,-1,unknown,married,secondary,1
1163,41,technician,30,yes,no,cellular,jul,1,-1,unknown,married,unknown,0
3452,38,technician,318,no,no,cellular,feb,1,181,failure,married,secondary,1
6677,36,management,133,yes,no,unknown,may,1,-1,unknown,divorced,tertiary,0
2987,41,management,141,yes,yes,unknown,may,3,-1,unknown,married,tertiary,0
6004,32,technician,287,yes,no,unknown,may,8,-1,unknown,single,secondary,0
819,30,management,1195,no,no,cellular,jul,2,-1,unknown,married,tertiary,0
7320,37,unemployed,1291,no,no,cellular,aug,1,97,success,single,tertiary,1
959,30,services,1268,yes,no,cellular,apr,4,320,other,single,secondary,1
2588,77,retired,2123,no,no,telephone,feb,4,-1,unknown,married,secondary,0
1353,28,technician,558,yes,no,cellular,may,1,-1,unknown,single,tertiary,0
1323,30,admin.,377,yes,no,unknown,jun,15,-1,unknown,divorced,secondary,1
5720,20,admin.,336,no,yes,cellular,jun,1,-1,unknown,single,secondary,0
4080,80,retired,997,no,no,cellular,oct,2,86,other,married,primary,1
277,30,management,265,yes,no,unknown,may,4,-1,unknown,married,tertiary,0
7284,35,technician,-180,no,yes,cellular,aug,2,-1,unknown,married,secondary,1
5800,50,admin.,237,no,yes,telephone,nov,1,-1,unknown,divorced,secondary,1
608,32,admin.,35,no,no,cellular,dec,3,126,success,married,secondary,1
3137,31,management,3384,no,no,cellular,mar,3,187,success,single,tertiary,1
2902,25,student,505,yes,no,cellular,may,1,-1,unknown,single,tertiary,0
1446,34,admin.,151,yes,no,cellular,may,1,370,other,single,secondary,1
377,27,blue-collar,23,no,no,cellular,feb,2,-1,unknown,single,secondary,0
6533,47,unemployed,2500,no,no,cellular,jan,1,-1,unknown,single,tertiary,0
3131,24,management,448,no,no,cellular,apr,1,-1,unknown,married,unknown,1
4661,45,admin.,0,no,no,cellular,aug,10,-1,unknown,married,secondary,0
3764,34,management,355,no,no,cellular,aug,3,-1,unknown,married,secondary,0
5197,35,management,802,yes,no,cellular,may,2,-1,unknown,married,tertiary,1
6768,44,blue-collar,88,yes,no,cellular,jul,1,-1,unknown,married,secondary,1
5491,42,admin.,1547,yes,yes,unknown,may,3,-1,unknown,married,primary,0
3413,30,blue-collar,906,yes,yes,unknown,may,7,-1,unknown,single,secondary,0
2978,43,blue-collar,413,yes,no,cellular,aug,2,182,success,married,secondary,1
3568,35,technician,1227,no,no,cellular,mar,4,90,other,single,secondary,1
3267,50,management,-516,yes,no,unknown,may,2,-1,unknown,married,tertiary,0
5362,51,housemaid,9228,no,no,cellular,jul,4,-1,unknown,divorced,secondary,1
4230,52,management,1944,yes,no,cellular,apr,3,323,failure,married,tertiary,0
5521,74,retired,1413,no,no,cellular,feb,2,-1,unknown,married,primary,1
2820,30,management,-328,yes,no,unknown,may,5,-1,unknown,married,tertiary,0
952,26,blue-collar,895,yes,no,cellular,feb,3,-1,unknown,married,secondary,0
4913,36,management,926,no,no,cellular,apr,1,-1,unknown,married,tertiary,1
6624,42,unemployed,576,no,no,cellular,jun,2,96,success,married,tertiary,1
780,39,management,1795,no,no,cellular,aug,7,-1,unknown,married,tertiary,1
6003,80,retired,155,no,no,telephone,mar,1,93,success,married,primary,1
1065,37,management,4089,yes,no,cellular,feb,2,174,other,married,tertiary,1
1616,56,management,0,no,no,cellular,oct,1,111,other,married,secondary,1
3947,27,technician,489,yes,no,cellular,jul,4,-1,unknown,single,secondary,1
5534,49,blue-collar,67,no,yes,cellular,aug,4,-1,unknown,married,primary,0
4891,57,admin.,658,no,no,cellular,jul,1,-1,unknown,divorced,secondary,1
4860,47,services,2597,yes,no,unknown,may,1,-1,unknown,married,secondary,0
3949,53,technician,-165,yes,no,cellular,jul,1,-1,unknown,single,secondary,0
6331,34,blue-collar,3527,yes,no,cellular,nov,1,-1,unknown,married,primary,1
1249,34,technician,122,no,no,unknown,may,5,-1,unknown,single,tertiary,0
5863,28,management,5474,no,no,cellular,jul,5,-1,unknown,single,tertiary,1
703,38,services,895,yes,no,cellular,may,1,-1,unknown,single,secondary,1
1724,21,student,123,no,no,telephone,feb,5,93,success,single,secondary,1
460,28,self-employed,3290,no,no,cellular,jun,2,-1,unknown,single,tertiary,1
5255,51,technician,0,no,no,cellular,mar,2,-1,unknown,married,tertiary,1
7123,26,admin.,5231,no,yes,cellular,jul,2,-1,unknown,married,secondary,0
5284,42,management,144,no,no,cellular,mar,1,87,failure,married,tertiary,1
6154,37,admin.,192,yes,no,unknown,may,2,-1,unknown,single,secondary,0
1496,49,technician,229,no,no,cellular,aug,2,-1,unknown,divorced,secondary,0
4946,36,blue-collar,537,no,yes,cellular,jul,6,-1,unknown,married,secondary,0
821,35,management,2707,no,no,cellular,feb,1,-1,unknown,single,tertiary,1
7142,35,technician,1,yes,yes,unknown,may,1,-1,unknown,married,secondary,0
3015,42,services,1165,yes,no,cellular,may,6,-1,unknown,married,secondary,0
1913,28,technician,1086,yes,no,cellular,apr,3,-1,unknown,married,secondary,1
4099,39,management,2887,yes,no,unknown,may,2,-1,unknown,single,unknown,0
320,56,self-employed,0,no,no,cellular,aug,1,-1,unknown,married,unknown,0
5183,26,services,199,no,no,cellular,jul,6,-1,unknown,married,secondary,0
6581,34,blue-collar,1682,yes,yes,cellular,jul,3,-1,unknown,married,secondary,0
6765,59,retired,1296,no,no,cellular,aug,11,-1,unknown,married,tertiary,0
292,34,blue-collar,800,no,no,cellular,apr,1,-1,unknown,married,secondary,1
430,36,admin.,542,yes,no,unknown,jun,6,-1,unknown,married,secondary,0
4074,24,admin.,1235,yes,yes,unknown,may,3,-1,unknown,single,secondary,0
7404,72,retired,1129,no,no,cellular,aug,1,-1,unknown,married,secondary,1
1554,28,admin.,707,yes,no,cellular,may,1,-1,unknown,single,secondary,1
2344,30,self-employed,3343,no,no,cellular,jun,1,-1,unknown,single,tertiary,1
6105,31,technician,138,no,no,cellular,may,1,285,other,single,secondary,1
3271,29,blue-collar,9,yes,no,cellular,may,3,-1,unknown,single,secondary,0
