,job,balance,housing,loan,contact,campaign,poutcome,deposit
2863,technician,27,yes,no,cellular,1,success,yes
844,management,81,no,yes,cellular,1,unknown,yes
623,student,64,no,no,cellular,1,unknown,no
2358,services,4721,no,no,cellular,1,success,yes
1780,management,992,no,no,unknown,1,unknown,no
2280,management,0,yes,no,cellular,1,unknown,no
939,admin.,270,no,no,cellular,1,success,yes
1126,technician,7984,yes,no,cellular,1,unknown,no
739,management,1887,no,no,cellular,3,unknown,no
5795,blue-collar,548,no,no,cellular,7,unknown,yes
6928,admin.,363,yes,no,cellular,1,success,yes
243,management,37,yes,no,unknown,1,unknown,no
1418,management,366,yes,no,unknown,1,unknown,no
3688,entrepreneur,2331,no,no,telephone,1,unknown,yes
3908,housemaid,88,yes,no,cellular,5,unknown,no
3147,technician,0,yes,no,cellular,4,unknown,yes
4363,management,179,yes,no,cellular,1,unknown,no
5282,services,2311,no,yes,cellular,2,unknown,yes
3793,unemployed,2228,no,no,unknown,2,unknown,no
1306,blue-collar,1127,yes,yes,cellular,2,failure,no
2572,technician,1001,no,yes,cellular,2,unknown,no
4503,admin.,3957,yes,no,telephone,3,other,no
540,blue-collar,1697,yes,no,unknown,2,unknown,yes
6234,admin.,527,no,yes,cellular,1,success,yes
1057,technician,35,yes,yes,cellular,1,other,no
2472,retired,178,yes,no,telephone,2,unknown,no
1155,admin.,1767,yes,no,cellular,7,unknown,yes
6131,retired,3,no,no,cellular,3,other,no
3185,technician,615,yes,no,cellular,1,unknown,yes
4018,entrepreneur,-1965,no,yes,telephone,2,unknown,no
5416,student,7529,no,no,cellular,1,unknown,yes
440,admin.,306,yes,no,cellular,4,unknown,yes
7355,technician,965,no,no,cellular,10,unknown,yes
306,retired,3049,no,no,cellular,3,unknown,yes
2764,self-employed,1972,yes,no,cellular,2,unknown,no
4023,blue-collar,0,yes,no,cellular,1,failure,yes
4733,services,483,yes,no,cellular,1,unknown,no
4758,blue-collar,532,no,no,telephone,2,unknown,no
7368,blue-collar,1879,no,no,cellular,8,unknown,yes
76,technician,8,no,yes,cellular,2,failure,no
503,blue-collar,581,yes,no,cellular,6,unknown,no
5227,services,1788,no,no,cellular,1,failure,yes
2529,blue-collar,225,yes,no,cellular,1,failure,yes
149,retired,211,no,no,telephone,3,unknown,no
6136,admin.,1694,yes,no,telephone,1,unknown,no
6125,technician,726,no,no,cellular,2,unknown,yes
5248,technician,-54,yes,yes,cellular,2,failure,yes
6494,technician,344,yes,yes,unknown,2,unknown,no
3834,retired,7613,no,no,cellular,3,unknown,yes
4226,blue-collar,111,yes,no,cellular,3,unknown,no
3116,management,2326,yes,yes,cellular,1,unknown,yes
2993,self-employed,970,yes,no,cellular,1,unknown,no
3735,technician,-454,no,yes,cellular,2,unknown,no
6758,services,2145,no,no,cellular,1,failure,yes
62,retired,1269,no,no,cellular,1,unknown,yes
3084,blue-collar,1080,yes,yes,cellular,3,failure,yes
4189,management,997,no,no,cellular,1,unknown,yes
1509,retired,404,no,no,cellular,2,failure,yes
6731,student,794,no,no,cellular,1,unknown,yes
1354,student,163,no,no,cellular,1,unknown,yes
2588,management,237,yes,no,cellular,1,unknown,no
2552,entrepreneur,189,no,no,cellular,2,unknown,yes
3178,blue-collar,739,yes,no,cellular,2,failure,no
6091,blue-collar,-29,yes,no,unknown,1,unknown,no
3778,management,583,no,no,cellular,1,success,yes
1026,technician,589,yes,no,cellular,1,other,no
3227,technician,2201,no,no,telephone,1,unknown,yes
1090,management,544,no,no,cellular,7,failure,yes
7104,management,456,yes,no,cellular,4,unknown,yes
7115,services,0,yes,no,cellular,9,unknown,yes
602,blue-collar,455,no,no,telephone,1,unknown,yes
353,management,350,no,no,cellular,6,unknown,no
4101,blue-collar,1230,yes,no,cellular,1,success,yes
6990,management,1937,yes,no,cellular,4,other,no
5735,services,1717,no,no,cellular,9,unknown,no
1680,technician,240,yes,yes,cellular,3,unknown,no
5458,blue-collar,0,no,no,cellular,1,unknown,yes
452,self-employed,0,no,no,cellular,1,unknown,no
6557,admin.,1141,yes,no,unknown,1,unknown,no
1372,technician,2544,no,no,cellular,2,unknown,yes
3560,management,1477,yes,no,cellular,1,unknown,no
3676,management,154,no,no,telephone,2,failure,no
163,management,1199,no,no,telephone,2,unknown,no
4359,admin.,3160,no,no,unknown,13,unknown,no
1013,technician,2323,yes,yes,cellular,10,unknown,no
6318,management,1090,no,no,cellular,4,other,yes
1523,management,710,yes,no,cellular,2,unknown,no
2711,admin.,28,no,no,unknown,1,unknown,no
5886,services,50,yes,no,unknown,1,unknown,no
2670,services,-30,no,no,cellular,3,unknown,yes
672,blue-collar,623,yes,no,cellular,2,unknown,yes
101,management,2228,yes,no,cellular,1,unknown,yes
6729,blue-collar,1096,no,yes,unknown,1,unknown,no
5370,technician,40,no,no,cellular,2,unknown,yes
6548,services,414,yes,no,unknown,1,unknown,no
135,technician,425,yes,no,cellular,2,failure,no
4417,admin.,29,no,no,cellular,1,unknown,yes
4636,student,53,no,no,cellular,1,unknown,yes
4114,unemployed,522,no,no,cellular,1,unknown,no
3423,self-employed,411,no,no,unknown,4,unknown,no
1565,blue-collar,196,yes,no,unknown,1,unknown,no
4957,blue-collar,833,yes,no,cellular,1,unknown,yes
7166,admin.,-126,no,yes,cellular,4,unknown,no
6307,technician,206,no,no,cellular,2,success,yes
3355,services,31,no,no,cellular,1,unknown,yes
5967,admin.,2374,yes,no,cellular,2,success,yes
3933,retired,1532,no,no,telephone,3,unknown,no
1698,management,443,no,no,cellular,3,unknown,yes
175,blue-collar,1023,yes,no,cellular,2,unknown,no
7016,services,0,yes,no,cellular,1,failure,no
3531,admin.,261,yes,yes,cellular,4,unknown,yes
1591,management,346,no,no,cellular,1,unknown,yes
564,entrepreneur,233,no,no,cellular,1,unknown,no
817,management,442,no,no,unknown,3,unknown,no
765,self-employed,0,no,no,unknown,1,unknown,no
3283,retired,0,no,no,cellular,3,unknown,yes
1849,housemaid,949,no,no,cellular,1,unknown,no
6246,technician,-90,no,yes,telephone,1,unknown,yes
3575,student,1134,no,no,cellular,1,success,yes
1663,self-employed,168,no,no,cellular,2,unknown,yes
1693,technician,1981,yes,no,cellular,2,unknown,yes
1316,blue-collar,975,yes,no,unknown,2,unknown,no
6083,unemployed,1713,yes,no,unknown,2,unknown,yes
2271,blue-collar,1074,yes,no,cellular,2,unknown,no
720,admin.,3240,no,no,cellular,2,unknown,no
881,blue-collar,201,yes,no,cellular,1,unknown,yes
788,admin.,899,yes,no,unknown,1,failure,yes
1730,unemployed,9,no,yes,cellular,2,unknown,yes
1485,technician,294,yes,no,cellular,3,unknown,yes
4300,retired,1430,no,no,telephone,2,success,yes
3909,technician,827,no,no,cellular,3,unknown,no
4083,admin.,524,yes,no,cellular,1,unknown,yes
1973,self-employed,1182,yes,no,unknown,2,unknown,no
2221,blue-collar,807,yes,no,unknown,2,unknown,no
3837,blue-collar,640,yes,no,cellular,1,unknown,yes
7164,blue-collar,7378,no,no,unknown,3,unknown,no
2750,blue-collar,28,no,yes,cellular,1,other,no
1092,retired,5920,yes,no,cellular,1,failure,no
5093,housemaid,9,no,yes,cellular,3,unknown,no
3506,technician,-179,yes,no,cellular,1,unknown,no
7345,services,0,yes,no,cellular,2,failure,yes
1653,blue-collar,-66,yes,no,unknown,2,unknown,no
1134,blue-collar,955,no,yes,cellular,2,success,yes
2164,services,0,no,no,cellular,6,success,yes
3344,admin.,360,yes,yes,cellular,2,unknown,no
3285,blue-collar,11,no,no,unknown,2,unknown,no
7280,blue-collar,536,yes,no,cellular,3,unknown,yes
2743,blue-collar,15341,no,no,unknown,3,unknown,no
5856,management,2813,yes,no,cellular,1,unknown,no
3206,admin.,6971,no,no,cellular,1,unknown,no
3612,management,874,yes,no,cellular,1,unknown,yes
6665,retired,1091,no,no,cellular,5,unknown,yes
7320,management,5561,yes,no,cellular,1,unknown,yes
2362,management,0,no,no,unknown,6,unknown,yes
770,admin.,1277,no,no,cellular,1,unknown,yes
3121,management,448,no,no,cellular,1,unknown,yes
2105,services,278,yes,no,unknown,3,unknown,yes
1694,blue-collar,116,yes,no,unknown,2,unknown,no
746,management,7560,no,no,cellular,1,unknown,yes
3362,retired,8603,no,no,cellular,1,unknown,yes
7042,management,494,no,no,cellular,2,failure,yes
4323,technician,515,no,no,cellular,2,unknown,yes
1864,admin.,204,yes,no,cellular,2,unknown,yes
1217,technician,356,yes,no,unknown,2,unknown,no
4989,blue-collar,1796,yes,yes,cellular,2,unknown,no
4426,technician,1646,yes,no,cellular,1,success,yes
1699,blue-collar,1181,yes,no,cellular,2,unknown,yes
1935,management,-547,yes,no,cellular,2,unknown,no
473,unemployed,48,no,no,cellular,10,unknown,no
3680,blue-collar,-243,no,yes,cellular,2,unknown,no
3602,services,0,no,yes,cellular,6,unknown,no
5898,management,-321,no,no,cellular,2,other,no
3372,retired,639,no,no,telephone,7,unknown,no
1346,services,227,yes,yes,cellular,2,unknown,yes
164,services,154,yes,no,telephone,5,other,no
393,blue-collar,781,yes,no,cellular,3,failure,no
4731,services,665,yes,no,unknown,1,unknown,yes
4331,technician,1286,no,no,telephone,12,unknown,no
4425,management,2885,no,no,cellular,2,unknown,yes
2365,admin.,6,no,no,unknown,1,unknown,no
2528,retired,1257,no,no,cellular,1,unknown,yes
4333,housemaid,-187,yes,no,telephone,7,unknown,no
5708,admin.,930,yes,no,cellular,1,unknown,no
5410,blue-collar,408,yes,yes,unknown,2,unknown,yes
5903,management,623,no,no,cellular,4,other,yes
2191,management,0,no,no,unknown,3,unknown,no
2347,student,64,no,no,cellular,2,unknown,yes
350,retired,2416,no,no,cellular,2,unknown,yes
5082,technician,145,yes,no,unknown,2,unknown,no
832,management,3387,yes,no,cellular,5,unknown,yes
110,management,4119,yes,yes,telephone,1,unknown,yes
4886,blue-collar,306,no,no,unknown,8,unknown,no
2554,unemployed,4874,no,no,telephone,2,unknown,no
7334,management,583,no,no,cellular,1,failure,yes
4082,technician,925,no,no,cellular,1,unknown,no
1463,admin.,10041,yes,no,cellular,2,other,no
726,management,597,no,yes,cellular,1,unknown,no
2963,management,495,no,no,cellular,1,success,yes
10,management,1170,no,no,cellular,4,unknown,no
2885,unemployed,608,no,no,cellular,2,unknown,no
5292,management,0,no,no,cellular,2,other,yes
2872,entrepreneur,177,yes,no,unknown,5,unknown,no
5572,technician,3068,yes,yes,cellular,2,other,yes
7399,technician,102,yes,yes,unknown,9,unknown,no
611,technician,12,no,no,cellular,2,unknown,no
6547,management,1566,yes,no,unknown,1,unknown,no
4522,admin.,-12,yes,no,unknown,1,unknown,no
5545,student,608,no,no,cellular,1,success,yes
7221,blue-collar,0,yes,yes,unknown,4,unknown,no
6893,technician,418,yes,no,unknown,1,unknown,no
4044,technician,0,no,no,cellular,1,unknown,yes
5451,blue-collar,33,no,yes,unknown,3,unknown,yes
1539,blue-collar,1230,yes,no,cellular,1,success,yes
1367,retired,2144,no,no,cellular,1,success,yes
3769,technician,2794,no,no,cellular,2,unknown,yes
7123,management,1271,yes,no,cellular,3,failure,yes
3293,blue-collar,-389,yes,yes,unknown,1,unknown,yes
6902,technician,273,no,no,cellular,2,unknown,yes
4011,management,630,no,no,cellular,1,success,yes
6319,blue-collar,-57,yes,yes,cellular,5,unknown,no
7200,management,143,no,no,cellular,6,unknown,no
2109,technician,589,yes,yes,unknown,1,unknown,no
256,housemaid,0,yes,no,cellular,3,unknown,no
3836,retired,695,no,no,cellular,1,unknown,yes
4389,management,23,yes,yes,cellular,1,unknown,no
84,management,7177,no,no,unknown,2,unknown,no
918,blue-collar,4641,no,no,unknown,2,unknown,no
3871,management,6739,yes,no,cellular,3,unknown,no
3005,blue-collar,61,no,no,cellular,1,unknown,no
7325,management,424,no,yes,cellular,2,unknown,no
1794,management,25,yes,yes,cellular,2,unknown,yes
637,blue-collar,54,yes,no,cellular,1,unknown,yes
1410,blue-collar,890,no,no,cellular,2,unknown,yes
6799,entrepreneur,2700,no,no,cellular,3,unknown,no
3242,admin.,607,no,no,cellular,2,unknown,yes
2709,technician,2266,no,no,cellular,3,other,yes
6605,entrepreneur,1179,no,no,cellular,2,unknown,no
109,entrepreneur,726,yes,yes,cellular,2,unknown,no
2263,management,-242,yes,yes,cellular,4,other,yes
4985,technician,4718,no,no,cellular,1,unknown,yes
430,blue-collar,333,yes,no,cellular,2,unknown,yes
3089,self-employed,160,no,no,unknown,1,unknown,yes
7088,technician,275,no,no,cellular,1,unknown,yes
67,services,0,no,no,cellular,4,unknown,no
3982,blue-collar,640,yes,no,cellular,1,success,yes
3591,management,166,no,no,cellular,6,unknown,no
2307,technician,1776,no,no,unknown,7,unknown,no
6531,services,202,yes,no,cellular,2,failure,yes
6265,blue-collar,-127,yes,no,cellular,3,unknown,yes
724,management,199,no,yes,cellular,7,unknown,no
7193,technician,33,no,no,cellular,7,unknown,no
5195,services,0,yes,yes,cellular,1,unknown,no
550,admin.,220,no,no,cellular,1,unknown,no
1382,services,0,no,no,unknown,3,unknown,yes
6768,retired,1296,no,no,cellular,11,unknown,no
2659,technician,681,yes,no,unknown,1,unknown,no
5766,services,1539,no,no,unknown,2,unknown,no
413,services,870,no,no,cellular,4,unknown,yes
2206,management,644,yes,no,unknown,2,unknown,no
3613,services,819,yes,no,telephone,14,unknown,no
2072,retired,2850,no,no,cellular,1,unknown,yes
3507,services,223,yes,no,unknown,1,unknown,no
1144,unemployed,0,no,no,telephone,3,unknown,no
370,admin.,0,no,yes,unknown,1,unknown,no
1250,technician,122,no,no,unknown,5,unknown,no
2166,management,240,no,no,unknown,1,unknown,yes
1461,technician,882,no,no,cellular,1,unknown,yes
701,unemployed,324,no,no,cellular,2,unknown,yes
3440,blue-collar,463,yes,no,cellular,1,unknown,no
3826,management,657,no,yes,cellular,2,unknown,no
3187,management,2983,yes,no,cellular,1,unknown,no
1950,technician,3933,no,no,cellular,3,unknown,yes
697,management,2644,no,no,cellular,7,unknown,no
2629,admin.,-61,no,no,cellular,4,unknown,yes
3782,admin.,-312,yes,no,unknown,1,unknown,no
2612,technician,-1,no,no,unknown,2,unknown,yes
3044,management,2240,no,no,cellular,2,success,yes
361,management,6013,yes,no,cellular,1,unknown,yes
6629,blue-collar,106,yes,no,cellular,1,failure,yes
5418,management,2987,yes,no,cellular,1,failure,yes
