,age,balance,contact,campaign,pdays,poutcome,deposit
3230,44,1397,cellular,1,-1,unknown,no
1844,34,271,cellular,1,94,success,yes
373,27,2071,cellular,1,-1,unknown,yes
7310,60,18967,cellular,2,-1,unknown,yes
4087,36,115,cellular,3,91,failure,no
6301,45,116,unknown,1,-1,unknown,yes
6726,75,1765,telephone,1,187,failure,yes
6755,25,131,unknown,1,-1,unknown,no
7474,29,328,cellular,1,-1,unknown,no
3064,31,435,unknown,1,-1,unknown,no
3025,33,480,cellular,1,270,other,no
2583,41,1395,cellular,1,308,failure,no
563,58,497,unknown,5,-1,unknown,no
4073,41,0,cellular,2,-1,unknown,no
6488,67,7687,telephone,3,-1,unknown,no
6003,47,335,cellular,1,-1,unknown,yes
2646,46,306,cellular,5,-1,unknown,no
6446,49,23,unknown,1,-1,unknown,no
2691,40,1844,cellular,1,-1,unknown,no
2135,50,388,cellular,2,-1,unknown,yes
1768,50,5969,cellular,1,544,failure,yes
6569,59,0,unknown,1,-1,unknown,no
1724,38,1612,cellular,1,-1,unknown,yes
5084,45,375,unknown,1,594,failure,no
814,23,1506,cellular,4,-1,unknown,yes
1353,41,-413,unknown,2,-1,unknown,no
1361,57,1753,cellular,1,-1,unknown,no
1371,38,10596,cellular,1,197,other,yes
6805,26,246,unknown,3,-1,unknown,yes
4377,42,413,cellular,2,-1,unknown,yes
5844,57,295,cellular,11,-1,unknown,no
5053,42,757,cellular,1,-1,unknown,yes
3004,37,28,cellular,2,-1,unknown,no
3857,48,863,telephone,5,350,success,yes
3648,57,256,cellular,2,91,success,yes
1919,60,4629,cellular,1,-1,unknown,yes
2727,43,2160,cellular,1,-1,unknown,yes
86,60,2060,cellular,4,95,failure,no
2326,34,1406,cellular,2,85,success,yes
5147,35,306,unknown,8,-1,unknown,no
2778,62,272,cellular,1,92,success,yes
5695,33,935,cellular,2,92,success,yes
6194,25,1857,cellular,2,91,success,yes
4055,29,25,cellular,2,-1,unknown,yes
2827,40,1908,cellular,2,-1,unknown,yes
6410,44,1529,cellular,1,-1,unknown,yes
4402,31,3160,cellular,2,-1,unknown,yes
2149,30,86,unknown,1,-1,unknown,no
3311,32,129,cellular,1,-1,unknown,no
414,40,668,cellular,2,318,other,no
6206,57,890,cellular,4,-1,unknown,no
777,38,1711,cellular,3,202,success,yes
610,41,4464,telephone,2,-1,unknown,no
6219,58,1457,cellular,4,-1,unknown,no
5988,28,261,cellular,2,98,success,yes
1793,27,6791,cellular,2,69,other,yes
7294,36,506,cellular,1,70,failure,yes
3347,46,7934,unknown,1,-1,unknown,no
7562,40,1305,cellular,1,-1,unknown,no
2492,45,231,unknown,3,-1,unknown,no
1797,23,252,cellular,1,-1,unknown,no
7517,46,244,unknown,1,-1,unknown,no
3922,32,598,cellular,6,-1,unknown,no
4574,61,86,cellular,1,-1,unknown,yes
2625,34,1058,unknown,2,-1,unknown,yes
2568,41,205,unknown,1,-1,unknown,no
3461,49,350,cellular,3,-1,unknown,no
5975,38,0,cellular,1,-1,unknown,yes
2945,40,1516,unknown,1,-1,unknown,no
6738,40,1646,cellular,1,92,success,yes
621,44,558,cellular,5,-1,unknown,yes
5793,39,2345,cellular,2,344,failure,yes
1725,68,451,cellular,1,-1,unknown,yes
358,31,554,cellular,1,-1,unknown,no
4645,38,1767,cellular,4,239,success,yes
7753,58,96,unknown,3,-1,unknown,no
1576,32,131,unknown,3,-1,unknown,no
441,22,2162,telephone,1,-1,unknown,no
278,29,5,cellular,5,-1,unknown,yes
7764,21,2488,cellular,1,-1,unknown,yes
5734,48,816,cellular,7,-1,unknown,no
5152,64,2645,telephone,2,-1,unknown,yes
129,33,867,cellular,1,-1,unknown,no
2787,54,2819,cellular,3,-1,unknown,no
4996,28,863,unknown,1,-1,unknown,no
1871,32,874,cellular,6,-1,unknown,yes
7255,30,396,cellular,3,348,failure,yes
7505,26,5231,cellular,2,-1,unknown,no
7515,52,2081,unknown,1,-1,unknown,no
3264,56,3391,cellular,1,-1,unknown,yes
6180,56,94,cellular,3,-1,unknown,no
935,34,2956,cellular,2,-1,unknown,yes
998,26,895,cellular,3,-1,unknown,no
3901,44,1901,cellular,2,-1,unknown,no
670,30,2666,cellular,3,89,success,yes
7710,33,69,cellular,2,-1,unknown,no
4998,53,232,telephone,1,-1,unknown,no
6522,40,0,cellular,2,-1,unknown,yes
592,50,398,telephone,5,-1,unknown,no
3117,45,4119,telephone,2,283,success,yes
6480,52,2269,unknown,1,-1,unknown,yes
388,39,0,unknown,1,-1,unknown,no
7523,29,146,unknown,2,-1,unknown,no
5701,25,184,telephone,7,-1,unknown,no
2359,38,677,cellular,2,-1,unknown,no
5990,59,2595,cellular,2,-1,unknown,no
3127,26,401,cellular,2,-1,unknown,yes
5024,43,2383,cellular,6,-1,unknown,yes
7245,29,271,unknown,2,-1,unknown,yes
3005,33,3401,cellular,1,-1,unknown,yes
7296,52,363,cellular,1,462,success,yes
2034,35,0,cellular,6,-1,unknown,no
3701,39,322,cellular,1,350,failure,no
3441,31,726,cellular,2,-1,unknown,yes
6544,34,64,cellular,2,-1,unknown,no
6418,31,373,cellular,6,-1,unknown,yes
5041,37,54,cellular,1,-1,unknown,no
429,44,323,cellular,2,181,failure,yes
2416,30,590,cellular,3,-1,unknown,no
836,38,-258,cellular,2,370,other,no
1058,42,0,cellular,1,-1,unknown,yes
3197,36,3057,unknown,4,-1,unknown,yes
3658,33,0,cellular,1,-1,unknown,yes
1095,34,2633,cellular,6,-1,unknown,yes
3729,30,3473,cellular,2,-1,unknown,yes
6614,50,0,cellular,4,-1,unknown,no
4289,26,3511,cellular,2,-1,unknown,yes
6882,47,191,cellular,5,-1,unknown,no
3530,42,4279,cellular,1,-1,unknown,no
5280,61,1058,cellular,2,91,success,yes
5192,53,527,cellular,3,-1,unknown,no
4844,43,0,cellular,3,-1,unknown,no
3890,61,3738,telephone,1,-1,unknown,no
7442,59,6888,telephone,2,-1,unknown,yes
5476,76,1492,telephone,1,-1,unknown,yes
2099,42,490,unknown,2,-1,unknown,no
7668,68,0,cellular,1,-1,unknown,yes
1272,48,-361,cellular,3,349,other,yes
6789,27,111,cellular,2,-1,unknown,yes
4829,42,1812,cellular,2,-1,unknown,no
7586,31,-302,unknown,5,-1,unknown,no
2845,46,1252,cellular,1,-1,unknown,no
4259,40,311,unknown,2,-1,unknown,no
6381,46,1600,cellular,1,-1,unknown,yes
6377,40,7968,cellular,1,-1,unknown,yes
7746,39,3494,cellular,1,92,failure,no
3917,42,4945,cellular,2,-1,unknown,yes
1443,57,2326,cellular,1,194,success,yes
6434,48,214,cellular,1,177,failure,yes
2592,59,296,cellular,3,-1,unknown,yes
3714,27,58,unknown,1,-1,unknown,no
7179,49,197,cellular,1,182,failure,yes
2920,59,1033,unknown,1,-1,unknown,yes
3226,34,124,telephone,4,366,other,yes
5509,42,0,cellular,4,-1,unknown,no
1300,33,349,cellular,1,-1,unknown,no
1329,43,0,cellular,2,-1,unknown,no
6816,31,747,unknown,2,-1,unknown,yes
5250,37,509,cellular,1,-1,unknown,no
2466,28,5916,cellular,1,63,failure,no
1400,38,0,cellular,1,-1,unknown,no
5277,55,7561,unknown,3,-1,unknown,yes
4601,34,179,cellular,1,-1,unknown,no
4748,57,84,unknown,1,-1,unknown,no
1545,36,10041,cellular,2,184,other,no
1709,40,1515,cellular,1,-1,unknown,yes
4252,30,1649,unknown,1,-1,unknown,no
6604,28,-127,cellular,3,-1,unknown,yes
3665,30,4457,cellular,4,-1,unknown,yes
858,56,442,unknown,3,-1,unknown,no
7299,32,0,cellular,2,-1,unknown,no
3276,64,630,cellular,1,-1,unknown,no
2224,27,91,telephone,6,95,other,no
5927,29,192,cellular,4,-1,unknown,no
5655,32,0,cellular,4,-1,unknown,no
2781,31,22867,unknown,2,-1,unknown,no
6361,37,1032,telephone,1,-1,unknown,no
6320,56,310,unknown,4,-1,unknown,no
3581,45,33,cellular,1,-1,unknown,no
6927,44,0,unknown,1,-1,unknown,no
1976,39,13578,cellular,2,-1,unknown,no
2357,33,1623,cellular,3,-1,unknown,yes
6090,46,273,cellular,2,-1,unknown,yes
6644,36,0,unknown,1,-1,unknown,no
2001,47,3676,cellular,1,95,success,yes
7763,37,0,cellular,6,-1,unknown,yes
6818,32,719,unknown,6,-1,unknown,no
3941,31,3,cellular,2,-1,unknown,no
7456,38,5774,cellular,4,359,other,yes
4577,46,0,cellular,6,-1,unknown,no
7192,37,0,unknown,4,-1,unknown,no
412,28,236,cellular,1,87,failure,yes
2075,59,316,cellular,4,-1,unknown,no
6093,45,318,cellular,2,-1,unknown,no
3962,49,134,unknown,2,-1,unknown,no
2332,40,1009,unknown,5,-1,unknown,yes
2641,63,2785,cellular,2,392,success,yes
571,55,357,cellular,1,103,failure,no
2507,33,616,cellular,3,-1,unknown,yes
6278,32,130,cellular,2,-1,unknown,no
4708,34,747,cellular,2,98,failure,no
5837,35,-276,cellular,1,-1,unknown,yes
3385,39,1914,cellular,4,-1,unknown,no
1631,27,843,cellular,2,185,success,no
4200,48,1513,cellular,1,-1,unknown,no
7211,47,1568,cellular,3,91,success,yes
1199,31,1343,unknown,1,-1,unknown,no
3634,52,385,cellular,4,-1,unknown,no
6926,26,535,cellular,1,-1,unknown,yes
4702,59,422,cellular,4,-1,unknown,yes
6119,50,237,telephone,1,-1,unknown,yes
2194,44,163,cellular,1,100,success,no
7551,55,101,cellular,1,-1,unknown,no
2840,28,1104,cellular,7,-1,unknown,no
4103,41,3872,cellular,1,-1,unknown,no
2279,40,-116,unknown,3,-1,unknown,no
2705,30,-250,unknown,6,-1,unknown,no
6624,52,7,cellular,5,-1,unknown,no
7275,33,263,cellular,4,94,failure,no
7158,56,450,unknown,1,-1,unknown,no
3778,72,0,cellular,2,-1,unknown,no
6649,56,-6,telephone,16,-1,unknown,no
6857,35,5958,cellular,1,-1,unknown,yes
2689,36,49,cellular,2,365,other,no
6025,28,67,cellular,3,199,other,yes
2112,28,922,cellular,1,-1,unknown,no
7454,57,0,unknown,2,-1,unknown,no
4793,59,3444,cellular,1,185,success,yes
2875,32,1855,cellular,2,134,other,yes
872,39,2103,cellular,1,-1,unknown,yes
3409,45,10,cellular,7,-1,unknown,no
5587,39,271,cellular,1,-1,unknown,yes
5412,36,521,cellular,3,-1,unknown,yes
960,33,1595,unknown,1,-1,unknown,no
6659,26,479,cellular,3,-1,unknown,no
2061,42,0,unknown,2,-1,unknown,no
1877,36,992,unknown,1,-1,unknown,no
4097,44,22,cellular,2,-1,unknown,no
3528,48,0,unknown,1,-1,unknown,no
160,30,6281,cellular,2,-1,unknown,yes
5726,29,18,cellular,3,-1,unknown,no
550,65,571,cellular,1,183,success,yes
2919,41,124,cellular,3,-1,unknown,no
325,39,3518,cellular,1,-1,unknown,no
7564,36,1177,cellular,1,311,success,yes
5659,32,205,cellular,3,-1,unknown,no
1081,41,8491,cellular,1,-1,unknown,yes
4114,39,167,cellular,1,-1,unknown,yes
6070,43,3003,cellular,3,-1,unknown,no
5591,43,629,cellular,1,-1,unknown,no
969,39,-1451,cellular,5,-1,unknown,no
1472,29,455,telephone,2,36,success,yes
3096,47,3663,cellular,2,213,success,yes
5679,44,-156,cellular,2,-1,unknown,yes
7196,44,887,cellular,1,14,failure,no
7742,32,1076,unknown,1,-1,unknown,no
4277,31,-277,telephone,2,-1,unknown,yes
7089,30,1289,unknown,2,-1,unknown,yes
5144,29,544,unknown,1,-1,unknown,no
2334,37,1689,unknown,2,-1,unknown,no
3103,34,1924,cellular,2,253,failure,no
1177,25,2022,cellular,8,97,other,yes
833,52,911,unknown,2,-1,unknown,no
3491,60,1542,unknown,1,-1,unknown,yes
2261,32,-383,unknown,1,-1,unknown,no
2690,35,43,cellular,1,-1,unknown,yes
1667,46,22,cellular,6,-1,unknown,yes
2563,37,1314,cellular,1,14,failure,no
644,26,223,cellular,3,-1,unknown,yes
2335,53,1388,cellular,4,-1,unknown,no
902,38,360,unknown,2,-1,unknown,no
534,32,1423,cellular,4,-1,unknown,yes
3427,55,0,cellular,2,-1,unknown,no
4863,27,302,cellular,1,-1,unknown,yes
6013,52,4358,telephone,7,-1,unknown,no
752,32,932,cellular,1,318,failure,yes
4405,32,760,cellular,1,148,other,no
1717,29,199,unknown,4,-1,unknown,yes
4267,31,1331,unknown,1,-1,unknown,yes
1203,35,257,cellular,1,-1,unknown,no
4164,41,1788,cellular,1,-1,unknown,no
4801,56,105,telephone,2,-1,unknown,no
1242,36,1354,cellular,3,97,success,yes
7370,34,273,cellular,1,175,failure,yes
6825,40,-666,unknown,2,-1,unknown,no
7007,49,-287,unknown,1,-1,unknown,no
6226,41,2498,cellular,1,-1,unknown,yes
2735,25,895,unknown,1,-1,unknown,no
953,30,129,unknown,7,-1,unknown,yes
7340,35,0,telephone,2,-1,unknown,no
5690,49,1807,cellular,1,82,success,no
666,41,804,unknown,8,-1,unknown,no
636,38,2678,cellular,2,187,success,yes
218,31,200,cellular,2,-1,unknown,no
6711,48,62,cellular,1,-1,unknown,no
4206,47,3663,cellular,3,-1,unknown,yes
2910,34,1972,cellular,2,-1,unknown,no
4447,39,636,telephone,1,-1,unknown,no
1130,33,3301,cellular,2,171,failure,no
453,38,2467,cellular,1,-1,unknown,yes
801,45,644,cellular,1,168,success,yes
5422,33,2411,cellular,1,161,failure,yes
6685,36,9713,unknown,3,-1,unknown,no
3593,32,1119,cellular,2,-1,unknown,no
640,55,462,cellular,2,-1,unknown,no
3830,38,162,cellular,4,-1,unknown,no
6483,33,2321,cellular,2,381,failure,no
3794,38,38,cellular,2,-1,unknown,no
94,33,4570,cellular,2,-1,unknown,yes
5596,42,386,unknown,1,-1,unknown,no
1948,54,2895,cellular,2,256,failure,no
3387,46,2817,cellular,1,-1,unknown,yes
1543,31,882,cellular,1,-1,unknown,yes
7108,39,297,cellular,2,-1,unknown,yes
6218,47,0,cellular,2,-1,unknown,no
3834,41,2413,unknown,3,-1,unknown,no
1683,35,0,cellular,1,345,other,yes
4596,78,1204,telephone,1,-1,unknown,yes
2792,58,0,cellular,1,-1,unknown,no
7375,53,0,cellular,2,-1,unknown,no
2011,62,0,cellular,3,182,failure,no
349,31,622,cellular,1,-1,unknown,yes
6023,42,578,telephone,1,-1,unknown,no
877,48,1405,unknown,2,-1,unknown,yes
5408,64,5112,telephone,7,137,other,yes
7775,29,127,cellular,1,-1,unknown,no
7614,25,10,cellular,4,-1,unknown,yes
6695,48,343,unknown,1,-1,unknown,no
7132,25,8,cellular,2,-1,unknown,yes
2366,35,3168,cellular,30,-1,unknown,no
2008,41,449,cellular,6,-1,unknown,no
1243,23,780,cellular,1,-1,unknown,yes
5551,31,0,cellular,16,-1,unknown,no
3513,30,7105,cellular,2,-1,unknown,yes
364,33,272,cellular,1,237,failure,yes
2289,50,2910,telephone,1,113,failure,no
2785,26,243,cellular,1,-1,unknown,yes
5188,35,84,cellular,1,-1,unknown,yes
5206,30,569,cellular,12,-1,unknown,yes
3265,47,568,telephone,2,-1,unknown,no
4892,37,549,cellular,1,-1,unknown,yes
6533,54,3994,cellular,2,187,success,yes
6343,35,286,cellular,2,-1,unknown,yes
3817,26,101,cellular,1,268,failure,yes
9,57,0,unknown,1,-1,unknown,no
1785,47,116,unknown,2,-1,unknown,no
6336,45,904,unknown,9,-1,unknown,no
6802,32,1918,cellular,1,172,failure,no
3831,35,975,cellular,1,-1,unknown,no
4092,52,992,cellular,1,92,success,yes
7072,34,425,cellular,7,-1,unknown,no
901,26,-379,cellular,7,-1,unknown,yes
5179,36,926,cellular,1,-1,unknown,yes
7023,49,198,unknown,3,-1,unknown,no
1180,41,849,cellular,4,-1,unknown,no
6479,41,2453,unknown,1,-1,unknown,yes
4173,53,2693,cellular,1,104,failure,yes
4135,36,145,cellular,1,252,other,no
4595,74,935,cellular,1,99,failure,yes
7660,34,13,cellular,3,-1,unknown,no
5239,35,399,cellular,2,345,failure,yes
3001,55,1504,cellular,3,101,success,yes
328,31,1812,cellular,1,-1,unknown,yes
5373,43,-410,cellular,1,-1,unknown,no
4942,60,0,telephone,2,181,failure,yes
2021,38,151,cellular,1,-1,unknown,no
4999,28,4465,cellular,1,-1,unknown,yes
4776,31,43,unknown,3,-1,unknown,no
5121,41,840,cellular,1,-1,unknown,yes
5580,43,1258,unknown,1,-1,unknown,yes
2848,37,194,unknown,7,-1,unknown,no
7241,31,24,cellular,2,-1,unknown,no
6917,44,2857,cellular,2,-1,unknown,no
4464,54,1636,telephone,2,-1,unknown,yes
7529,55,493,unknown,7,-1,unknown,no
6678,73,1050,cellular,3,181,failure,yes
7378,42,-805,cellular,6,-1,unknown,no
3961,50,0,cellular,3,130,other,no
7353,50,299,cellular,3,-1,unknown,no
5011,39,2854,unknown,1,-1,unknown,no
2473,46,21,cellular,2,-1,unknown,yes
5163,30,697,cellular,2,181,success,yes
2680,51,234,cellular,1,-1,unknown,yes
6675,45,205,cellular,1,92,success,yes
6765,33,322,cellular,3,-1,unknown,no
3056,37,3737,cellular,1,-1,unknown,yes
267,32,599,cellular,1,-1,unknown,no
1244,24,91,cellular,2,-1,unknown,no
4965,44,678,cellular,1,124,other,no
5283,67,2027,cellular,2,-1,unknown,yes
7803,31,54,cellular,1,-1,unknown,no
1685,27,1720,cellular,2,273,failure,yes
739,37,2442,cellular,3,-1,unknown,yes
6707,70,1853,telephone,1,-1,unknown,yes
3959,41,720,cellular,1,-1,unknown,yes
6807,59,259,cellular,1,89,success,yes
6084,47,3696,cellular,2,181,success,yes
6949,33,4176,cellular,3,-1,unknown,yes
5744,51,33,unknown,3,-1,unknown,yes
6160,24,1506,cellular,2,95,success,yes
3020,31,762,cellular,3,-1,unknown,no
474,46,2223,unknown,3,-1,unknown,no
4406,34,1279,cellular,2,160,other,yes
6785,45,803,cellular,4,-1,unknown,yes
2195,44,226,cellular,3,270,failure,yes
6601,23,565,cellular,7,-1,unknown,no
1823,76,820,telephone,4,-1,unknown,yes
7246,37,0,cellular,3,-1,unknown,no
7290,39,160,cellular,1,-1,unknown,no
3122,54,200,cellular,1,-1,unknown,yes
1970,60,514,cellular,1,124,other,yes
4399,42,1371,unknown,8,-1,unknown,no
1049,30,349,cellular,3,-1,unknown,no
6885,55,2693,cellular,1,184,success,yes
6845,38,1919,cellular,1,-1,unknown,yes
2012,33,0,cellular,3,-1,unknown,no
6630,28,4287,cellular,1,-1,unknown,no
6629,30,1235,cellular,3,-1,unknown,no
259,20,0,cellular,5,91,failure,no
5960,30,1942,cellular,2,178,other,yes
7719,56,405,cellular,2,-1,unknown,no
4580,28,-46,cellular,2,91,success,yes
7293,31,6374,unknown,2,-1,unknown,no
5652,39,267,unknown,5,-1,unknown,no
2362,63,896,cellular,3,91,other,no
3305,57,0,cellular,1,-1,unknown,no
3097,24,167,cellular,2,-1,unknown,yes
5289,30,536,cellular,1,-1,unknown,yes
3218,27,0,cellular,13,-1,unknown,yes
4308,41,1646,cellular,1,184,success,yes
7006,32,654,cellular,4,-1,unknown,yes
34,42,742,unknown,3,-1,unknown,no
1888,58,169,cellular,3,87,success,yes
6067,32,620,unknown,3,-1,unknown,yes
2039,26,620,cellular,1,94,success,yes
2937,58,2160,cellular,1,-1,unknown,yes
5287,25,486,cellular,3,199,failure,yes
6709,35,4564,cellular,6,-1,unknown,no
956,26,-119,cellular,5,-1,unknown,yes
6030,43,388,cellular,2,-1,unknown,no
3208,48,1600,cellular,1,-1,unknown,no
6539,34,149,cellular,2,-1,unknown,yes
4799,41,0,unknown,5,-1,unknown,no
4706,29,2326,cellular,1,-1,unknown,yes
3774,43,46,cellular,8,-1,unknown,no
4064,49,-232,cellular,2,-1,unknown,no
1723,26,96,cellular,1,345,failure,no
3970,43,877,cellular,1,-1,unknown,no
4036,31,1629,unknown,2,-1,unknown,no
3918,42,466,cellular,1,-1,unknown,no
1885,46,44,cellular,1,-1,unknown,yes
6415,31,10,cellular,3,188,failure,no
524,35,0,cellular,1,290,failure,no
4296,49,234,cellular,6,-1,unknown,no
6300,31,605,unknown,10,-1,unknown,no
3447,48,2892,cellular,1,385,success,yes
2245,50,133,cellular,4,-1,unknown,yes
750,25,469,cellular,1,187,success,no
2390,46,1074,cellular,2,-1,unknown,no
3384,31,181,cellular,1,104,success,yes
2536,31,1489,cellular,1,-1,unknown,no
6564,38,2543,cellular,1,414,failure,yes
5055,46,-3,unknown,2,-1,unknown,no
4347,77,1385,telephone,4,-1,unknown,no
6843,38,70,cellular,4,92,success,yes
5598,35,0,cellular,1,-1,unknown,yes
776,40,372,cellular,1,100,failure,no
5731,77,2223,telephone,2,187,success,no
417,36,1109,cellular,2,-1,unknown,no
4242,32,1426,cellular,1,-1,unknown,no
470,50,2050,cellular,3,-1,unknown,no
4257,71,3020,telephone,1,270,failure,yes
2184,71,2850,cellular,1,-1,unknown,yes
5592,43,4389,telephone,2,85,success,yes
7464,44,275,cellular,1,-1,unknown,yes
2977,45,226,telephone,2,212,failure,no
7201,40,737,unknown,1,-1,unknown,no
7689,29,1170,cellular,1,-1,unknown,yes
2131,35,1742,cellular,2,-1,unknown,no
1773,40,4025,cellular,4,-1,unknown,no
2461,31,8781,cellular,1,177,success,yes
7786,41,465,cellular,1,-1,unknown,yes
5848,31,205,unknown,2,-1,unknown,no
7011,40,158,telephone,2,-1,unknown,yes
1065,51,955,cellular,3,-1,unknown,yes
4438,44,945,cellular,1,-1,unknown,no
6056,51,201,cellular,2,-1,unknown,yes
5705,30,7529,cellular,1,-1,unknown,yes
271,49,4374,cellular,3,-1,unknown,no
1204,38,2946,cellular,3,-1,unknown,yes
3934,28,100,cellular,5,-1,unknown,no
1303,59,163,cellular,1,-1,unknown,no
7090,43,1096,unknown,1,-1,unknown,no
174,49,486,unknown,2,-1,unknown,no
6258,39,10685,cellular,9,-1,unknown,yes
5576,31,900,cellular,2,140,failure,no
6776,51,610,unknown,2,-1,unknown,no
3006,45,5110,cellular,2,-1,unknown,yes
3656,70,2064,cellular,1,-1,unknown,no
7539,33,146,cellular,1,91,success,yes
2771,24,272,cellular,2,94,success,yes
7193,33,210,cellular,2,-1,unknown,yes
6423,29,1579,cellular,1,181,success,yes
3196,34,15,cellular,1,-1,unknown,yes
2668,32,225,cellular,1,150,failure,yes
6307,29,514,cellular,1,-1,unknown,no
466,54,473,cellular,1,81,failure,yes
4937,33,71,cellular,1,287,failure,no
4330,52,5091,cellular,1,-1,unknown,no
6667,46,1527,cellular,3,184,success,yes
23,35,0,cellular,2,96,success,yes
3670,40,413,unknown,1,-1,unknown,no
7795,34,79,cellular,1,-1,unknown,no
372,29,613,unknown,1,-1,unknown,no
7221,29,572,telephone,1,-1,unknown,yes
3693,37,1533,cellular,4,-1,unknown,yes
5478,39,1104,cellular,2,-1,unknown,yes
3842,46,0,cellular,1,-1,unknown,no
446,75,1341,cellular,7,-1,unknown,yes
4167,26,-122,unknown,3,-1,unknown,yes
5122,58,247,unknown,6,-1,unknown,no
4633,26,712,unknown,1,-1,unknown,no
3592,29,-498,cellular,3,227,failure,no
5461,52,256,cellular,1,-1,unknown,no
5604,45,3006,cellular,2,-1,unknown,yes
4680,46,122,cellular,2,1,failure,no
270,49,280,telephone,3,-1,unknown,no
1905,34,146,cellular,2,-1,unknown,yes
4269,51,2404,telephone,1,-1,unknown,no
6556,33,170,cellular,1,-1,unknown,yes
2114,41,1250,unknown,2,-1,unknown,yes
6466,61,938,cellular,2,183,success,yes
6803,48,1744,unknown,1,-1,unknown,no
3350,32,555,cellular,1,-1,unknown,yes
808,35,633,cellular,3,5,other,no
5087,41,501,unknown,5,-1,unknown,yes
710,61,1853,telephone,1,181,success,yes
5470,59,20,cellular,1,-1,unknown,no
2003,41,1631,cellular,2,-1,unknown,no
984,35,120,unknown,2,-1,unknown,no
17,30,0,cellular,1,-1,unknown,no
1784,47,1981,cellular,2,-1,unknown,yes
4913,40,9366,cellular,3,-1,unknown,yes
1546,45,1,cellular,2,-1,unknown,yes
4756,63,474,cellular,1,-1,unknown,yes
1492,57,-752,unknown,1,-1,unknown,no
4957,51,1495,telephone,4,-1,unknown,yes
3164,38,947,cellular,2,-1,unknown,no
2558,44,608,unknown,30,-1,unknown,no
6385,24,1857,cellular,1,92,other,yes
6593,39,25,cellular,1,351,failure,yes
4531,46,2044,telephone,1,-1,unknown,no
4239,40,355,cellular,2,138,other,no
3043,35,415,cellular,2,89,success,yes
2467,47,1013,cellular,1,92,failure,yes
2442,59,148,cellular,2,366,other,yes
1500,34,123,cellular,3,-1,unknown,yes
1360,38,0,unknown,5,-1,unknown,no
4860,44,0,unknown,3,-1,unknown,no
