,age,job,balance,contact,month,campaign,pdays,poutcome,education,day,duration,previous,deposit
644,37,management,49,cellular,aug,1,-1,unknown,tertiary,22,132,0,0
4925,30,technician,569,cellular,aug,12,-1,unknown,tertiary,27,976,0,1
1757,51,management,1610,unknown,jun,3,-1,unknown,secondary,16,1248,0,1
3568,34,services,89,cellular,may,4,-1,unknown,secondary,15,1871,0,1
3695,32,services,6983,cellular,aug,1,-1,unknown,secondary,7,255,0,1
5378,39,management,1423,telephone,jul,3,-1,unknown,tertiary,21,733,0,1
7254,40,blue-collar,-509,unknown,may,1,-1,unknown,primary,23,298,0,0
960,45,blue-collar,101,unknown,may,5,-1,unknown,primary,12,460,0,1
6118,57,unemployed,3754,cellular,feb,2,-1,unknown,secondary,5,1063,0,1
3543,37,blue-collar,197,unknown,may,3,-1,unknown,secondary,16,251,0,0
4994,61,retired,1058,cellular,jul,2,91,success,secondary,27,218,3,1
7016,33,management,8514,cellular,aug,1,-1,unknown,tertiary,20,131,0,0
6893,36,technician,119,cellular,jul,8,-1,unknown,tertiary,23,127,0,0
2987,45,blue-collar,603,cellular,may,1,-1,unknown,secondary,22,204,0,0
2034,70,retired,44,cellular,sep,2,88,other,tertiary,18,1104,2,1
3701,50,blue-collar,4979,telephone,apr,1,-1,unknown,primary,6,180,0,1
6329,42,management,580,cellular,aug,2,-1,unknown,secondary,22,67,0,0
4775,49,entrepreneur,384,unknown,jun,1,-1,unknown,tertiary,11,64,0,0
5636,30,management,12857,cellular,nov,1,-1,unknown,tertiary,6,150,0,1
6250,47,technician,4568,unknown,jun,1,-1,unknown,tertiary,9,100,0,0
6704,46,management,0,cellular,may,1,-1,unknown,tertiary,26,401,0,0
5761,71,retired,5584,cellular,aug,3,-1,unknown,secondary,21,534,0,1
7382,39,unemployed,1654,unknown,jun,6,-1,unknown,secondary,20,264,0,0
5935,31,admin.,3540,cellular,nov,1,-1,unknown,secondary,21,441,0,0
1630,34,management,0,cellular,aug,1,99,success,tertiary,7,262,2,1
3219,40,management,171,cellular,aug,3,-1,unknown,tertiary,19,1241,0,0
5289,46,unemployed,594,cellular,feb,2,-1,unknown,secondary,4,197,0,0
5145,52,blue-collar,408,cellular,jan,2,-1,unknown,secondary,29,338,0,0
4292,67,retired,1430,telephone,may,2,135,success,primary,26,283,5,1
2229,74,retired,9480,cellular,apr,1,-1,unknown,secondary,21,211,0,1
2753,36,management,649,cellular,jul,2,91,failure,tertiary,16,237,1,0
5979,29,blue-collar,0,cellular,jul,1,-1,unknown,secondary,10,45,0,0
5421,29,technician,18,cellular,feb,3,-1,unknown,secondary,3,206,0,0
3531,27,admin.,261,cellular,jun,4,-1,unknown,secondary,3,592,0,1
4804,36,management,871,cellular,nov,1,-1,unknown,tertiary,18,170,0,0
6160,40,technician,11766,cellular,apr,2,242,failure,tertiary,13,218,9,1
3110,50,management,1277,cellular,may,1,-1,unknown,unknown,4,63,0,0
5958,31,services,371,cellular,apr,1,-1,unknown,secondary,17,654,0,0
7367,56,management,3885,cellular,jul,1,-1,unknown,tertiary,10,51,0,0
4078,41,technician,1646,cellular,feb,1,184,success,tertiary,4,261,6,1
913,33,services,1595,unknown,may,1,-1,unknown,tertiary,26,296,0,0
686,55,retired,6690,cellular,apr,1,-1,unknown,secondary,30,534,0,0
1653,29,technician,309,unknown,may,1,-1,unknown,secondary,13,214,0,0
6790,24,student,358,cellular,jun,1,384,other,unknown,14,245,1,1
3691,40,technician,3652,unknown,may,2,-1,unknown,unknown,14,1028,0,1
341,39,management,0,cellular,aug,2,-1,unknown,tertiary,29,94,0,0
5443,48,management,1949,unknown,may,2,-1,unknown,tertiary,13,683,0,1
2015,36,technician,664,cellular,aug,3,-1,unknown,secondary,22,309,0,0
5917,26,blue-collar,2007,cellular,oct,1,92,success,secondary,13,194,5,1
149,40,technician,8379,unknown,jun,6,-1,unknown,secondary,12,52,0,0
1552,31,management,30,cellular,aug,2,-1,unknown,tertiary,8,161,0,0
6994,36,technician,15485,cellular,apr,1,-1,unknown,secondary,14,461,0,1
416,32,technician,660,cellular,oct,2,490,failure,secondary,25,226,1,1
368,30,self-employed,1785,unknown,oct,1,-1,unknown,tertiary,17,235,0,1
4745,52,services,130,unknown,may,2,-1,unknown,primary,29,103,0,0
94,36,management,93,cellular,jul,2,182,failure,tertiary,12,262,7,1
1308,31,management,924,cellular,sep,1,94,success,tertiary,7,231,3,1
649,39,management,2763,unknown,jun,2,-1,unknown,tertiary,2,526,0,1
4651,27,blue-collar,294,unknown,may,2,-1,unknown,secondary,28,694,0,1
6227,42,blue-collar,1556,cellular,jul,1,-1,unknown,primary,8,113,0,0
6033,40,blue-collar,-438,cellular,may,1,-1,unknown,secondary,11,1017,0,1
6319,37,blue-collar,0,unknown,may,1,-1,unknown,primary,26,24,0,0
4193,52,services,1625,cellular,aug,2,-1,unknown,primary,8,459,0,1
5042,60,technician,316,cellular,may,2,263,failure,secondary,4,545,4,1
3417,55,services,2923,unknown,may,2,-1,unknown,primary,15,104,0,0
7,36,technician,911,cellular,may,2,21,failure,tertiary,25,117,3,1
903,30,technician,635,cellular,aug,8,-1,unknown,tertiary,13,851,0,1
2762,38,technician,11,unknown,jun,3,-1,unknown,tertiary,18,78,0,0
2800,40,self-employed,1516,unknown,may,1,-1,unknown,secondary,23,373,0,0
1577,27,admin.,454,cellular,jul,2,-1,unknown,secondary,15,331,0,0
7046,79,retired,723,telephone,sep,1,79,failure,secondary,9,276,3,1
6645,48,management,0,cellular,may,1,344,other,unknown,8,612,1,0
3589,32,technician,3297,cellular,aug,2,-1,unknown,secondary,11,99,0,0
2584,43,technician,4389,cellular,apr,1,-1,unknown,unknown,8,618,0,1
1923,53,technician,480,unknown,jun,2,-1,unknown,secondary,6,648,0,1
1102,31,admin.,1130,cellular,jul,5,-1,unknown,secondary,23,236,0,0
5070,58,admin.,169,cellular,aug,1,92,success,secondary,13,880,8,1
2201,41,blue-collar,140,cellular,jan,2,-1,unknown,secondary,29,636,0,0
830,39,student,2103,cellular,feb,1,-1,unknown,tertiary,2,588,0,1
5827,36,housemaid,561,unknown,jun,2,-1,unknown,tertiary,6,274,0,0
6982,51,management,1937,cellular,nov,4,152,other,tertiary,18,185,11,0
732,31,management,0,cellular,aug,4,-1,unknown,tertiary,19,155,0,0
7306,32,technician,901,unknown,may,3,-1,unknown,secondary,21,102,0,0
2196,30,technician,3028,cellular,aug,5,-1,unknown,secondary,28,65,0,0
2678,43,technician,4056,cellular,may,6,89,failure,secondary,4,13,2,0
80,57,retired,427,cellular,jan,1,-1,unknown,secondary,29,246,0,0
1660,33,admin.,315,cellular,may,3,-1,unknown,secondary,14,888,0,1
1922,31,unemployed,6,cellular,jun,4,-1,unknown,secondary,4,121,0,1
7184,34,services,-538,unknown,may,1,-1,unknown,secondary,26,682,0,1
7351,60,admin.,473,cellular,feb,2,8,other,secondary,5,175,1,0
617,52,admin.,0,cellular,aug,4,-1,unknown,unknown,26,168,0,0
843,36,management,81,cellular,jul,1,-1,unknown,tertiary,22,560,0,1
5120,67,retired,704,cellular,nov,1,-1,unknown,secondary,3,537,0,1
27,49,technician,1684,cellular,jun,2,-1,unknown,secondary,1,412,0,1
5074,22,admin.,-1,unknown,may,1,-1,unknown,secondary,9,136,0,0
3970,39,housemaid,109,unknown,may,3,-1,unknown,primary,6,699,0,0
6967,29,technician,767,cellular,feb,1,-1,unknown,secondary,5,253,0,0
5978,33,management,0,cellular,aug,4,-1,unknown,tertiary,27,191,0,0
274,59,management,59,unknown,may,1,-1,unknown,tertiary,5,273,0,0
1116,39,technician,1587,cellular,jun,3,-1,unknown,secondary,2,171,0,1
2508,63,management,2785,cellular,aug,2,392,success,tertiary,2,341,3,1
5352,31,self-employed,322,unknown,may,1,-1,unknown,tertiary,8,159,0,0
4323,39,management,763,cellular,may,7,300,other,tertiary,11,877,2,1
6191,67,retired,2048,cellular,sep,5,195,other,secondary,16,452,4,1
1335,36,technician,4136,unknown,may,3,-1,unknown,secondary,30,812,0,1
2796,54,admin.,1872,cellular,feb,5,-1,unknown,secondary,13,439,0,1
6089,32,management,2016,cellular,apr,1,348,success,tertiary,13,232,1,1
600,46,technician,3308,cellular,oct,1,91,success,unknown,27,171,2,1
1485,28,student,3054,cellular,apr,1,80,other,tertiary,30,384,6,1
2570,30,management,-250,unknown,jun,6,-1,unknown,tertiary,20,11,0,0
5573,53,unemployed,4,cellular,jul,3,-1,unknown,secondary,30,259,0,0
2675,25,technician,839,cellular,may,3,-1,unknown,tertiary,18,700,0,1
606,38,services,2678,cellular,sep,2,187,success,secondary,28,282,1,1
5506,30,self-employed,655,cellular,sep,4,184,success,tertiary,23,272,1,1
1056,38,technician,25,cellular,jun,2,-1,unknown,tertiary,1,232,0,1
4060,26,unemployed,3511,cellular,apr,2,-1,unknown,tertiary,30,439,0,1
3375,31,management,518,cellular,may,1,-1,unknown,tertiary,18,399,0,0
1801,32,blue-collar,2093,cellular,sep,2,444,failure,secondary,24,224,1,1
6758,59,admin.,2343,unknown,may,1,-1,unknown,secondary,5,1042,0,1
7087,30,services,1336,cellular,may,3,355,failure,secondary,18,13,5,0
3910,27,student,2614,cellular,apr,2,-1,unknown,secondary,8,143,0,1
5238,33,self-employed,94,cellular,may,2,-1,unknown,tertiary,5,955,0,1
3239,53,housemaid,292,unknown,jun,2,-1,unknown,secondary,12,92,0,0
921,33,technician,719,cellular,apr,2,316,failure,secondary,9,448,6,1
7284,32,management,1271,unknown,may,1,-1,unknown,tertiary,20,51,0,0
5851,44,technician,982,unknown,may,3,-1,unknown,secondary,20,650,0,1
4287,46,management,2044,telephone,feb,1,-1,unknown,tertiary,4,25,0,0
2596,36,admin.,0,cellular,may,1,-1,unknown,secondary,11,94,0,0
3215,34,blue-collar,-1,cellular,may,6,355,other,primary,18,1057,1,1
5784,54,blue-collar,548,cellular,aug,7,-1,unknown,secondary,18,520,0,1
1668,31,self-employed,168,cellular,feb,2,-1,unknown,tertiary,4,193,0,1
6469,54,admin.,0,cellular,feb,1,182,success,secondary,4,330,3,0
6810,41,blue-collar,3851,cellular,nov,1,-1,unknown,secondary,19,130,0,0
4007,34,blue-collar,2308,unknown,may,1,-1,unknown,secondary,7,1062,0,0
7053,43,technician,1017,unknown,may,2,-1,unknown,tertiary,19,257,0,0
2333,49,blue-collar,0,cellular,jul,2,-1,unknown,primary,29,468,0,0
7186,28,student,2351,telephone,oct,1,-1,unknown,secondary,22,157,0,1
2892,53,technician,6,unknown,may,1,-1,unknown,secondary,5,517,0,0
1275,38,entrepreneur,259,cellular,nov,1,-1,unknown,unknown,18,63,0,0
5731,26,management,222,cellular,oct,1,120,success,tertiary,26,318,3,1
7096,41,management,456,cellular,aug,4,-1,unknown,secondary,11,734,0,1
5360,37,technician,197,cellular,feb,1,91,success,tertiary,15,531,2,1
7180,60,blue-collar,414,cellular,feb,1,-1,unknown,secondary,4,147,0,0
1898,41,management,0,cellular,aug,5,-1,unknown,tertiary,11,1242,0,1
904,34,management,11,cellular,jul,1,-1,unknown,tertiary,17,654,0,0
6145,62,retired,2557,cellular,sep,1,216,success,tertiary,14,211,7,1
4884,32,housemaid,-184,cellular,feb,2,197,failure,primary,6,129,1,0
5676,39,management,378,unknown,may,2,-1,unknown,tertiary,5,127,0,0
5775,29,blue-collar,940,cellular,may,1,-1,unknown,secondary,15,382,0,1
6512,37,management,6771,cellular,mar,1,-1,unknown,tertiary,5,319,0,1
6117,27,admin.,5,cellular,jul,2,-1,unknown,unknown,17,225,0,0
873,43,technician,0,cellular,may,2,172,failure,secondary,8,9,5,0
4577,27,technician,0,cellular,jul,1,-1,unknown,secondary,8,732,0,1
648,29,admin.,0,unknown,may,1,-1,unknown,secondary,9,121,0,0
6588,35,technician,-89,cellular,may,1,368,failure,secondary,15,75,1,0
4152,82,retired,8603,cellular,oct,3,107,success,primary,22,306,1,1
6981,27,blue-collar,0,cellular,jul,6,-1,unknown,secondary,17,444,0,0
964,37,unemployed,1978,cellular,mar,1,-1,unknown,secondary,11,335,0,1
7085,28,technician,2000,telephone,feb,2,-1,unknown,secondary,3,226,0,0
6986,56,retired,13094,cellular,may,1,-1,unknown,tertiary,25,1064,0,1
2637,41,technician,-15,cellular,may,1,-1,unknown,tertiary,6,33,0,0
6057,30,admin.,-170,unknown,may,1,-1,unknown,secondary,26,130,0,0
5632,58,retired,1411,cellular,may,2,-1,unknown,tertiary,13,425,0,0
163,43,blue-collar,625,unknown,sep,1,-1,unknown,secondary,30,175,0,0
2876,37,unemployed,1085,cellular,aug,4,-1,unknown,tertiary,25,146,0,0
2465,29,technician,2269,cellular,apr,1,346,failure,tertiary,20,53,1,0
6326,24,admin.,166,cellular,sep,2,-1,unknown,secondary,10,256,0,1
3461,29,blue-collar,348,unknown,may,2,-1,unknown,secondary,9,185,0,0
4298,31,admin.,162,unknown,may,1,-1,unknown,secondary,28,247,0,0
2099,38,student,64,cellular,aug,1,-1,unknown,unknown,6,789,0,0
3317,50,management,405,cellular,apr,6,-1,unknown,tertiary,2,82,0,0
6384,40,housemaid,795,unknown,may,3,-1,unknown,tertiary,29,725,0,0
2628,46,technician,841,unknown,may,1,-1,unknown,tertiary,6,158,0,0
1854,34,management,39,cellular,aug,1,-1,unknown,tertiary,13,160,0,0
4098,34,management,0,cellular,apr,1,-1,unknown,tertiary,22,176,0,0
258,22,management,104,cellular,apr,3,-1,unknown,tertiary,16,330,0,1
2677,42,blue-collar,1297,cellular,apr,2,-1,unknown,secondary,3,697,0,0
1406,49,blue-collar,298,cellular,apr,2,86,failure,secondary,30,264,3,0
6614,26,admin.,3730,cellular,mar,1,98,other,tertiary,11,93,4,0
3497,31,technician,180,cellular,may,1,70,success,secondary,26,222,2,0
3275,40,technician,284,cellular,apr,2,-1,unknown,primary,20,1332,0,1
6377,34,entrepreneur,714,unknown,may,4,-1,unknown,tertiary,12,166,0,0
4616,62,retired,298,cellular,nov,2,-1,unknown,secondary,17,709,0,1
2929,38,admin.,0,cellular,sep,1,92,success,secondary,8,210,3,1
1663,31,blue-collar,-454,unknown,may,2,-1,unknown,primary,28,861,0,0
4547,32,technician,616,cellular,aug,7,-1,unknown,secondary,27,118,0,0
3990,34,admin.,601,cellular,nov,3,-1,unknown,secondary,17,184,0,0
6234,28,technician,0,cellular,may,1,40,failure,tertiary,25,269,2,1
3232,35,technician,2201,telephone,apr,1,-1,unknown,secondary,12,350,0,1
7391,55,admin.,602,cellular,jun,3,90,success,secondary,1,324,2,1
3207,23,housemaid,93,cellular,may,3,-1,unknown,primary,18,70,0,0
3178,49,blue-collar,23,cellular,nov,2,-1,unknown,secondary,17,221,0,0
3101,40,retired,1400,unknown,jun,7,-1,unknown,secondary,20,20,0,0
1616,31,self-employed,17924,cellular,nov,3,-1,unknown,tertiary,21,608,0,0
2562,22,student,423,cellular,jul,1,179,success,primary,16,316,10,1
6937,28,blue-collar,115,unknown,may,4,-1,unknown,primary,28,78,0,0
4969,54,technician,-315,cellular,jul,1,-1,unknown,secondary,10,2029,0,1
586,49,blue-collar,-157,cellular,jul,3,-1,unknown,primary,7,491,0,1
2581,57,management,8897,cellular,aug,2,-1,unknown,tertiary,12,865,0,1
1556,49,technician,2400,cellular,oct,3,-1,unknown,secondary,21,262,0,0
7101,35,management,-292,cellular,may,2,272,failure,tertiary,18,166,6,0
6690,38,entrepreneur,1110,cellular,nov,2,183,failure,tertiary,20,888,2,1
5149,44,management,1954,cellular,jun,1,-1,unknown,tertiary,2,294,0,1
7090,30,blue-collar,7773,cellular,nov,1,-1,unknown,secondary,20,705,0,1
3485,35,services,52,cellular,mar,4,-1,unknown,secondary,2,378,0,1
7003,36,blue-collar,2103,unknown,jun,1,-1,unknown,secondary,26,71,0,0
437,34,services,528,cellular,sep,3,100,other,secondary,2,121,5,1
5150,29,blue-collar,3310,cellular,sep,1,91,failure,secondary,1,367,4,0
2954,30,services,117,cellular,jan,1,-1,unknown,secondary,28,135,0,0
540,44,blue-collar,1697,unknown,jul,2,-1,unknown,secondary,4,150,0,1
6498,44,management,5773,unknown,may,6,-1,unknown,tertiary,23,597,0,1
2150,53,management,380,cellular,jun,2,-1,unknown,tertiary,5,438,0,1
6479,31,services,1783,cellular,may,1,-1,unknown,secondary,6,219,0,0
3037,36,management,579,unknown,apr,1,-1,unknown,tertiary,12,481,0,1
7397,41,technician,102,unknown,may,9,-1,unknown,secondary,14,387,0,0
1202,32,services,201,unknown,jun,2,-1,unknown,secondary,18,110,0,0
2960,33,management,20,cellular,aug,2,-1,unknown,tertiary,21,329,0,0
2673,27,blue-collar,-27,unknown,jun,2,-1,unknown,secondary,23,498,0,1
585,37,management,4721,telephone,jan,1,-1,unknown,primary,28,46,0,0
4735,52,retired,353,cellular,jul,4,-1,unknown,primary,31,395,0,0
6167,34,blue-collar,455,unknown,jun,3,-1,unknown,primary,20,372,0,0
669,48,blue-collar,623,cellular,feb,2,-1,unknown,primary,2,1425,0,1
3560,72,retired,2600,cellular,feb,2,82,success,primary,3,443,3,1
869,62,blue-collar,180,cellular,apr,2,-1,unknown,secondary,15,389,0,1
4988,51,entrepreneur,606,unknown,may,9,-1,unknown,unknown,28,560,0,1
1559,52,housemaid,3283,unknown,jun,1,-1,unknown,primary,11,553,0,0
6693,36,blue-collar,222,unknown,may,1,-1,unknown,secondary,23,188,0,0
1523,30,management,46,cellular,aug,3,-1,unknown,tertiary,13,382,0,0
4570,45,admin.,1506,cellular,jul,4,-1,unknown,tertiary,28,365,0,1
1641,38,self-employed,1612,cellular,may,1,-1,unknown,tertiary,8,423,0,1
5652,63,admin.,0,cellular,aug,5,-1,unknown,secondary,31,253,0,1
6637,45,management,226,cellular,aug,6,179,success,tertiary,13,177,10,1
1498,32,management,131,unknown,jun,3,-1,unknown,tertiary,3,267,0,0
3832,68,retired,695,cellular,apr,1,-1,unknown,primary,9,233,0,1
2644,33,services,881,unknown,may,5,-1,unknown,secondary,21,67,0,0
6672,46,management,385,unknown,may,4,-1,unknown,tertiary,29,52,0,0
5255,29,unemployed,1374,cellular,may,2,178,success,primary,14,1205,7,1
6646,27,services,1501,cellular,jul,1,-1,unknown,tertiary,24,187,0,0
5122,36,technician,521,cellular,oct,3,-1,unknown,tertiary,20,347,0,1
6328,34,blue-collar,3527,cellular,nov,1,-1,unknown,primary,21,1022,0,1
890,48,management,1167,cellular,jun,1,-1,unknown,tertiary,1,264,0,1
3711,50,self-employed,10052,cellular,aug,2,-1,unknown,secondary,13,665,0,1
2305,48,management,268,cellular,jul,7,-1,unknown,secondary,28,458,0,1
5671,32,self-employed,3271,cellular,may,3,-1,unknown,tertiary,4,949,0,1
7274,47,retired,-71,cellular,aug,5,-1,unknown,secondary,11,293,0,0
7299,48,management,1106,cellular,jul,1,-1,unknown,secondary,8,265,0,0
5658,53,admin.,109,telephone,jun,1,-1,unknown,secondary,2,270,0,1
3459,38,services,322,unknown,may,1,-1,unknown,secondary,26,61,0,0
3304,59,management,893,cellular,apr,4,-1,unknown,tertiary,16,206,0,0
3690,62,retired,1515,cellular,oct,1,187,failure,primary,19,131,2,0
414,23,services,870,cellular,jul,4,-1,unknown,secondary,6,316,0,1
2126,59,management,1727,telephone,may,4,358,failure,primary,25,500,2,1
1447,57,retired,5313,cellular,dec,2,196,success,secondary,16,283,1,1
705,37,entrepreneur,66,cellular,nov,2,-1,unknown,tertiary,18,1164,0,1
2904,52,technician,436,unknown,mar,1,-1,unknown,secondary,22,95,0,1
1401,34,technician,179,cellular,aug,3,-1,unknown,secondary,19,294,0,0
6506,51,blue-collar,568,unknown,jun,1,-1,unknown,secondary,4,37,0,0
122,47,admin.,1358,cellular,may,4,-1,unknown,secondary,14,80,0,0
7124,59,retired,417,cellular,may,2,-1,unknown,secondary,7,476,0,0
5057,25,blue-collar,303,cellular,mar,1,-1,unknown,secondary,18,265,0,1
7229,36,management,3343,cellular,nov,1,-1,unknown,tertiary,18,307,0,0
117,57,entrepreneur,1153,unknown,jun,6,-1,unknown,primary,9,238,0,0
4519,51,services,122,cellular,aug,2,-1,unknown,secondary,6,499,0,0
6992,37,admin.,10465,unknown,jun,6,-1,unknown,secondary,17,144,0,0
3907,32,admin.,212,cellular,jul,5,-1,unknown,secondary,7,830,0,1
3307,50,blue-collar,1743,unknown,jun,5,-1,unknown,primary,6,49,0,0
7294,56,services,1150,cellular,nov,1,117,failure,secondary,17,107,3,0
314,31,management,1812,cellular,apr,1,-1,unknown,tertiary,30,461,0,1
4835,41,admin.,1,telephone,may,2,361,failure,tertiary,18,327,3,1
270,32,blue-collar,1504,cellular,apr,2,-1,unknown,primary,17,131,0,0
6732,58,retired,19,cellular,jul,3,-1,unknown,secondary,15,106,0,0
5915,50,management,400,cellular,aug,2,-1,unknown,tertiary,13,343,0,0
2118,49,self-employed,-341,cellular,nov,2,-1,unknown,tertiary,18,920,0,0
5228,33,management,1304,cellular,may,2,-1,unknown,tertiary,18,536,0,1
965,47,management,1128,cellular,jan,2,-1,unknown,unknown,28,65,0,0
7361,60,retired,600,cellular,aug,6,-1,unknown,primary,19,99,0,0
592,44,management,558,cellular,feb,5,-1,unknown,primary,19,268,0,1
1649,36,technician,911,cellular,may,3,-1,unknown,tertiary,4,275,0,0
2690,42,management,283,cellular,jul,1,-1,unknown,secondary,23,761,0,1
1729,21,student,123,telephone,feb,5,93,success,secondary,12,379,2,1
1958,31,technician,2807,unknown,nov,1,-1,unknown,tertiary,8,154,0,1
2065,34,blue-collar,550,cellular,apr,3,346,failure,secondary,20,90,1,0
2746,32,blue-collar,15341,unknown,may,3,-1,unknown,secondary,21,738,0,0
3296,30,technician,411,cellular,apr,1,-1,unknown,secondary,16,948,0,0
4654,53,services,6170,cellular,aug,4,-1,unknown,secondary,13,838,0,1
953,40,technician,1646,cellular,feb,1,242,failure,tertiary,2,215,2,1
6616,62,retired,3,cellular,aug,1,-1,unknown,secondary,4,151,0,0
2435,41,self-employed,1081,cellular,may,3,-1,unknown,tertiary,27,229,0,1
2411,50,admin.,3608,cellular,may,8,182,success,secondary,14,196,4,1
7038,47,blue-collar,-58,cellular,jul,2,-1,unknown,primary,18,92,0,0
758,45,self-employed,396,cellular,aug,1,-1,unknown,secondary,28,238,0,0
839,28,blue-collar,913,unknown,may,2,-1,unknown,unknown,27,580,0,0
3428,46,services,-522,cellular,jul,2,-1,unknown,secondary,31,61,0,0
5515,38,technician,3234,cellular,nov,2,-1,unknown,tertiary,18,578,0,1
189,32,technician,1710,cellular,may,1,175,other,tertiary,15,439,3,0
1015,40,admin.,732,cellular,sep,1,139,success,secondary,9,71,4,0
6572,32,management,937,cellular,aug,1,94,failure,tertiary,28,90,2,0
1503,49,technician,229,cellular,aug,2,-1,unknown,secondary,8,219,0,0
4764,30,management,1675,cellular,sep,1,-1,unknown,tertiary,4,181,0,0
3062,34,admin.,124,telephone,may,4,366,other,secondary,14,604,2,1
6453,25,technician,800,unknown,may,4,-1,unknown,tertiary,13,151,0,0
486,30,admin.,983,cellular,may,2,-1,unknown,secondary,27,189,0,1
1885,42,blue-collar,149,telephone,jul,3,-1,unknown,unknown,23,329,0,0
2925,39,technician,1524,cellular,apr,1,-1,unknown,tertiary,20,567,0,1
5135,51,entrepreneur,538,cellular,nov,4,-1,unknown,primary,18,1122,0,1
3116,30,services,48,cellular,jul,13,-1,unknown,secondary,31,662,0,1
5288,46,technician,117,cellular,aug,2,-1,unknown,secondary,29,94,0,0
1139,76,retired,2991,cellular,oct,1,183,success,tertiary,22,344,1,1
5158,31,management,533,cellular,feb,1,91,success,tertiary,11,144,9,1
666,43,admin.,616,unknown,may,2,-1,unknown,secondary,9,168,0,0
6306,26,self-employed,479,cellular,feb,3,-1,unknown,tertiary,9,133,0,0
7210,31,management,12857,cellular,feb,1,92,success,tertiary,6,158,1,1
5155,34,management,3050,cellular,may,1,-1,unknown,tertiary,13,469,0,1
7132,46,management,244,unknown,may,1,-1,unknown,secondary,15,244,0,0
1808,30,admin.,370,unknown,may,1,-1,unknown,secondary,15,160,0,0
4171,55,admin.,8304,cellular,jun,1,-1,unknown,secondary,1,201,0,1
4868,30,blue-collar,315,cellular,jun,1,-1,unknown,secondary,23,1407,0,1
4319,35,housemaid,113,cellular,jul,2,-1,unknown,primary,17,923,0,1
6737,50,services,1595,unknown,jun,1,-1,unknown,secondary,9,882,0,1
5043,39,blue-collar,581,cellular,feb,1,270,other,primary,27,233,1,1
3128,43,management,2640,cellular,nov,4,-1,unknown,tertiary,21,314,0,1
5693,52,management,4358,telephone,jul,7,-1,unknown,tertiary,31,30,0,0
7366,32,blue-collar,1879,cellular,feb,8,-1,unknown,secondary,6,591,0,1
398,26,management,-8,cellular,aug,2,-1,unknown,tertiary,13,402,0,0
3726,32,housemaid,-613,cellular,apr,2,-1,unknown,secondary,15,266,0,0
2724,26,student,39,cellular,may,3,-1,unknown,tertiary,26,396,0,1
2843,33,management,990,cellular,jul,2,-1,unknown,tertiary,24,1491,0,1
6074,36,management,-115,cellular,apr,4,182,other,tertiary,16,297,2,1
866,49,blue-collar,-98,cellular,nov,2,-1,unknown,primary,20,182,0,0
2433,34,technician,8,cellular,may,2,-1,unknown,secondary,6,569,0,0
2896,26,management,2786,cellular,mar,1,-1,unknown,tertiary,23,415,0,1
6579,28,services,340,cellular,jul,2,-1,unknown,secondary,24,821,0,1
2908,58,self-employed,2596,telephone,nov,2,-1,unknown,tertiary,18,15,0,0
3411,64,management,4688,cellular,oct,1,-1,unknown,tertiary,21,200,0,1
