,job,balance,housing,loan,contact,month,campaign,poutcome,deposit
2008,management,786,no,no,cellular,sep,3,unknown,yes
6207,technician,514,yes,yes,cellular,may,1,failure,no
1605,admin.,-372,yes,no,unknown,may,1,unknown,no
4573,blue-collar,1230,yes,no,telephone,nov,1,unknown,yes
4717,technician,1221,yes,yes,cellular,aug,7,unknown,no
5269,technician,655,no,no,cellular,oct,2,unknown,yes
6211,technician,879,no,no,cellular,jul,2,unknown,yes
4412,admin.,21,no,yes,cellular,jun,1,failure,no
6043,technician,484,yes,no,unknown,may,1,unknown,yes
6088,admin.,5511,no,no,cellular,jul,2,success,yes
2922,technician,1524,no,no,cellular,apr,1,unknown,yes
4432,services,-389,yes,yes,unknown,jun,1,unknown,no
4914,admin.,0,yes,no,cellular,apr,2,failure,no
3019,blue-collar,272,no,no,cellular,aug,1,failure,yes
7181,technician,1120,yes,no,unknown,may,5,unknown,no
3186,services,54,yes,no,cellular,may,1,failure,no
5016,management,5389,no,no,cellular,aug,3,unknown,yes
334,services,1830,yes,no,cellular,aug,1,success,yes
6705,services,472,yes,no,unknown,jun,1,unknown,no
7275,management,13,yes,no,cellular,jul,3,unknown,no
5237,technician,4582,yes,no,unknown,may,1,unknown,no
6643,management,2367,no,no,cellular,sep,1,success,yes
7119,technician,1838,yes,yes,cellular,aug,8,unknown,no
2925,admin.,0,yes,no,cellular,sep,1,success,yes
7169,technician,368,yes,yes,unknown,may,2,unknown,yes
3196,technician,585,yes,no,telephone,apr,1,unknown,no
2919,management,573,yes,yes,unknown,jun,4,unknown,no
6888,admin.,396,yes,no,cellular,may,3,failure,yes
390,management,2240,no,no,cellular,jun,1,unknown,yes
5232,self-employed,0,no,no,cellular,aug,4,unknown,no
3247,technician,0,no,no,cellular,jul,2,unknown,no
5861,management,483,no,no,cellular,feb,2,other,yes
5693,student,1506,no,no,cellular,sep,1,unknown,yes
2864,blue-collar,3145,no,no,cellular,jun,1,success,yes
7372,technician,2657,no,no,cellular,aug,3,unknown,yes
4225,admin.,500,yes,no,cellular,may,8,unknown,no
395,technician,294,yes,no,cellular,mar,1,success,yes
1661,technician,3726,no,no,cellular,aug,2,unknown,yes
6104,management,2987,no,no,cellular,jun,1,failure,yes
7011,management,5310,yes,no,cellular,nov,1,unknown,yes
1248,housemaid,1213,no,no,cellular,nov,1,unknown,yes
7213,management,559,no,no,cellular,aug,1,unknown,no
5845,blue-collar,381,no,no,cellular,nov,4,unknown,no
6148,student,1215,no,no,cellular,feb,3,failure,yes
2315,blue-collar,870,no,yes,cellular,jul,3,unknown,no
6112,services,1315,no,no,unknown,jun,12,unknown,no
7274,management,1514,no,no,cellular,aug,1,failure,yes
5193,retired,20,no,no,cellular,jul,1,unknown,no
1306,blue-collar,1127,yes,yes,cellular,apr,2,failure,no
6670,blue-collar,159,yes,yes,cellular,may,1,unknown,yes
3145,blue-collar,232,no,yes,cellular,may,1,unknown,no
870,blue-collar,180,no,no,cellular,apr,2,unknown,yes
4648,retired,794,no,no,unknown,may,1,unknown,no
6134,retired,704,no,no,cellular,feb,2,success,yes
4682,admin.,131,yes,no,cellular,dec,1,success,yes
5737,blue-collar,5603,no,no,cellular,aug,6,unknown,yes
788,admin.,899,yes,no,unknown,nov,1,failure,yes
2291,technician,765,yes,yes,cellular,apr,2,unknown,yes
2035,management,983,yes,no,cellular,jul,2,unknown,yes
4755,management,5,no,no,cellular,aug,2,unknown,yes
3263,management,0,no,no,cellular,aug,2,success,yes
3531,admin.,261,yes,yes,cellular,jun,4,unknown,yes
3851,technician,696,no,yes,cellular,aug,4,failure,no
1777,blue-collar,2129,yes,no,cellular,apr,3,unknown,no
3061,management,328,no,no,cellular,aug,2,unknown,no
6737,management,8828,no,no,unknown,jun,3,unknown,yes
3846,admin.,952,no,no,cellular,sep,1,success,yes
6982,blue-collar,1177,no,no,cellular,jun,4,unknown,yes
237,management,1396,no,no,cellular,aug,6,unknown,yes
605,technician,1842,yes,yes,cellular,may,2,failure,no
2336,technician,2838,yes,no,cellular,may,3,unknown,yes
817,management,442,no,no,unknown,may,3,unknown,no
2358,services,4721,no,no,cellular,jun,1,success,yes
4815,technician,1231,yes,no,cellular,feb,5,unknown,yes
437,admin.,313,no,yes,cellular,jun,1,success,yes
2187,admin.,274,no,no,cellular,apr,3,unknown,yes
2154,services,11462,yes,no,cellular,nov,1,unknown,yes
3656,technician,1307,yes,no,unknown,may,2,unknown,no
7214,admin.,223,no,no,cellular,feb,1,unknown,no
5859,entrepreneur,1187,no,yes,cellular,nov,1,unknown,no
5494,technician,-205,yes,yes,cellular,jul,1,unknown,no
2937,blue-collar,0,yes,no,unknown,may,1,unknown,no
6115,admin.,318,yes,yes,cellular,oct,1,unknown,no
3625,services,255,yes,yes,cellular,nov,2,failure,no
1080,admin.,829,yes,yes,cellular,nov,1,failure,no
6281,self-employed,1367,yes,no,cellular,apr,3,other,yes
2022,blue-collar,-312,yes,no,unknown,jun,11,unknown,no
6009,retired,1746,no,no,cellular,aug,1,unknown,no
2903,management,3737,no,no,cellular,jul,1,unknown,yes
4028,retired,519,yes,no,unknown,jun,3,unknown,no
2668,management,397,yes,no,cellular,apr,1,unknown,yes
1816,blue-collar,34,yes,no,unknown,may,1,unknown,no
1677,technician,1435,no,no,cellular,aug,16,unknown,yes
1493,management,131,no,no,unknown,jun,3,unknown,no
4567,housemaid,16,no,no,unknown,jun,1,unknown,no
5102,management,3537,no,no,unknown,oct,1,unknown,yes
7399,technician,102,yes,yes,unknown,may,9,unknown,no
1501,management,243,yes,no,unknown,may,3,unknown,no
4931,management,565,no,no,cellular,aug,1,failure,yes
312,blue-collar,13849,yes,no,unknown,may,5,unknown,no
2153,admin.,-466,no,yes,telephone,jul,15,unknown,no
242,admin.,19,yes,no,cellular,jul,2,success,yes
2572,technician,1001,no,yes,cellular,jul,2,unknown,no
5696,blue-collar,-311,yes,no,unknown,may,1,unknown,yes
4155,management,588,no,no,cellular,aug,1,unknown,no
4282,management,1741,yes,yes,telephone,nov,1,unknown,no
4037,management,1720,no,no,cellular,sep,1,success,yes
1667,housemaid,3923,yes,no,unknown,may,3,unknown,yes
353,management,350,no,no,cellular,aug,6,unknown,no
1400,management,186,yes,no,cellular,nov,3,unknown,no
1649,technician,128,no,yes,cellular,jan,1,other,no
4743,technician,275,no,no,cellular,aug,4,unknown,no
5684,admin.,157,yes,yes,cellular,jul,2,unknown,no
2891,unemployed,415,no,no,cellular,may,2,success,yes
5517,management,231,no,no,cellular,may,1,failure,yes
5500,self-employed,0,yes,no,cellular,apr,1,unknown,no
2992,management,0,no,no,cellular,nov,2,unknown,no
3616,blue-collar,-238,yes,no,unknown,may,1,unknown,no
4300,retired,1430,no,no,telephone,may,2,success,yes
430,blue-collar,333,yes,no,cellular,may,2,unknown,yes
6192,blue-collar,661,yes,no,cellular,feb,4,failure,no
3931,management,395,no,no,cellular,dec,5,unknown,yes
4193,management,1318,no,no,cellular,oct,1,failure,yes
3256,management,-516,yes,no,unknown,may,2,unknown,no
1482,entrepreneur,2109,no,no,cellular,apr,1,success,no
399,admin.,1295,no,no,cellular,apr,1,unknown,yes
2566,technician,4367,no,no,cellular,aug,2,unknown,no
3881,blue-collar,292,no,no,cellular,apr,1,success,yes
5612,services,525,no,no,cellular,jul,1,unknown,no
2564,technician,291,yes,no,cellular,may,2,unknown,yes
6426,retired,610,no,no,unknown,jun,2,unknown,no
3437,unemployed,3354,yes,no,cellular,nov,1,success,yes
5441,management,3031,no,no,cellular,aug,6,unknown,no
246,entrepreneur,12737,no,yes,cellular,nov,2,unknown,yes
915,retired,324,no,no,cellular,aug,1,success,no
1503,self-employed,1216,yes,no,cellular,apr,1,failure,yes
3944,management,502,no,no,cellular,oct,3,success,yes
2770,self-employed,1815,no,no,telephone,feb,1,unknown,yes
3855,admin.,205,no,no,cellular,may,1,success,yes
3393,technician,314,yes,no,unknown,oct,1,unknown,yes
4383,unemployed,7968,no,no,cellular,sep,1,success,yes
5375,student,2503,no,no,cellular,apr,1,failure,no
5003,management,502,no,no,cellular,apr,2,other,no
5593,retired,1521,yes,yes,unknown,may,2,unknown,yes
5142,technician,1000,no,no,cellular,nov,2,unknown,no
6937,management,2955,no,no,cellular,apr,2,unknown,yes
1756,blue-collar,245,yes,no,cellular,apr,1,unknown,no
4239,technician,15161,no,no,cellular,jun,1,success,yes
5075,technician,94,yes,yes,unknown,may,1,unknown,yes
900,housemaid,-1531,yes,no,cellular,jul,8,unknown,no
2044,self-employed,1690,no,no,cellular,aug,11,unknown,no
2339,admin.,8781,yes,no,cellular,may,1,success,yes
1232,blue-collar,807,yes,no,cellular,nov,1,unknown,yes
504,technician,1,yes,no,cellular,nov,5,success,no
3705,blue-collar,561,yes,no,unknown,jun,2,unknown,no
2292,management,233,yes,no,unknown,may,10,unknown,no
6994,retired,13094,no,no,cellular,may,1,unknown,yes
6763,admin.,4708,no,no,cellular,jun,1,unknown,no
6978,management,841,no,no,cellular,feb,1,unknown,no
4731,services,665,yes,no,unknown,may,1,unknown,yes
4234,technician,2,no,no,cellular,aug,2,unknown,no
3847,technician,1473,yes,no,unknown,may,3,unknown,no
2596,management,7832,yes,no,unknown,may,2,unknown,no
3377,management,6138,no,no,cellular,oct,2,failure,yes
6004,management,-556,yes,yes,unknown,may,3,unknown,no
5210,services,1989,no,no,cellular,feb,2,failure,yes
1791,technician,360,yes,no,unknown,may,1,unknown,no
5856,management,2813,yes,no,cellular,may,1,unknown,no
3282,technician,3144,no,no,cellular,may,2,unknown,yes
3072,technician,33,no,no,cellular,aug,2,unknown,no
7201,management,688,no,no,cellular,feb,1,unknown,no
3174,blue-collar,23,no,no,cellular,nov,2,unknown,no
3336,management,0,no,no,cellular,aug,5,unknown,yes
5212,services,-504,no,no,cellular,jul,1,unknown,no
7337,management,5106,no,no,cellular,apr,1,unknown,yes
139,technician,321,yes,yes,unknown,jul,1,unknown,no
6057,management,7100,no,no,cellular,nov,2,unknown,no
5308,technician,629,no,no,cellular,aug,1,unknown,no
3748,retired,5092,no,no,unknown,jun,6,unknown,no
4679,services,774,no,no,cellular,mar,1,success,yes
4752,admin.,-175,yes,no,telephone,jul,9,unknown,no
43,services,228,yes,no,cellular,jul,6,unknown,yes
1280,blue-collar,138,no,no,unknown,jun,2,unknown,no
3713,self-employed,10052,no,no,cellular,aug,2,unknown,yes
5263,technician,-397,yes,no,unknown,may,1,unknown,no
4043,blue-collar,105,yes,no,cellular,apr,1,unknown,yes
6519,self-employed,3676,no,no,cellular,apr,1,unknown,yes
2990,management,2287,yes,no,unknown,may,4,unknown,yes
960,management,369,no,no,cellular,aug,3,failure,yes
5604,blue-collar,142,no,yes,cellular,jul,4,unknown,no
6343,housemaid,78,yes,no,telephone,jul,9,unknown,yes
4183,blue-collar,324,yes,yes,cellular,jul,1,unknown,yes
3926,management,396,yes,no,unknown,jun,3,unknown,no
6278,blue-collar,1735,yes,no,cellular,apr,1,unknown,no
4936,blue-collar,5461,yes,no,cellular,nov,2,unknown,yes
3218,admin.,98,yes,no,cellular,jul,5,unknown,no
3229,management,10,no,no,cellular,aug,7,unknown,no
4262,student,854,yes,no,unknown,may,2,unknown,yes
3462,blue-collar,348,yes,no,unknown,may,2,unknown,no
2887,management,294,yes,no,cellular,apr,1,success,yes
2093,retired,653,no,no,telephone,sep,1,success,yes
2205,technician,-123,no,yes,cellular,jul,1,unknown,yes
6652,management,158,no,no,telephone,apr,2,unknown,yes
425,technician,133,no,no,cellular,nov,2,success,yes
112,services,2416,yes,no,cellular,apr,1,unknown,yes
3258,blue-collar,468,yes,no,unknown,may,2,unknown,no
2778,services,130,yes,no,cellular,jul,1,unknown,no
6787,admin.,0,no,no,unknown,jun,1,unknown,no
6091,blue-collar,-29,yes,no,unknown,may,1,unknown,no
7332,management,405,no,no,cellular,jul,2,unknown,no
3912,retired,739,no,no,cellular,sep,1,unknown,yes
1158,management,1585,no,no,telephone,aug,5,unknown,no
1740,management,473,no,no,cellular,feb,1,success,yes
591,management,558,no,no,cellular,feb,5,unknown,yes
377,retired,163,no,no,telephone,oct,1,unknown,no
637,blue-collar,54,yes,no,cellular,jun,1,unknown,yes
1308,technician,28,yes,no,cellular,may,1,failure,no
5224,services,444,yes,no,unknown,jun,1,unknown,no
4348,technician,0,no,no,cellular,may,4,unknown,yes
2263,management,-242,yes,yes,cellular,may,4,other,yes
4263,technician,15,yes,no,cellular,apr,1,unknown,yes
4324,blue-collar,0,yes,yes,cellular,may,2,unknown,no
2727,services,1830,yes,no,cellular,feb,1,unknown,yes
7290,student,0,no,no,cellular,feb,6,unknown,yes
1978,blue-collar,1949,yes,no,unknown,jun,3,unknown,no
5313,blue-collar,1628,yes,no,cellular,jul,8,unknown,yes
1517,admin.,3221,no,no,cellular,jun,2,other,yes
1972,technician,328,yes,no,cellular,jul,2,unknown,yes
5487,blue-collar,388,yes,no,cellular,apr,2,unknown,no
235,blue-collar,-92,yes,no,unknown,jun,4,unknown,no
6369,management,1356,yes,no,cellular,nov,2,failure,no
4504,blue-collar,9328,yes,no,cellular,may,3,unknown,yes
1846,blue-collar,1156,yes,no,unknown,may,2,unknown,no
6423,management,1683,yes,yes,cellular,apr,2,unknown,no
7265,admin.,3756,no,no,cellular,aug,10,unknown,no
3549,technician,412,no,no,cellular,aug,8,unknown,yes
924,technician,719,yes,no,cellular,apr,2,failure,yes
791,management,171,yes,no,cellular,may,1,failure,no
1408,admin.,9,yes,no,cellular,may,1,unknown,no
5083,technician,3818,no,no,cellular,aug,4,unknown,no
1860,blue-collar,-294,yes,no,unknown,jun,2,unknown,no
1941,technician,18777,yes,no,cellular,nov,1,unknown,no
4320,self-employed,3157,no,no,cellular,apr,2,other,no
4060,services,1114,no,no,cellular,nov,1,unknown,no
3292,technician,411,yes,no,cellular,apr,1,unknown,no
7330,admin.,484,yes,no,unknown,may,1,unknown,no
4895,admin.,1604,no,yes,cellular,jul,1,unknown,yes
654,technician,3243,no,no,cellular,aug,4,unknown,yes
6557,admin.,1141,yes,no,unknown,may,1,unknown,no
589,management,57,no,no,cellular,apr,2,success,no
7074,management,1463,yes,no,cellular,aug,4,unknown,no
5619,services,973,no,no,cellular,feb,1,unknown,no
3129,technician,152,no,no,cellular,aug,6,unknown,yes
5623,services,473,yes,no,cellular,jul,3,unknown,yes
6089,unemployed,1801,no,no,cellular,apr,3,unknown,yes
3445,blue-collar,117,no,yes,cellular,jul,2,unknown,no
6682,services,2225,yes,no,cellular,may,4,unknown,no
830,management,1855,no,no,telephone,feb,6,unknown,yes
3385,services,-1139,yes,no,cellular,jul,1,unknown,no
3183,management,362,no,no,cellular,jun,2,unknown,yes
7296,management,2892,no,no,unknown,jun,1,unknown,yes
5873,unemployed,1047,no,no,cellular,may,3,success,yes
5934,blue-collar,4592,yes,no,cellular,may,1,unknown,no
6980,management,630,no,no,cellular,feb,1,unknown,yes
5369,housemaid,9228,no,no,cellular,jul,4,unknown,yes
343,management,2667,yes,no,cellular,mar,1,failure,yes
3922,management,327,yes,yes,cellular,jul,5,unknown,yes
5106,technician,2388,no,no,cellular,aug,1,unknown,no
4973,admin.,685,yes,no,cellular,may,1,failure,yes
3191,retired,3771,no,no,telephone,apr,1,unknown,no
1271,blue-collar,133,yes,no,cellular,may,2,unknown,yes
4618,management,230,yes,yes,cellular,feb,2,failure,no
4970,technician,11222,yes,no,cellular,nov,2,failure,no
4054,technician,593,yes,no,unknown,jun,1,unknown,no
2003,technician,922,yes,no,cellular,apr,1,unknown,no
6692,blue-collar,599,yes,no,unknown,may,2,unknown,yes
1583,admin.,3547,no,no,telephone,jun,6,unknown,yes
721,blue-collar,331,yes,no,unknown,may,3,unknown,no
4254,technician,4513,yes,no,unknown,may,3,unknown,no
1971,management,3842,no,no,cellular,apr,1,failure,no
1184,admin.,875,yes,yes,cellular,may,3,failure,no
7242,services,618,no,no,cellular,apr,1,unknown,yes
2156,blue-collar,0,yes,no,cellular,feb,3,other,no
1325,management,6641,no,no,cellular,jul,4,unknown,no
1781,blue-collar,39,yes,no,unknown,jun,6,unknown,no
2724,technician,930,no,no,cellular,jul,1,unknown,yes
7362,retired,-157,no,no,cellular,aug,9,unknown,no
585,blue-collar,-157,yes,no,cellular,jul,3,unknown,yes
6060,management,19358,no,no,cellular,nov,2,unknown,no
5893,unemployed,817,no,no,cellular,jul,3,success,yes
7345,services,0,yes,no,cellular,may,2,failure,yes
2108,services,405,no,yes,cellular,aug,2,unknown,yes
6789,management,362,yes,no,unknown,may,3,unknown,no
581,admin.,4464,yes,no,telephone,jul,2,unknown,no
4241,unemployed,11,no,no,cellular,aug,5,unknown,yes
2314,retired,3230,no,no,cellular,may,2,failure,yes
3155,management,20585,no,no,cellular,jun,1,unknown,yes
6764,admin.,2343,yes,no,unknown,may,1,unknown,yes
2096,student,64,no,no,cellular,aug,1,unknown,no
760,technician,778,no,no,cellular,jul,1,unknown,no
6015,retired,0,no,no,unknown,jun,1,unknown,yes
2170,technician,0,no,no,cellular,nov,1,failure,yes
6524,management,608,yes,no,cellular,may,2,unknown,no
5545,student,608,no,no,cellular,nov,1,success,yes
3577,admin.,0,no,no,cellular,jul,1,unknown,no
3257,admin.,1143,yes,yes,telephone,nov,1,unknown,no
2547,management,19,yes,no,unknown,may,3,unknown,no
449,technician,3466,no,no,cellular,apr,1,unknown,yes
6062,management,2360,no,no,cellular,feb,2,other,yes
3544,blue-collar,197,yes,no,unknown,may,3,unknown,no
1451,technician,825,no,no,cellular,nov,3,unknown,yes
4787,technician,0,yes,yes,cellular,nov,2,unknown,no
328,blue-collar,199,yes,no,unknown,may,3,unknown,no
674,management,596,no,no,cellular,aug,4,unknown,no
618,entrepreneur,121,no,no,cellular,aug,1,unknown,yes
4222,student,597,yes,no,cellular,apr,3,unknown,yes
1173,management,474,no,no,cellular,aug,1,unknown,yes
4759,technician,416,yes,no,unknown,jun,5,unknown,yes
7009,blue-collar,1000,yes,no,unknown,jun,2,unknown,yes
929,technician,1,no,no,cellular,oct,1,success,yes
5154,self-employed,20,yes,no,cellular,aug,2,unknown,no
1338,services,1636,yes,no,cellular,may,1,failure,no
6803,unemployed,2251,yes,no,unknown,jun,9,unknown,no
662,management,1429,yes,no,cellular,may,1,success,yes
3396,admin.,61,no,no,cellular,jul,4,unknown,no
3333,technician,5763,no,yes,cellular,jun,2,success,no
2018,blue-collar,-426,no,yes,unknown,may,1,unknown,no
2819,admin.,464,no,no,cellular,nov,2,success,yes
5264,technician,90,yes,yes,unknown,may,2,unknown,no
984,retired,2801,yes,yes,cellular,sep,1,success,yes
3758,blue-collar,134,yes,yes,unknown,may,2,unknown,no
6503,management,0,yes,no,cellular,apr,5,failure,yes
973,blue-collar,-454,yes,yes,cellular,may,5,failure,yes
813,blue-collar,5872,yes,no,cellular,may,3,unknown,yes
3422,retired,2575,no,no,telephone,apr,2,unknown,yes
2813,blue-collar,292,yes,yes,cellular,may,2,unknown,yes
1932,management,0,no,no,cellular,aug,6,unknown,no
5981,blue-collar,21,no,no,telephone,nov,1,unknown,no
3005,blue-collar,61,no,no,cellular,apr,1,unknown,no
1050,admin.,-326,yes,no,unknown,may,3,unknown,no
5742,management,222,no,no,cellular,oct,1,success,yes
5579,blue-collar,263,yes,no,unknown,may,3,unknown,no
2682,unemployed,1908,yes,no,cellular,feb,2,unknown,yes
2390,admin.,3415,no,no,cellular,apr,1,unknown,yes
2246,admin.,284,yes,no,cellular,apr,3,unknown,yes
4488,blue-collar,246,no,no,unknown,jun,3,unknown,yes
5512,management,4095,yes,no,cellular,apr,1,unknown,no
4078,blue-collar,4227,yes,no,cellular,may,1,unknown,yes
3163,technician,1612,yes,no,unknown,may,2,unknown,no
832,management,3387,yes,no,cellular,may,5,unknown,yes
5242,technician,136,no,yes,cellular,jul,4,unknown,no
6476,technician,915,no,no,cellular,jun,1,unknown,yes
1335,retired,-12,no,yes,cellular,aug,8,unknown,no
4189,management,997,no,no,cellular,mar,1,unknown,yes
2642,management,243,no,no,cellular,may,1,unknown,yes
2256,admin.,8,yes,no,unknown,may,18,unknown,no
5423,technician,3899,yes,no,telephone,jul,4,unknown,yes
3599,management,38,no,no,cellular,aug,2,unknown,no
653,technician,1166,yes,no,unknown,jun,1,unknown,no
271,management,0,yes,no,cellular,jul,3,unknown,no
5082,technician,145,yes,no,unknown,may,2,unknown,no
18,services,2597,yes,no,cellular,may,2,failure,no
275,management,265,yes,no,unknown,may,4,unknown,no
6378,services,473,yes,no,cellular,jan,1,unknown,no
2313,blue-collar,-1,yes,no,unknown,may,1,unknown,yes
1834,management,12356,yes,no,cellular,may,1,other,yes
7071,management,1812,no,no,cellular,aug,1,other,yes
5447,technician,-522,yes,yes,cellular,may,2,failure,yes
6376,services,173,yes,no,unknown,may,2,unknown,no
1543,blue-collar,186,yes,no,unknown,may,3,unknown,no
5837,housemaid,1406,yes,no,cellular,jul,1,unknown,no
2138,technician,573,yes,yes,unknown,may,1,unknown,no
4917,admin.,1967,yes,no,cellular,may,1,failure,no
3994,technician,3,no,no,cellular,aug,4,unknown,no
3664,blue-collar,61,yes,no,cellular,feb,1,success,yes
2104,retired,1948,no,no,cellular,jan,1,success,yes
5181,management,681,no,no,cellular,aug,2,unknown,yes
7044,retired,63,no,no,cellular,aug,2,unknown,no
6742,technician,1044,yes,no,cellular,aug,19,unknown,no
4764,admin.,0,no,no,cellular,jan,1,failure,yes
4632,technician,109,yes,no,unknown,may,1,unknown,no
6693,blue-collar,5345,yes,no,cellular,nov,1,unknown,no
2288,self-employed,-94,yes,no,cellular,jul,1,unknown,no
5471,admin.,378,no,no,unknown,jun,5,unknown,no
1223,management,1088,yes,no,cellular,apr,1,success,yes
6919,management,1034,yes,no,cellular,aug,3,unknown,yes
1907,blue-collar,449,yes,no,cellular,apr,6,unknown,no
5403,services,160,no,no,cellular,jul,3,unknown,no
1708,admin.,311,no,no,cellular,mar,2,unknown,yes
5339,blue-collar,-588,no,no,unknown,may,2,unknown,no
7132,retired,417,yes,no,cellular,may,2,unknown,no
6976,services,181,no,no,cellular,apr,1,unknown,yes
5042,entrepreneur,8,yes,yes,cellular,jul,1,unknown,no
6800,housemaid,4,no,no,cellular,nov,3,unknown,no
7390,entrepreneur,1129,no,yes,cellular,jul,8,unknown,no
7193,technician,33,no,no,cellular,jul,7,unknown,no
2592,admin.,0,yes,yes,cellular,may,1,unknown,no
2533,entrepreneur,2971,no,no,cellular,may,4,failure,yes
96,unemployed,-114,yes,no,cellular,feb,1,unknown,yes
1744,blue-collar,-191,yes,yes,cellular,jul,4,unknown,yes
3975,management,288,no,no,cellular,oct,1,unknown,yes
4868,blue-collar,2089,yes,no,cellular,nov,1,unknown,yes
2995,management,3428,yes,yes,cellular,nov,1,unknown,no
6988,self-employed,562,yes,yes,cellular,apr,1,failure,yes
736,management,222,no,no,cellular,apr,1,failure,yes
6401,management,0,no,no,cellular,oct,5,unknown,yes
2297,retired,77,no,no,cellular,aug,4,unknown,yes
3902,management,-468,yes,yes,cellular,aug,2,unknown,no
